sa3_name16,sa3_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Ormeau - Oxenford,30907,10466,20958,60,66,125,10764,10739,21504,75,64,138,2417,2116,4535,16,21,38,2512,2203,4712,31,26,53,1155,1109,2262,20,13,34,1208,1147,2350,10,5,16,105,103,206,6,3,8,119,107,228,908,995,1905,44809,46033,90841,2687,2724,5413,48412,49748,98159,0,0,0,21,12,31,0,0,4,20,16,32,161,184,341,7059,8108,15164,717,819,1534,7931,9113,17043,1069,1174,2249,51883,54154,106038,3404,3542,6948,56359,58867,115235,0,0,4,211,403,615,32,25,53,249,424,671
Outback - South,31503,1658,3576,24,21,40,2128,1818,3941,71,73,141,458,263,723,13,0,12,545,337,876,101,86,183,687,471,1157,12,3,13,802,556,1357,12,8,17,54,27,78,3,0,7,68,34,100,773,840,1614,5936,5968,11902,464,464,928,7166,7278,14440,0,0,0,8,5,14,3,0,4,8,6,19,44,32,78,344,319,660,51,39,95,442,391,829,817,879,1692,6285,6288,12573,519,506,1020,7616,7670,15286,14,4,21,158,145,298,29,50,81,199,204,398
Buderim,31601,5138,9387,25,40,67,4346,5249,9590,16,8,28,915,964,1884,13,5,19,947,984,1931,9,5,14,573,671,1240,5,11,14,581,685,1270,8,3,9,26,33,60,0,0,0,34,32,70,310,304,613,19153,20717,39870,628,685,1311,20085,21701,41787,0,0,0,4,3,7,0,0,0,4,3,7,61,73,135,3211,4720,7933,259,336,594,3528,5129,8659,370,373,743,22364,25444,47808,882,1021,1900,23618,26833,50452,4,13,15,351,582,931,67,75,143,421,673,1094
Caloundra,31602,9349,17439,62,70,130,8310,9555,17868,52,41,97,1697,1817,3516,15,21,39,1769,1888,3655,39,21,53,1475,1761,3234,11,27,40,1526,1798,3330,4,4,8,72,72,146,3,0,3,76,81,157,635,625,1263,26984,28172,55152,974,1059,2029,28589,29858,58444,0,0,0,3,3,5,0,0,0,3,3,5,138,97,231,6661,8314,14978,461,596,1057,7264,9009,16274,771,729,1492,33647,36485,70139,1436,1656,3088,35853,38870,74723,3,0,3,370,620,990,91,123,216,467,742,1213
Maroochy,31603,5969,11381,38,41,81,5579,6112,11690,26,31,58,1080,1078,2158,9,11,17,1119,1121,2237,22,11,31,748,842,1591,7,11,20,779,866,1642,0,0,4,53,51,102,0,0,0,55,54,107,300,303,598,14192,14760,28951,599,625,1229,15089,15696,30785,0,0,0,3,9,11,0,0,4,3,9,13,188,187,378,8493,9861,18356,878,991,1866,9561,11037,20601,485,495,975,22687,24626,47322,1481,1619,3102,24653,26743,51397,3,3,3,371,516,881,171,259,432,547,778,1320
Noosa,31605,3947,7390,31,39,67,3513,4029,7541,12,17,32,747,731,1476,3,4,13,758,752,1512,6,11,13,383,503,887,4,11,13,394,518,913,8,0,8,30,24,52,0,3,3,32,25,61,183,196,385,13689,14566,28250,588,616,1207,14457,15384,29837,0,0,0,3,0,3,4,0,4,4,3,9,33,47,77,3138,3837,6981,340,394,731,3514,4276,7793,218,248,460,16829,18403,35232,934,1013,1945,17974,19667,37642,0,0,5,301,457,760,46,44,92,348,507,853
Sunshine Coast Hinterland,31606,5486,10874,60,56,121,5545,5635,11182,36,24,66,1139,973,2115,10,9,24,1187,1006,2194,13,16,31,944,732,1679,10,11,25,968,759,1732,0,0,0,35,30,64,0,0,4,38,28,73,415,437,856,20172,21157,41326,1039,1125,2161,21624,22724,44340,3,0,3,19,13,28,6,0,7,27,12,35,25,36,61,752,864,1614,88,93,178,863,991,1854,441,476,915,20942,22032,42971,1128,1220,2347,22511,23723,46230,0,0,0,151,255,407,14,15,34,171,273,439
Nambour,31607,4561,9037,32,27,63,4622,4707,9331,46,27,69,941,893,1831,10,13,25,995,932,1927,26,17,42,784,749,1536,3,7,13,810,773,1586,3,3,4,50,39,89,0,0,0,56,47,100,490,474,969,16007,16928,32935,735,777,1513,17237,18179,35415,0,0,0,8,4,15,0,0,0,8,11,16,72,77,152,1658,1893,3549,205,195,399,1932,2166,4098,560,557,1114,17681,18823,36502,937,966,1908,19181,20348,39527,4,3,9,202,334,534,49,62,112,255,396,651
Noosa Hinterland,31608,2333,4719,25,31,50,2450,2401,4859,9,11,23,493,379,869,3,6,6,504,397,898,9,7,16,360,312,673,7,9,16,377,325,706,0,0,3,21,16,35,0,4,3,21,19,39,201,166,364,9040,9415,18454,504,505,1016,9746,10088,19837,0,0,0,46,38,81,13,0,14,56,38,94,3,17,21,139,178,314,23,23,50,167,211,384,207,179,385,9222,9627,18848,543,531,1073,9967,10338,20310,0,3,3,25,40,68,3,8,12,35,50,82
Charters Towers - Ayr - Ingham,31801,4441,9115,54,64,118,5206,4979,10187,193,179,370,1066,886,1949,14,17,28,1275,1073,2352,213,169,382,1632,1447,3080,28,25,50,1873,1637,3513,19,15,32,85,54,140,0,0,3,109,73,176,1986,2066,4049,14754,14808,29560,1159,1178,2335,17901,18053,35949,27,19,53,29,14,44,4,0,4,63,40,103,158,163,322,863,850,1716,132,106,235,1152,1118,2275,2177,2251,4427,15646,15680,31326,1295,1281,2572,19116,19210,38319,208,84,289,431,473,909,70,99,165,710,662,1372
Townsville,31802,16134,32385,125,134,254,17330,17370,34697,311,288,598,3392,2917,6307,34,26,64,3732,3227,6961,241,240,479,3012,2877,5886,42,45,83,3288,3162,6456,36,27,65,231,252,487,8,3,10,274,283,557,4681,5122,9796,63985,66400,130390,3693,3811,7498,72357,75331,147686,4,0,3,39,35,74,10,9,14,50,49,100,668,764,1432,8693,9429,18117,1171,1172,2346,10531,11361,21895,5348,5890,11234,72714,75867,148585,4871,4988,9862,82937,86743,169676,617,290,906,2090,1499,3593,833,300,1129,3539,2083,5619
Bundaberg,31901,11024,21419,81,93,175,10807,11493,22301,124,129,252,2655,2415,5073,37,29,71,2819,2575,5396,107,100,209,3017,2854,5873,39,41,83,3170,2995,6170,14,3,16,138,130,268,10,5,19,165,140,306,1441,1553,2992,32379,33815,66195,1967,2073,4044,35787,37439,73233,0,0,0,30,24,54,16,9,21,48,27,76,168,176,339,3014,3577,6590,352,387,732,3528,4140,7666,1605,1725,3334,35424,37416,72842,2334,2471,4803,39369,41607,80973,10,6,15,472,619,1085,88,78,160,567,693,1262
Burnett,31902,5548,11426,83,60,146,6287,5985,12277,172,141,307,1566,1230,2797,19,19,37,1760,1382,3141,148,119,259,2158,1635,3794,44,26,69,2346,1777,4127,16,18,37,97,64,164,0,0,4,116,82,200,1631,1715,3351,18141,18194,36338,1557,1478,3036,21329,21395,42723,3,0,4,137,81,219,39,19,55,178,105,279,85,87,175,898,824,1717,141,139,277,1121,1048,2170,1721,1806,3525,19173,19100,38274,1733,1634,3370,22628,22543,45171,62,15,74,288,283,569,49,44,96,402,344,745
Gympie - Cooloola,31903,6185,12333,64,57,123,6381,6414,12793,66,53,122,1619,1271,2894,13,8,23,1700,1339,3035,52,47,99,1648,1405,3054,20,17,37,1719,1476,3194,4,4,11,64,52,116,0,0,3,72,55,132,797,746,1544,18887,19669,38549,1405,1444,2853,21083,21862,42946,0,0,0,83,51,137,34,18,49,114,72,184,54,62,110,1125,1100,2222,185,157,343,1358,1322,2681,844,811,1655,20091,20816,40909,1619,1625,3243,22555,23256,45813,0,3,4,165,233,396,20,22,42,188,262,442
Hervey Bay,31904,7377,13907,45,57,106,6786,7683,14473,83,86,161,1717,1717,3437,25,22,45,1822,1823,3643,49,47,101,1591,1601,3191,18,23,44,1657,1676,3333,3,3,9,90,65,157,0,3,3,96,70,167,925,960,1879,19803,21596,41402,1166,1273,2441,21895,23830,45721,0,0,0,24,20,44,4,0,4,30,24,52,103,127,231,2513,3033,5551,311,366,686,2936,3535,6465,1026,1088,2117,22348,24654,47003,1481,1646,3122,24851,27386,52243,8,9,18,234,338,579,67,79,145,308,425,739
Brisbane Inner - North,30503,3700,6954,17,20,31,3350,3791,7136,26,25,52,677,613,1295,7,10,14,714,647,1354,15,13,32,593,772,1365,6,13,21,621,798,1416,0,0,0,85,102,190,0,0,0,91,102,193,175,198,375,19947,20513,40455,777,784,1559,20900,21491,42393,0,0,0,0,0,0,0,0,0,0,0,0,228,213,443,16346,16828,33179,1582,1561,3141,18158,18605,36765,408,411,818,36293,37344,73638,2361,2342,4705,39061,40099,79154,24,40,58,527,834,1357,225,232,450,764,1105,1868
Brisbane Inner - West,30504,1924,3629,9,23,32,1730,1976,3710,14,14,27,348,381,724,3,8,11,363,396,755,3,4,8,274,393,668,8,7,13,284,406,690,3,3,6,52,48,96,0,0,0,53,46,98,140,131,267,17032,17457,34485,609,604,1211,17770,18189,35961,0,0,0,0,0,0,3,0,3,3,0,3,58,59,115,6664,7416,14075,654,694,1353,7374,8164,15545,197,185,385,23692,24869,48557,1266,1303,2568,25152,26362,51514,21,15,33,467,383,855,93,55,145,578,457,1039
Cairns - North,30601,3933,8130,31,27,57,4378,4109,8491,41,41,84,853,714,1566,3,9,12,899,764,1663,16,38,52,444,431,878,3,11,12,462,475,942,5,10,13,40,39,83,0,0,0,45,50,96,813,796,1607,18228,19152,37377,1136,1169,2304,20183,21114,41299,0,0,0,7,5,19,0,0,0,12,5,15,156,159,312,3021,3354,6373,337,377,716,3512,3895,7403,966,955,1921,21257,22514,43770,1477,1544,3021,23701,25014,48716,27,26,57,201,192,395,103,104,199,324,328,649
Cairns - South,30602,7552,15599,82,69,152,8878,8630,17512,268,307,578,1657,1463,3118,18,14,38,1940,1782,3725,258,266,524,1543,1572,3113,19,30,50,1823,1863,3690,50,30,85,345,377,725,3,0,3,396,413,810,3429,3975,7404,27797,28768,56570,2161,2252,4412,33387,34998,68385,0,0,0,7,5,11,0,0,0,7,5,11,1357,1674,3032,8482,8703,17184,1597,1655,3248,11434,12023,23458,4789,5648,10434,36287,37478,73762,3751,3905,7664,44827,47028,91860,163,166,329,903,829,1731,523,451,974,1592,1447,3040
Innisfail - Cassowary Coast,30603,3167,6714,40,46,84,4151,3785,7931,185,183,364,838,550,1385,16,6,20,1031,740,1770,148,145,293,1053,893,1942,16,17,41,1217,1057,2277,17,17,33,72,85,155,3,5,8,87,103,195,2130,2294,4421,11297,10689,21983,1105,1047,2151,14536,14029,28559,104,73,175,29,18,44,8,3,11,145,88,231,337,360,698,1067,946,2013,226,206,431,1636,1506,3143,2572,2726,5300,12401,11641,24044,1333,1250,2586,16311,15624,31932,16,13,33,262,264,530,63,43,104,344,320,666
Port Douglas - Daintree,30604,804,1844,20,15,31,1133,906,2038,29,20,54,208,155,363,7,6,8,244,181,426,30,27,51,168,112,281,8,4,9,200,145,347,3,0,3,4,3,9,3,0,3,8,4,20,292,308,602,3252,3143,6399,404,420,827,3949,3876,7827,0,0,0,8,4,15,0,0,0,12,4,13,95,82,178,846,854,1699,163,171,334,1105,1101,2210,387,394,777,4111,4000,8107,571,591,1160,5070,4978,10050,0,21,20,263,217,477,125,157,284,387,396,781
Tablelands (East) - Kuranda,30605,4107,8159,60,62,114,4419,4549,8961,115,132,251,924,736,1661,8,15,19,1049,888,1934,123,125,248,1197,1050,2247,22,27,42,1340,1202,2539,6,14,22,76,91,163,0,0,3,83,107,187,1474,1518,2987,14237,14846,29082,1341,1418,2757,17054,17777,34828,0,0,3,48,23,76,22,6,31,68,34,102,186,215,400,789,791,1583,165,139,305,1143,1140,2289,1656,1732,3386,15077,15660,30742,1529,1563,3095,18267,18956,37222,13,63,79,192,202,398,41,59,99,247,327,571
Darling Downs (West) - Maranoa,30701,3866,8678,52,44,91,5183,4220,9406,97,105,202,1066,670,1737,17,13,32,1177,791,1971,136,110,249,1429,1047,2471,29,21,45,1589,1179,2774,10,10,25,82,58,138,3,0,4,93,66,164,1230,1343,2572,15556,15066,30627,1893,1800,3694,18682,18213,36895,0,0,0,29,22,53,13,10,23,46,33,78,97,89,181,901,953,1850,192,193,380,1184,1229,2418,1330,1431,2763,16491,16040,32523,2097,2003,4103,19914,19473,39387,14,15,25,416,279,700,261,103,361,685,393,1082
Darling Downs - East,30702,4439,9582,40,37,78,5401,4671,10072,61,75,132,1176,827,2004,12,17,27,1247,917,2163,68,48,119,1612,1258,2872,26,17,47,1711,1323,3039,9,6,15,56,35,94,5,0,5,72,44,110,930,962,1894,16412,16322,32731,1255,1223,2480,18596,18509,37105,0,0,3,19,7,28,0,0,3,20,11,32,35,31,64,503,502,1000,72,74,139,602,606,1206,968,999,1965,16932,16826,33763,1329,1298,2625,19228,19125,38348,12,7,22,274,327,605,112,125,236,403,459,863
Sunnybank,30306,2609,5045,15,8,23,2485,2652,5140,9,14,24,566,603,1167,3,0,4,580,617,1196,8,12,23,752,1072,1821,10,5,16,767,1088,1853,3,0,3,265,383,649,0,0,0,269,386,654,183,196,375,18887,18976,37860,640,591,1236,19709,19769,39471,0,0,0,0,3,3,0,0,0,0,3,3,11,22,35,3723,3732,7455,199,180,383,3936,3936,7869,194,217,412,22606,22715,45325,839,777,1614,23640,23709,47348,3,3,8,92,224,319,58,103,156,150,332,478
Centenary,30401,2163,3909,7,12,25,1770,2202,3975,5,4,8,329,324,650,3,3,6,331,325,659,9,4,11,209,326,536,0,0,0,220,329,546,3,0,3,49,50,100,3,0,6,54,53,108,130,139,265,13938,14305,28242,254,269,522,14324,14717,29035,0,0,0,0,0,0,0,0,0,0,0,0,8,6,11,717,944,1663,42,60,106,768,1013,1775,134,140,277,14652,15250,29908,300,333,629,15088,15728,30817,0,5,5,108,290,394,4,18,20,111,312,417
Kenmore - Brookfield - Moggill,30402,2281,4073,12,10,25,1816,2302,4124,4,4,5,426,428,853,0,3,3,431,433,862,0,0,0,196,272,462,0,3,3,197,272,469,3,0,3,28,25,49,0,0,0,30,25,55,98,102,200,19945,20691,40635,489,508,1000,20531,21297,41831,0,0,0,0,0,3,0,0,0,0,0,3,7,0,7,396,577,977,18,23,46,423,603,1028,103,99,205,20339,21271,41609,513,534,1042,20953,21908,42862,0,0,0,143,340,484,0,4,5,142,353,496
Sherwood - Indooroopilly,30403,1753,3084,8,6,14,1358,1764,3126,0,4,5,325,358,682,4,8,9,329,363,692,10,3,9,186,318,509,3,0,4,201,323,520,4,0,4,44,60,103,0,0,0,52,60,111,76,58,142,12872,13086,25960,321,346,669,13274,13498,26769,0,0,0,0,0,0,0,0,0,0,0,0,43,54,96,8205,9233,17436,530,583,1113,8785,9866,18649,122,112,238,21076,22315,43398,850,933,1784,22052,23362,45415,21,21,42,1156,1427,2582,73,82,157,1245,1530,2776
The Gap - Enoggera,30404,3579,6443,20,26,40,2947,3659,6610,19,29,46,523,568,1090,3,3,3,547,603,1148,10,12,20,430,718,1149,8,4,14,447,740,1180,4,0,7,59,55,119,3,0,4,63,61,127,376,346,719,19375,20330,39708,512,520,1031,20265,21193,41458,0,0,0,0,0,0,0,0,0,0,0,0,45,54,98,1965,2611,4578,157,200,356,2171,2864,5031,419,399,821,21340,22943,44286,673,715,1384,22434,24055,46494,14,4,15,687,449,1142,4,12,17,703,465,1170
Brisbane Inner,30501,2270,4633,23,14,37,2433,2339,4776,20,7,29,508,385,890,3,0,3,529,392,924,19,14,25,534,624,1152,13,4,13,559,640,1194,4,0,4,176,171,344,0,5,7,182,182,358,59,74,128,6231,6240,12470,405,388,798,6700,6703,13403,4,0,4,39,19,53,4,3,9,46,23,65,212,191,400,20701,19995,40694,2286,2106,4391,23194,22294,45485,270,262,537,26974,26249,53223,2694,2501,5197,29942,29011,58957,55,33,83,1574,1315,2895,757,551,1310,2387,1899,4283
Brisbane Inner - East,30502,1888,3648,9,9,19,1806,1929,3733,10,9,17,341,318,652,0,3,5,344,331,676,9,15,27,287,367,655,3,4,6,301,392,694,0,3,3,34,46,80,0,0,0,34,47,84,138,132,268,11430,11732,23168,457,476,937,12028,12341,24370,0,0,0,0,0,0,0,0,0,0,0,0,89,96,184,5829,6354,12180,459,517,977,6378,6965,13339,230,225,453,17260,18086,35342,918,996,1911,18409,19309,37709,15,9,27,174,102,282,3,9,11,197,122,318
Granite Belt,30703,4847,9652,64,64,128,5002,5069,10073,53,67,118,1143,944,2084,13,18,28,1215,1030,2239,55,49,105,1388,1186,2574,31,28,60,1477,1264,2739,3,7,12,51,58,110,0,3,3,54,66,122,714,757,1473,15541,15879,31419,971,974,1942,17226,17608,34835,0,3,3,29,21,49,7,3,14,39,31,63,53,60,110,774,971,1749,97,99,196,932,1126,2055,773,821,1593,16338,16868,33214,1078,1079,2155,18196,18766,36960,7,6,10,228,293,517,24,20,45,255,321,576
Central Highlands (Qld),30801,2151,5080,29,22,51,3188,2394,5582,72,54,125,560,331,891,0,3,7,640,394,1026,58,52,107,509,308,815,12,3,17,579,363,937,11,3,14,32,23,58,0,0,0,43,24,73,874,896,1771,9759,9408,19167,1168,1115,2288,11804,11424,23227,0,6,10,63,31,92,13,10,19,73,51,127,76,70,154,843,740,1582,145,126,270,1066,930,2000,954,971,1931,10659,10182,20844,1327,1250,2579,12942,12408,25347,26,12,31,308,74,378,310,61,367,637,145,784
Rockhampton,30803,11880,23843,128,130,256,12697,12678,25376,207,172,379,2648,2230,4880,34,26,56,2887,2431,5314,167,156,325,3175,2905,6081,34,43,76,3372,3105,6473,21,22,41,198,127,321,0,3,3,218,150,365,2888,3181,6068,41408,42845,84252,2657,2823,5475,46950,48847,95801,3,0,8,72,51,119,16,10,25,87,63,151,239,267,505,3165,3713,6885,480,478,956,3884,4464,8346,3124,3450,6581,44647,46609,91255,3146,3315,6455,50916,53374,104298,312,90,400,1124,1011,2143,222,213,439,1660,1319,2978
Biloela,30804,1317,3018,17,13,37,1765,1386,3150,21,20,42,344,253,596,0,7,6,364,283,648,21,16,35,559,401,959,8,5,12,589,419,1012,0,0,3,35,14,54,0,0,0,37,18,56,237,285,524,5664,5424,11084,431,426,864,6337,6137,12475,0,0,0,3,0,0,0,0,0,4,0,6,7,3,7,263,237,502,46,32,78,310,275,591,248,291,536,5922,5661,11590,476,466,940,6654,6417,13065,6,0,4,144,73,212,70,9,82,219,85,304
Gladstone,30805,5857,12840,54,55,108,7276,6185,13458,81,71,155,1408,1062,2475,10,11,17,1503,1147,2644,46,43,88,1103,963,2062,7,19,28,1155,1022,2176,3,0,5,66,43,106,0,0,0,68,44,114,1030,1049,2079,23411,22907,46316,1480,1526,3011,25920,25484,51404,0,0,0,42,25,67,9,4,15,50,34,85,103,128,223,2073,1980,4054,368,319,689,2548,2426,4971,1132,1178,2308,25529,24911,50437,1861,1856,3719,28518,27946,56463,7,4,9,421,239,666,129,57,184,564,296,863
Broadbeach - Burleigh,30901,5520,10476,22,43,65,5070,5622,10688,10,13,25,1028,1074,2098,3,8,12,1045,1093,2140,10,14,25,706,874,1583,5,18,25,724,907,1630,5,5,6,65,99,166,0,0,0,71,106,181,176,205,381,14757,15319,30080,671,742,1412,15608,16273,31879,0,0,0,3,0,5,0,0,0,3,0,5,147,126,278,10684,12045,22724,1166,1305,2473,11998,13474,25470,324,338,658,25442,27370,52804,1841,2048,3889,27606,29750,57350,8,11,10,319,406,727,102,91,196,428,510,938
Coolangatta,30902,5772,11083,33,47,78,5476,5947,11423,40,21,69,1123,1159,2282,13,11,25,1180,1200,2373,17,20,41,679,816,1497,7,12,22,711,851,1562,3,3,8,56,36,94,0,0,0,57,44,103,334,315,649,13999,14270,28266,599,645,1246,14930,15229,30155,0,0,0,0,0,0,0,0,0,0,0,0,226,238,465,7889,9004,16898,880,965,1845,8990,10211,19202,560,555,1112,21885,23275,45162,1483,1613,3092,23926,25442,49363,4,0,7,283,355,639,72,67,139,357,433,786
Gold Coast - North,30903,6911,12825,57,69,128,6086,7114,13198,29,41,69,1353,1483,2837,18,20,33,1396,1541,2944,24,20,46,971,1260,2234,20,18,39,1017,1303,2317,0,0,5,108,141,245,3,6,8,116,148,260,232,224,448,13885,14588,28467,733,769,1499,14848,15571,30423,0,0,0,3,0,3,0,0,0,0,0,5,249,284,534,12694,14921,27617,1184,1359,2543,14126,16563,30692,478,501,981,26577,29512,56083,1919,2124,4048,28980,32138,61114,3,10,16,564,742,1313,97,83,184,666,841,1512
Gold Coast Hinterland,30904,1766,3599,8,11,27,1887,1806,3686,12,9,23,359,307,665,3,0,3,373,315,690,5,0,5,228,191,423,0,3,3,234,196,430,0,0,0,10,12,18,0,0,0,9,12,15,154,123,273,7520,7897,15412,600,622,1224,8278,8640,16911,0,0,0,6,3,11,3,3,8,14,7,20,0,0,0,145,160,303,26,28,50,170,183,360,156,125,275,7669,8061,15727,637,644,1281,8459,8827,17284,8,15,24,118,153,272,53,14,63,177,190,365
Beaudesert,31101,1568,3086,15,15,30,1584,1649,3233,20,21,48,421,361,780,0,3,5,444,383,831,7,16,27,451,426,883,4,5,10,469,446,911,3,0,5,12,16,34,0,0,0,18,17,39,290,338,629,5111,5354,10469,387,404,789,5785,6101,11885,0,0,0,3,0,3,4,0,3,5,3,5,23,25,49,378,435,814,52,52,110,457,510,973,315,365,681,5492,5789,11286,446,459,904,6248,6614,12866,17,3,18,187,123,308,8,22,27,207,147,349
Beenleigh,31102,4317,8412,36,35,74,4254,4501,8759,46,53,95,1058,1025,2080,14,10,25,1115,1083,2202,40,28,67,820,893,1714,15,12,23,869,937,1806,7,3,12,94,99,191,3,3,4,96,101,202,592,627,1215,14681,15194,29873,834,886,1725,16110,16708,32812,0,0,0,0,0,4,0,0,0,0,0,4,100,121,212,2455,2835,5291,261,290,547,2810,3249,6058,687,744,1432,17140,18027,35171,1094,1178,2272,18920,19953,38874,11,13,22,52,81,134,4,0,4,68,88,158
Browns Plains,31103,7257,14704,64,55,118,7743,7542,15290,82,68,146,1834,1619,3452,21,14,38,1935,1702,3635,53,34,89,1354,1425,2776,19,19,40,1421,1481,2903,0,3,4,300,366,665,0,4,4,299,378,676,1139,1127,2266,32036,32690,64726,2050,2084,4134,35224,35898,71125,0,0,0,3,4,8,0,0,0,3,4,8,62,83,141,2055,2327,4384,279,334,614,2396,2742,5140,1197,1214,2407,34099,35021,69115,2330,2410,4744,37627,38644,76270,0,4,3,143,297,440,6,18,22,151,323,466
Jimboomba,31104,4489,9547,39,36,72,5236,4638,9874,40,29,67,1153,796,1951,14,8,19,1204,834,2036,22,15,40,646,512,1164,5,3,11,675,539,1211,4,3,6,72,72,140,0,0,0,75,69,150,648,654,1303,19691,19771,39460,1200,1177,2379,21532,21604,43133,0,0,0,10,13,31,0,0,0,10,13,31,11,9,15,157,186,343,19,16,35,186,209,392,656,660,1315,19859,19975,39834,1217,1196,2409,21726,21832,43554,0,0,0,19,14,36,3,0,3,23,14,36
Loganlea - Carbrook,31105,5471,10728,31,54,86,5440,5682,11120,42,51,91,1228,1164,2395,8,10,22,1280,1233,2513,37,29,60,954,1089,2040,16,15,30,999,1134,2132,4,4,6,159,191,353,3,4,6,166,201,368,693,720,1416,23084,23736,46822,1245,1345,2591,25023,25803,50826,0,0,0,10,7,14,0,0,0,10,7,14,64,83,142,2400,2655,5058,278,314,591,2740,3044,5790,756,800,1564,25498,26391,51883,1521,1658,3179,27775,28854,56628,3,0,3,184,360,552,23,43,72,217,404,620
Springwood - Kingston,31106,6263,12265,59,53,106,6260,6565,12819,74,91,162,1508,1410,2917,19,12,28,1602,1504,3106,57,69,130,1683,1733,3415,22,33,53,1767,1830,3599,3,5,14,522,583,1102,4,11,13,532,599,1126,1025,1147,2172,28037,28187,56226,1511,1539,3050,30571,30873,61442,0,0,0,3,3,7,0,0,0,3,3,7,170,194,362,5352,5625,10976,456,497,958,5981,6311,12294,1197,1335,2532,33389,33819,67206,1971,2032,4006,36551,37190,73740,5,6,12,119,213,332,73,57,133,196,280,482
