sa3_name16,sa3_code16,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Queanbeyan,10102,2348,1362,1614,7,7,0,12,21,23,5366,77,29,3,0,0,0,0,0,0,110,316,93,58,6,0,0,0,8,6,484,14505,2683,2291,14,35,27,23,94,79,19644,4979,413,230,3,19,7,3,39,21,5680,7112,813,394,0,3,17,6,28,31,8370,1054,961,1344,0,0,0,11,11,3,3372,429,146,53,0,0,0,0,0,0,625,642,243,235,0,0,0,4,9,9,1134,33,55,10,0,0,0,0,0,0,101,347,49,41,0,4,0,0,4,3,444,72,14,6,3,0,0,0,4,3,100,2580,1464,1688,7,11,0,11,28,22,5782,80,29,3,0,0,0,0,0,0,116,334,102,60,6,0,0,0,8,6,510,15085,2821,2374,14,32,26,30,100,81,20459
Snowy Mountains,10103,1154,213,267,4,19,3,12,36,89,1767,47,0,4,0,0,0,0,0,9,62,180,18,47,4,3,0,0,13,45,302,5957,337,406,20,52,10,23,103,235,7041,2649,56,34,9,14,8,10,40,51,2842,2041,47,46,4,12,3,4,17,36,2183,534,145,178,0,0,0,6,11,16,879,65,8,17,0,0,0,0,0,0,94,433,48,51,0,8,5,3,18,27,577,20,7,9,0,0,0,0,0,0,39,107,8,24,4,4,0,0,12,44,188,65,7,0,0,3,0,0,3,9,78,1223,223,278,4,17,6,14,40,95,1857,47,0,4,0,0,0,0,0,12,64,188,23,47,4,3,0,0,13,45,308,6145,342,414,19,55,12,25,111,240,7259
South Coast,10104,3863,1020,837,34,70,12,32,139,58,5919,143,122,37,3,3,0,0,11,4,319,625,101,78,15,18,3,3,33,17,856,22353,2419,1412,185,269,50,61,565,217,26963,11446,952,342,121,175,29,12,335,77,13147,6731,239,126,15,9,15,14,49,65,7213,2093,644,544,8,18,3,5,43,15,3349,430,168,137,0,0,0,0,5,3,736,1514,195,162,10,12,6,17,39,21,1935,94,54,56,0,0,0,0,0,0,207,154,27,17,20,39,0,10,66,18,278,158,22,16,4,0,0,0,10,9,208,4436,1117,932,39,74,16,32,155,68,6707,152,124,38,4,3,0,0,11,4,329,676,102,79,11,18,3,4,38,20,916,23444,2530,1516,194,276,57,65,585,234,28317
Goulburn - Mulwaree,10105,2393,506,292,17,7,0,26,50,27,3274,75,37,0,0,0,0,0,0,3,118,300,44,12,3,3,0,3,10,8,383,11165,889,344,40,30,22,45,133,79,12607,4673,210,20,14,20,10,8,49,24,4977,3996,95,19,3,0,8,8,24,15,4144,1273,328,217,0,3,0,11,16,7,1842,424,56,50,0,0,0,0,0,0,530,672,74,31,0,0,0,10,14,8,800,45,54,10,0,0,0,0,0,0,112,109,6,5,14,3,0,3,28,10,153,83,9,3,0,0,0,0,0,0,102,2610,532,314,18,9,0,26,54,29,3537,75,37,3,0,0,0,0,0,3,123,313,48,12,3,3,3,3,15,8,397,11671,921,361,40,31,27,43,138,77,13180
Young - Yass,10106,2129,281,207,0,13,0,10,22,28,2667,91,21,10,0,0,0,4,3,3,128,302,32,21,0,0,0,0,3,7,369,11485,520,316,26,16,24,38,98,105,12522,4699,143,61,20,3,8,14,52,35,4989,4541,57,15,3,0,10,7,25,30,4671,967,178,149,0,0,0,0,3,5,1303,174,19,14,0,0,0,0,0,3,209,839,41,28,0,0,0,9,9,16,938,31,25,25,0,0,0,0,0,0,84,204,11,3,0,12,0,0,13,8,238,146,12,3,0,3,0,0,3,0,161,2366,294,224,0,8,0,10,25,25,2932,98,21,10,0,0,0,4,3,3,133,315,31,17,3,0,0,0,4,10,379,12015,540,330,27,17,24,35,102,106,13102
Gosford,10201,8283,3157,3122,12,311,7,68,399,138,15105,231,746,241,0,0,0,0,6,5,1232,1033,400,238,4,11,3,6,25,48,1749,45529,8813,5632,82,406,8,155,650,273,60899,17599,3324,1274,55,57,0,32,145,51,22390,19330,1240,785,3,31,0,49,87,35,21478,5815,1968,2248,0,255,3,46,308,92,10420,654,750,507,0,3,0,0,3,5,1925,2052,421,349,0,52,0,21,69,30,2920,68,133,104,0,0,0,0,0,8,314,246,48,34,10,26,0,3,35,12,372,185,60,38,0,3,0,3,9,3,294,9018,3373,3279,15,336,7,67,425,154,16245,238,757,244,0,0,0,0,6,5,1250,1090,417,245,4,14,3,6,31,54,1841,47268,9110,5827,81,438,8,163,690,297,63202
Wyong,10202,9760,2589,1882,89,53,4,46,184,81,14501,193,228,57,0,0,0,0,3,12,486,1187,275,156,18,5,3,3,31,75,1728,44795,5622,3251,238,104,20,61,427,237,54326,16792,1774,855,123,45,7,6,182,51,19648,18485,807,326,15,3,10,11,30,25,19677,7318,1594,1301,0,4,0,28,40,48,10304,644,664,352,3,0,0,0,3,3,1661,2458,297,226,9,4,0,14,27,19,3021,96,164,94,0,0,0,0,0,4,350,344,56,35,82,50,0,0,131,22,585,189,30,29,0,0,0,3,7,3,254,11046,2809,2032,99,57,4,49,206,91,16177,198,235,59,0,0,0,0,3,12,505,1283,287,159,23,3,3,3,35,77,1843,47797,5913,3429,258,112,22,69,455,249,57847
Bathurst,10301,2825,878,463,3,3,0,10,19,94,4284,67,8,3,0,0,0,0,0,12,93,279,33,20,0,0,0,0,0,49,377,13080,1352,590,14,4,7,19,47,211,15285,5063,282,54,8,3,0,5,21,34,5458,5201,165,44,6,3,0,0,9,27,5451,1908,683,370,0,0,3,8,11,22,2990,372,121,62,0,0,0,0,0,0,564,759,122,44,0,0,0,5,3,11,947,39,14,6,0,0,0,0,0,54,119,104,14,9,0,0,0,0,0,4,134,75,11,13,0,0,0,0,3,7,107,3266,964,500,4,3,4,11,22,99,4853,68,12,3,0,0,0,0,0,12,99,303,46,29,0,0,0,0,0,49,419,13904,1468,632,17,7,8,18,51,222,16280
Lachlan Valley,10302,3421,293,585,14,12,3,39,58,66,4425,121,10,11,0,0,0,3,3,5,154,581,25,42,9,3,4,6,23,12,680,16818,478,725,44,21,13,91,175,217,18409,8163,124,67,25,5,10,25,68,87,8506,5505,32,18,5,0,3,20,29,59,5641,1422,193,386,0,0,0,16,18,13,2033,580,27,87,0,0,0,0,0,0,699,1554,58,88,0,0,3,20,21,31,1748,162,23,53,0,0,0,0,0,4,237,392,7,39,12,6,0,9,32,18,494,227,12,13,0,0,0,5,7,4,258,4336,324,667,16,12,3,42,73,75,5473,140,10,11,0,0,0,3,3,5,173,664,30,54,9,3,7,6,19,17,785,18811,518,816,55,24,24,99,199,235,20578
Lithgow - Mudgee,10303,3056,531,254,15,16,3,44,81,31,3937,109,17,0,0,0,0,4,8,4,133,407,57,15,16,3,0,11,36,11,526,14176,817,352,75,44,17,320,453,142,15938,6357,157,66,32,16,9,157,219,62,6858,4834,60,17,6,3,8,121,137,40,5090,1829,383,153,0,7,0,21,21,8,2390,478,122,56,0,0,0,0,0,0,664,888,43,39,3,0,0,19,26,17,1005,28,21,15,0,0,0,0,0,0,58,143,9,4,9,11,0,9,29,6,187,124,7,4,6,0,0,5,9,3,151,3500,579,265,18,16,3,46,82,34,4468,119,24,0,0,0,0,4,8,4,151,439,58,16,16,3,0,11,36,11,569,15247,879,365,75,49,15,344,481,150,17128
Orange,10304,3825,947,464,3,6,0,15,23,51,5307,71,21,19,3,0,0,0,3,10,124,458,60,33,3,0,0,0,9,78,639,17206,1357,602,33,7,4,32,81,174,19421,6521,228,63,22,0,7,12,38,15,6864,6837,105,36,0,0,0,9,10,20,7004,2643,674,320,0,0,0,8,8,14,3660,526,214,105,0,0,0,0,0,0,853,992,85,35,0,0,0,5,6,10,1130,31,42,26,0,0,0,0,0,11,119,146,11,11,3,4,0,4,10,9,182,101,15,4,0,0,0,0,0,3,120,4453,1036,503,3,10,0,14,26,49,6065,78,21,22,3,0,0,0,6,9,128,506,64,35,3,0,0,0,7,87,696,18380,1452,652,31,11,10,36,84,182,20755
Clarence Valley,10401,2857,588,576,59,29,7,38,127,43,4190,90,12,5,7,0,0,0,7,3,111,447,33,43,16,6,3,3,30,15,571,15493,1019,876,259,167,80,58,566,136,18089,7643,306,190,171,126,38,11,350,50,8540,4989,90,60,16,7,32,10,63,26,5228,1768,341,397,0,3,3,27,28,15,2546,234,73,72,0,0,0,0,0,0,388,1109,110,145,4,5,9,11,30,19,1409,117,73,18,3,0,0,0,3,0,205,125,20,15,56,20,3,3,77,8,248,97,19,3,3,3,0,0,10,3,133,3446,647,645,64,32,14,42,146,49,4939,99,12,5,7,0,0,0,7,3,123,486,43,48,18,6,3,3,36,14,621,16660,1088,947,272,175,86,65,594,145,19441
Coffs Harbour,10402,4780,1748,1758,58,93,12,22,179,127,8590,211,80,36,3,7,0,0,7,7,342,526,139,124,26,17,4,3,53,51,885,23320,3362,2676,242,355,45,39,691,312,30363,10235,940,505,160,239,26,7,438,79,12189,8250,481,274,10,5,4,7,28,59,9091,2845,1115,1302,0,3,3,8,16,54,5334,573,330,279,0,0,0,0,0,3,1186,1601,293,252,11,20,3,7,42,43,2233,102,91,36,0,0,0,4,3,3,236,184,38,31,48,74,4,3,134,20,401,133,16,16,3,0,3,0,8,7,184,5444,1888,1921,66,101,12,26,200,127,9579,214,83,36,3,7,0,0,7,7,351,574,153,127,23,20,4,3,50,54,953,24717,3543,2863,255,371,45,40,720,328,32171
Bourke - Cobar - Coonamble,10501,1406,64,260,8,0,12,17,40,30,1805,103,0,3,0,0,15,0,15,3,125,231,0,15,14,3,15,4,36,14,305,5483,81,304,68,8,132,40,246,107,6214,2888,7,22,47,3,100,16,163,35,3116,1628,3,9,3,0,7,6,18,24,1676,387,20,84,0,0,0,4,3,4,501,470,16,47,0,0,0,0,0,14,554,659,13,52,3,0,8,6,21,15,761,380,3,57,0,0,0,0,0,12,451,586,32,102,4,3,0,11,17,13,748,169,0,17,3,0,4,0,9,7,195,2657,88,355,13,3,12,22,45,63,3206,114,0,3,3,0,15,0,24,3,142,353,0,25,14,3,19,5,39,23,434,7641,98,408,76,13,156,50,286,142,8581
Broken Hill and Far West,10502,1277,103,135,3,4,0,3,8,10,1525,57,4,7,0,0,0,0,0,0,69,248,7,18,0,0,5,3,11,8,290,6722,159,174,12,5,8,6,30,33,7116,3296,31,11,6,0,0,0,10,12,3359,2185,18,0,0,0,0,3,4,7,2219,561,50,41,0,0,0,0,0,0,658,144,29,30,0,0,0,0,0,0,202,604,32,30,0,0,0,0,0,6,664,58,4,21,0,0,0,0,0,0,89,250,12,24,3,0,0,3,7,3,297,82,0,5,0,0,0,0,0,0,95,1700,126,151,4,4,0,4,12,10,1998,65,4,7,0,0,0,0,0,0,73,285,7,21,4,0,5,3,8,6,340,7530,185,197,16,5,5,10,37,42,7995
Dubbo,10503,3472,631,816,14,11,3,61,84,51,5048,125,27,109,3,3,0,4,7,4,280,485,25,66,16,0,3,12,27,14,612,17980,937,1211,58,20,5,247,332,148,20600,8041,165,175,34,3,0,105,144,48,8571,7423,102,54,3,0,0,97,106,39,7725,2478,542,624,3,0,0,45,44,17,3708,689,112,195,0,0,0,3,3,4,1002,1522,75,83,3,0,0,26,31,12,1729,120,58,55,0,0,0,0,0,0,236,303,16,30,7,10,0,4,25,19,390,213,10,15,0,0,0,0,0,3,237,5321,811,995,13,9,3,81,112,64,7302,149,27,110,3,3,0,4,7,4,298,623,28,74,13,0,3,17,35,12,770,21553,1135,1411,66,17,6,297,393,168,24663
Lower Hunter,10601,5275,1283,439,21,12,11,26,59,61,7126,139,48,6,0,0,0,0,0,0,195,612,109,25,5,0,0,0,9,23,774,25204,1910,547,62,25,32,36,154,178,27988,9680,320,43,36,11,16,8,67,48,10161,10741,158,39,5,8,5,3,29,46,11012,3753,1004,320,0,0,0,13,18,40,5129,622,236,112,0,0,0,0,0,3,967,1336,100,47,5,4,0,9,18,15,1509,23,40,3,0,0,0,0,0,0,68,265,29,3,13,6,8,3,29,12,334,159,11,3,0,0,0,0,3,3,184,6154,1421,486,19,11,8,26,70,69,8201,149,48,8,0,0,0,0,0,0,207,676,110,26,5,0,0,0,9,21,842,27400,2059,601,70,29,31,38,171,189,30417
Maitland,10602,4842,1418,467,25,0,3,25,53,41,6818,80,103,0,0,0,0,0,0,58,244,393,64,21,3,0,0,3,8,108,590,21252,2262,548,38,3,10,46,103,369,24537,6952,432,35,15,0,6,5,27,142,7587,9751,246,29,0,0,3,13,17,27,10070,3613,1037,337,0,0,0,19,19,19,5026,739,307,113,0,0,0,3,3,3,1166,857,137,29,0,0,3,3,4,4,1038,27,29,25,0,0,0,0,0,6,83,255,18,11,21,0,0,3,23,11,317,64,15,4,0,0,0,0,0,3,81,5550,1546,518,27,0,3,28,57,39,7711,91,108,0,0,0,0,0,0,58,255,431,69,20,3,0,0,3,8,112,636,22775,2399,602,40,3,11,54,109,379,26258
Port Stephens,10603,3953,1561,541,36,55,3,28,119,35,6213,195,97,17,7,0,0,0,9,3,324,463,114,46,71,51,0,4,118,24,778,19673,3442,955,241,270,15,53,582,124,24773,8387,1185,263,125,166,0,11,301,44,10180,7361,516,88,12,11,14,6,39,21,8021,2562,1138,402,0,0,0,22,23,14,4141,475,160,73,0,0,0,0,0,0,715,899,214,77,3,0,3,12,17,12,1222,41,89,16,0,0,0,0,0,0,144,430,64,12,28,56,0,3,84,8,599,81,19,12,0,0,0,3,7,0,113,4487,1690,585,39,57,3,37,133,41,6939,198,101,17,7,0,0,0,9,3,332,498,120,54,77,53,0,4,127,24,825,20932,3610,1002,254,284,23,60,616,132,26292
Upper Hunter,10604,2496,474,215,11,8,0,3,20,31,3230,57,13,0,0,0,0,0,0,3,74,216,25,22,8,0,0,0,4,14,284,8919,606,286,31,45,9,14,93,91,9988,3161,67,32,15,29,8,7,62,24,3347,3368,37,20,0,3,0,6,7,16,3444,1600,376,135,0,0,0,0,0,15,2124,270,90,44,0,0,0,0,0,0,411,628,22,25,0,0,0,3,3,9,692,51,15,8,0,0,0,0,0,0,78,250,10,7,7,9,0,0,15,14,299,124,9,0,0,0,0,0,0,3,137,2926,531,228,10,8,0,3,20,39,3739,67,13,0,0,0,0,0,0,7,83,244,27,25,8,0,0,0,4,12,311,9758,666,300,37,45,9,14,100,95,10929
Dapto - Port Kembla,10701,4048,1020,1125,3,15,0,30,50,38,6290,83,98,16,0,0,0,0,0,0,206,562,77,107,14,0,0,0,21,10,782,21795,2045,1502,18,24,3,63,104,83,25533,9127,545,137,3,9,0,16,23,10,9840,8469,325,112,0,0,0,14,14,20,8938,2122,471,527,0,0,0,19,25,17,3164,1304,414,479,0,3,0,3,4,0,2203,932,147,131,0,0,0,9,5,15,1236,38,35,33,0,0,0,0,4,0,115,93,21,23,0,11,0,5,12,9,158,61,13,22,0,0,0,3,3,0,103,4544,1107,1219,3,15,0,37,56,41,6972,95,105,16,0,0,0,0,0,0,214,586,88,115,16,0,0,0,20,10,819,22823,2164,1604,20,23,0,61,114,83,26788
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Kiama - Shellharbour,10703,4209,1862,884,16,28,0,40,88,36,7082,71,64,119,3,0,0,0,3,27,290,465,136,58,3,20,0,5,27,14,707,23836,4034,1511,69,247,0,69,392,174,29951,9881,1134,312,43,200,0,18,258,65,11651,9806,878,151,6,10,0,9,22,28,10886,2438,1184,603,0,0,0,20,20,17,4268,1093,435,149,0,0,0,0,0,4,1683,972,258,122,4,4,0,19,27,3,1382,46,49,34,0,0,0,0,0,3,129,84,18,15,14,27,0,4,46,5,168,71,26,14,0,0,0,0,3,4,113,4704,1972,940,19,30,0,46,96,40,7748,81,65,117,3,0,0,0,3,27,295,506,140,58,3,20,0,5,27,14,755,24973,4193,1583,79,260,0,67,407,173,31327
Wollongong,10704,4341,3501,6615,29,8,0,112,154,75,14685,119,137,154,3,3,0,4,14,33,456,606,207,331,12,0,0,3,17,115,1269,27735,6745,10579,183,19,0,171,376,367,45800,12101,1598,1915,141,7,0,31,173,102,15882,11066,1338,1612,7,3,0,20,30,46,14100,2447,1891,4702,4,0,0,78,87,50,9171,878,1153,1057,0,0,0,0,3,4,3095,1078,463,805,5,0,0,24,35,22,2402,48,96,112,0,0,0,3,3,0,269,86,42,82,22,4,0,9,34,3,255,103,35,71,0,0,0,3,7,6,225,4643,3692,6830,29,8,4,120,166,84,15407,123,141,153,3,3,0,4,14,33,465,628,216,339,12,0,0,3,17,120,1317,28556,6985,10849,196,19,4,181,395,384,47170
Great Lakes,10801,1365,525,787,14,27,0,32,81,27,2784,79,47,7,0,0,0,0,0,7,142,292,73,60,4,19,0,6,27,3,452,8819,1674,1258,59,201,9,52,321,92,12159,4708,894,304,44,153,3,10,205,36,6140,2668,158,108,10,0,3,3,20,16,2969,920,291,617,0,0,0,30,30,16,1871,33,123,89,3,0,0,0,3,0,244,498,114,106,3,0,0,5,11,5,737,51,47,32,0,0,0,0,0,0,127,60,14,11,9,26,0,0,33,8,127,62,5,6,3,3,0,3,6,0,84,1618,590,857,11,32,0,35,88,34,3184,81,47,6,0,0,0,0,0,7,144,306,72,64,4,19,0,5,28,3,484,9381,1756,1344,68,212,11,53,343,98,12919
Kempsey - Nambucca,10802,2685,376,519,25,36,9,46,110,47,3730,93,11,9,0,0,0,0,4,3,120,423,31,39,8,10,0,4,25,21,544,14504,630,797,149,226,22,64,465,158,16552,7385,165,187,111,181,11,12,309,52,8100,4554,56,50,10,9,3,4,25,36,4714,1663,269,400,0,0,0,24,27,14,2376,443,57,99,0,0,0,0,0,0,601,1063,51,55,4,4,3,14,29,22,1218,126,55,32,0,0,0,0,0,0,213,118,12,13,19,26,0,7,61,9,213,133,4,3,0,0,0,0,4,4,158,3550,446,610,33,36,9,44,123,53,4779,99,13,9,0,0,0,0,3,3,130,494,34,51,12,9,0,3,25,25,628,16075,718,898,154,242,22,67,490,173,18344
Lord Howe Island,10803,46,0,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,12,130,0,0,0,0,0,0,0,0,130,48,0,0,0,0,0,0,0,0,48,29,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,7,42,0,0,0,0,0,0,0,0,42,3,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,13,132,0,0,0,0,0,0,0,0,132
Port Macquarie,10804,3721,1647,1752,66,43,5,42,149,56,7327,145,224,194,4,0,0,0,7,0,564,526,175,160,18,17,0,0,43,19,924,21488,3875,3132,312,293,16,56,682,176,29353,10366,1353,768,219,229,5,8,461,64,13013,7310,508,275,7,14,0,5,31,35,8162,2615,1078,1186,0,3,3,29,36,25,4934,335,293,323,0,0,0,0,0,3,957,1070,247,259,7,7,3,8,23,17,1616,55,86,46,0,0,0,0,0,5,189,109,42,40,59,41,0,4,106,8,304,98,21,38,3,0,0,0,4,5,169,4285,1762,1892,71,49,3,45,166,62,8161,154,224,194,4,0,0,0,7,0,577,543,184,169,19,21,0,0,42,23,956,22650,4026,3293,321,308,16,60,706,189,30864
Taree - Gloucester,10805,3095,686,664,16,34,0,40,97,43,4579,114,100,3,3,0,0,0,6,0,220,427,68,34,17,10,0,0,23,20,575,16716,1444,859,90,174,20,60,342,141,19505,8469,503,129,48,132,9,9,205,50,9355,5217,103,42,3,8,7,14,31,31,5420,2134,502,466,0,0,0,29,27,28,3160,400,69,134,0,0,0,3,3,3,610,988,82,63,5,0,0,11,16,8,1167,56,64,45,0,0,0,0,0,0,172,97,26,13,19,39,0,0,58,5,186,115,7,6,0,0,0,4,4,0,137,3792,753,730,19,45,0,43,111,46,5428,117,100,3,3,0,0,0,6,0,227,479,78,38,14,10,0,0,27,20,649,18079,1526,944,92,194,25,67,371,152,21079
Albury,10901,4014,2342,316,9,17,0,24,52,41,6760,212,14,0,0,0,0,3,3,4,241,453,118,26,0,3,0,0,4,5,617,18479,3270,391,35,42,4,35,113,91,22350,6850,465,30,14,27,4,5,48,16,7411,7222,328,20,0,0,0,5,8,21,7604,2571,1898,269,0,0,0,14,17,14,4775,508,170,23,0,0,0,0,0,10,713,980,249,27,0,0,0,5,12,13,1279,63,68,3,0,0,0,0,0,3,138,143,23,11,8,10,0,3,21,3,202,98,16,3,0,0,0,0,4,0,118,4361,2431,336,9,17,0,26,50,43,7225,221,14,0,0,0,0,3,3,4,244,480,129,32,0,3,0,0,4,3,655,19140,3374,416,35,42,4,42,121,95,23140
Lower Murray,10902,745,57,137,14,7,0,10,30,13,981,40,0,0,0,4,0,3,7,3,50,140,3,11,8,3,3,0,11,7,176,3713,73,184,53,19,7,18,98,42,4104,1715,9,25,36,6,5,9,53,13,1812,1196,8,9,0,0,0,3,8,9,1229,237,19,98,0,0,0,0,0,4,354,84,7,7,0,0,0,0,0,0,99,368,19,14,3,0,0,8,10,4,418,54,7,18,0,0,0,0,0,0,82,149,3,25,7,4,0,3,16,8,202,53,0,5,3,0,0,0,3,0,68,948,66,165,14,10,0,9,35,17,1224,44,0,0,3,4,0,3,11,3,51,157,3,11,12,3,3,0,11,5,195,4057,79,208,59,23,7,27,108,43,4502
Upper Murray exc. Albury,10903,2702,238,557,15,36,0,44,92,35,3633,113,36,17,3,0,0,10,15,3,186,450,29,55,11,7,0,0,22,16,569,13836,514,846,78,176,7,88,352,97,15641,6354,171,177,52,124,8,25,207,24,6933,4445,41,45,3,5,3,12,26,16,4569,1309,143,412,0,0,0,19,19,13,1894,137,11,27,0,0,0,0,0,9,190,963,53,90,3,6,0,21,26,13,1137,56,21,38,0,0,0,0,0,0,120,312,22,24,8,24,0,7,40,3,399,157,4,12,3,3,0,0,5,0,186,2933,256,602,15,37,0,45,95,38,3919,118,39,17,3,0,0,10,16,3,188,472,33,53,11,7,0,3,22,16,592,14322,530,892,78,179,7,96,358,101,16202
