lga_name_2016,lga_code_2016,f_grdi_grcer_grdi_mng,f_grdi_grcer_grdi_pro,f_grdi_grcer_grdi_ttw,f_grdi_grcer_grdi_cps,f_grdi_grcer_grdi_ca,f_grdi_grcer_grdi_sal,f_grdi_grcer_grdi_mod,f_grdi_grcer_grdi_lab,f_grdi_grcer_grdi_idns,f_grdi_grcer_grdi_tot,f_grdi_grcer_gradcer_mng,f_grdi_grcer_gradcer_pro,f_grdi_grcer_gradcer_ttw,f_grdi_grcer_gradcer_cps,f_grdi_grcer_gradcer_ca,f_grdi_grcer_gradcer_sal,f_grdi_grcer_gradcer_mod,f_grdi_grcer_gradcer_lab,f_grdi_grcer_gradcer_idns,f_grdi_grcer_gradcer_tot,f_bade_bade_mng,f_bade_bade_pro,f_bade_bade_ttw,f_bade_bade_cps,f_bade_bade_ca,f_bade_bade_sal,f_bade_bade_mod,f_bade_bade_lab,f_bade_bade_idns,f_bade_bade_tot,f_advdi_di_advdi_di_nfd_mng,f_advdi_di_advdi_di_nfd_pro,f_advdi_di_advdi_di_nfd_ttw,f_advdi_di_advdi_di_nfd_cps,f_advdi_di_advdi_di_nfd_ca,f_advdi_di_advdi_di_nfd_sal,f_advdi_di_advdi_di_nfd_mod,f_advdi_di_advdi_di_nfd_lab,f_advdi_di_advdi_di_nfd_idns,f_advdi_di_advdi_di_nfd_tot,f_advdi_di_advdi_asde_mng,f_advdi_di_advdi_asde_pro,f_advdi_di_advdi_asde_ttw,f_advdi_di_advdi_asde_cps,f_advdi_di_advdi_asde_ca,f_advdi_di_advdi_asde_sal,f_advdi_di_advdi_asde_mod,f_advdi_di_advdi_asde_lab,f_advdi_di_advdi_asde_idns,f_advdi_di_advdi_asde_tot,f_advdi_di_dip_mng,f_advdi_di_dip_pro,f_advdi_di_dip_ttw,f_advdi_di_dip_cps,f_advdi_di_dip_ca,f_advdi_di_dip_sal,f_advdi_di_dip_mod,f_advdi_di_dip_lab,f_advdi_di_dip_idns,f_advdi_di_dip_tot,f_cert_certiii_iv_mng,f_cert_certiii_iv_pro,f_cert_certiii_iv_ttw,f_cert_certiii_iv_cps,f_cert_certiii_iv_ca,f_cert_certiii_iv_sal,f_cert_certiii_iv_mod,f_cert_certiii_iv_lab,f_cert_certiii_iv_idns,f_cert_certiii_iv_tot,f_cert_certi_ii_mng,f_cert_certi_ii_pro,f_cert_certi_ii_ttw,f_cert_certi_ii_cps,f_cert_certi_ii_ca,f_cert_certi_ii_sal,f_cert_certi_ii_mod,f_cert_certi_ii_lab,f_cert_certi_ii_idns,f_cert_certi_ii_tot,f_cert_cert_nfd_mng,f_cert_cert_nfd_pro,f_cert_cert_nfd_ttw,f_cert_cert_nfd_cps,f_cert_cert_nfd_ca,f_cert_cert_nfd_sal,f_cert_cert_nfd_mod,f_cert_cert_nfd_lab,f_cert_cert_nfd_idns,f_cert_cert_nfd_tot,f_le_id_mng,f_le_id_pro,f_le_id_ttw,f_le_id_cps,f_le_id_ca,f_le_id_sal,f_le_id_mod,f_le_id_lab,f_le_id_idns,f_le_id_tot,f_le_ns_mng,f_le_ns_pro,f_le_ns_ttw,f_le_ns_cps,f_le_ns_ca,f_le_ns_sal,f_le_ns_mod,f_le_ns_lab,f_le_ns_idns,f_le_ns_tot,f_tot_mng,f_tot_pro,f_tot_ttw,f_tot_cps,f_tot_ca,f_tot_sal,f_tot_mod,f_tot_lab,f_tot_idns,f_tot_tot,p_pode_pode_nfd_mng,p_pode_pode_nfd_pro,p_pode_pode_nfd_ttw,p_pode_pode_nfd_cps,p_pode_pode_nfd_ca,p_pode_pode_nfd_sal,p_pode_pode_nfd_mod,p_pode_pode_nfd_lab,p_pode_pode_nfd_idns,p_pode_pode_nfd_tot,p_pode_doctde_mng,p_pode_doctde_pro,p_pode_doctde_ttw,p_pode_doctde_cps,p_pode_doctde_ca,p_pode_doctde_sal,p_pode_doctde_mod,p_pode_doctde_lab,p_pode_doctde_idns,p_pode_doctde_tot,p_pode_masde_mng,p_pode_masde_pro,p_pode_masde_ttw,p_pode_masde_cps,p_pode_masde_ca,p_pode_masde_sal,p_pode_masde_mod,p_pode_masde_lab,p_pode_masde_idns,p_pode_masde_tot,p_grdigrcer_grdigrcernfd_mng,p_grdigrcer_grdigrcernfd_pro,p_grdigrcer_grdigrcernfd_ttw,p_grdigrcer_grdigrcernfd_cps,p_grdigrcer_grdigrcernfd_ca,p_grdigrcer_grdigrcernfd_sal,p_grdigrcer_grdigrcernfd_mod,p_grdigrcer_grdigrcernfd_lab,p_grdigrcer_grdigrcernfd_idns,p_grdigrcer_grdigrcernfd_tot,p_grdi_grcer_grdi_mng,p_grdi_grcer_grdi_pro,p_grdi_grcer_grdi_ttw,p_grdi_grcer_grdi_cps,p_grdi_grcer_grdi_ca,p_grdi_grcer_grdi_sal,p_grdi_grcer_grdi_mod,p_grdi_grcer_grdi_lab,p_grdi_grcer_grdi_idns,p_grdi_grcer_grdi_tot,p_grdi_grcer_gradcer_mng,p_grdi_grcer_gradcer_pro,p_grdi_grcer_gradcer_ttw,p_grdi_grcer_gradcer_cps,p_grdi_grcer_gradcer_ca,p_grdi_grcer_gradcer_sal,p_grdi_grcer_gradcer_mod,p_grdi_grcer_gradcer_lab,p_grdi_grcer_gradcer_idns,p_grdi_grcer_gradcer_tot,p_bade_bade_mng,p_bade_bade_pro,p_bade_bade_ttw,p_bade_bade_cps,p_bade_bade_ca,p_bade_bade_sal,p_bade_bade_mod,p_bade_bade_lab,p_bade_bade_idns,p_bade_bade_tot,p_advdi_di_advdi_di_nfd_mng,p_advdi_di_advdi_di_nfd_pro,p_advdi_di_advdi_di_nfd_ttw,p_advdi_di_advdi_di_nfd_cps,p_advdi_di_advdi_di_nfd_ca,p_advdi_di_advdi_di_nfd_sal,p_advdi_di_advdi_di_nfd_mod,p_advdi_di_advdi_di_nfd_lab,p_advdi_di_advdi_di_nfd_idns,p_advdi_di_advdi_di_nfd_tot
Dumbleyung (S),53010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,22,0,0,4,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,10,7,3,0,5,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,3,14,13,0,0,5,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,22,0,0,4,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
Dundas (S),53080,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,5,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,14,15,6,7,6,4,0,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,14,3,3,3,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0
East Fremantle (T),53150,13,67,3,7,5,0,0,0,3,100,3,16,0,0,0,0,0,0,0,25,92,386,6,49,92,16,0,4,12,654,0,0,0,0,0,0,0,0,0,0,16,55,3,14,26,8,3,0,0,131,15,22,3,26,20,8,0,3,0,100,14,9,27,30,30,10,3,9,0,133,0,0,0,0,7,3,0,0,0,16,3,3,3,13,13,6,0,0,0,42,0,3,3,3,7,3,0,0,0,23,3,3,0,6,4,0,0,4,3,28,194,712,48,147,219,75,8,16,19,1452,3,10,0,0,0,0,0,0,0,15,19,87,0,0,0,0,0,0,0,109,75,173,4,4,19,3,0,0,3,278,4,13,0,0,4,0,0,0,0,18,26,94,3,15,14,3,0,0,3,159,9,23,0,0,0,0,0,0,0,37,249,705,33,68,108,40,7,9,16,1244,0,0,0,0,0,0,0,0,0,0
East Pilbara (S),53220,3,19,0,0,3,0,0,0,0,21,0,4,0,0,0,0,0,0,0,4,29,140,18,9,14,7,18,14,0,249,0,0,0,0,0,0,0,0,0,0,9,10,4,4,3,0,14,3,0,50,8,9,16,24,21,3,21,8,0,112,25,17,44,35,42,14,62,30,3,289,0,3,0,4,12,3,3,10,0,35,0,0,0,8,7,0,15,6,0,37,0,0,0,3,0,0,7,0,0,15,3,5,6,9,3,0,10,7,3,49,98,228,98,98,105,33,152,78,9,897,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,18,41,7,0,4,0,4,0,0,81,0,3,0,0,0,0,0,0,0,5,5,34,0,0,3,0,5,0,0,44,5,9,4,0,0,0,0,0,0,21,67,300,77,24,30,7,57,27,0,588,0,0,0,0,0,0,0,0,0,3
Esperance (S),53290,11,41,3,7,9,0,0,0,0,74,3,7,0,0,0,0,0,0,0,13,61,264,9,31,49,5,3,11,3,425,0,0,0,5,0,0,0,0,0,8,29,41,3,23,28,11,0,3,0,145,23,26,13,45,57,13,0,9,0,180,52,28,72,138,103,40,9,30,9,481,10,4,3,20,24,22,3,20,0,103,13,3,9,13,25,17,3,9,0,90,4,0,0,4,5,0,0,0,0,20,21,10,8,18,24,6,3,10,4,100,222,460,108,301,331,122,24,97,12,1690,0,4,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,16,13,38,0,4,9,0,0,0,0,64,0,5,0,0,0,0,0,0,0,9,12,64,3,13,12,0,0,0,0,105,6,11,0,0,0,0,0,0,0,22,130,383,15,35,60,8,6,23,3,672,0,0,0,5,0,0,0,0,0,8
Exmouth (S),53360,0,6,0,0,4,0,0,0,0,15,0,3,0,0,0,0,0,0,0,3,10,67,3,16,20,6,0,0,5,130,0,0,0,0,0,0,0,0,0,0,8,7,4,4,5,4,0,9,0,35,3,3,3,8,9,6,0,3,0,42,7,3,14,20,27,9,3,9,0,92,0,0,0,10,8,0,0,3,0,24,5,3,0,0,9,0,0,4,0,26,0,0,0,0,0,0,0,0,0,3,0,3,0,5,6,3,0,3,4,23,42,107,34,67,90,28,3,33,4,409,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,11,3,5,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,3,4,13,0,0,4,0,0,0,0,19,0,3,0,0,0,0,0,0,0,6,26,93,15,19,21,8,0,10,4,205,0,0,0,0,0,0,0,0,0,0
Fremantle (C),53430,33,244,9,21,33,5,0,3,3,356,16,58,0,7,9,3,0,0,0,90,274,1452,57,192,256,102,10,42,27,2411,0,0,0,0,0,0,0,0,0,3,41,116,20,69,61,22,0,8,3,344,50,80,35,93,84,35,7,7,3,391,49,36,104,145,114,61,8,32,6,552,3,3,0,13,14,10,0,11,3,56,11,6,4,30,39,13,3,6,0,120,6,17,4,4,14,7,3,4,0,65,13,21,12,36,20,14,5,12,12,137,610,2658,249,643,704,285,37,120,65,5378,8,19,0,3,3,3,0,0,0,29,43,360,0,6,8,0,0,0,7,430,221,700,21,36,66,21,9,3,10,1093,11,33,0,0,4,0,0,0,0,53,68,345,12,25,41,11,0,6,3,515,28,67,3,13,18,3,0,0,0,127,609,2472,178,273,348,156,47,99,54,4244,0,0,0,0,0,0,0,0,0,9
Kalgoorlie/Boulder (C),54280,6,86,4,14,7,3,0,0,0,119,4,16,0,0,5,0,0,0,0,26,85,651,18,92,81,37,19,35,8,1018,0,3,0,5,3,0,0,0,0,15,29,65,10,36,57,13,4,5,0,219,43,74,20,121,99,26,24,15,8,441,68,80,132,251,226,105,61,53,8,981,11,5,12,19,42,42,11,14,0,144,19,6,10,47,58,22,13,20,0,191,5,14,3,12,10,3,0,3,0,47,10,16,12,24,18,20,15,35,13,159,299,1122,222,625,611,269,140,183,43,3520,0,9,0,0,0,0,0,0,0,11,0,42,0,0,0,0,0,0,0,54,52,193,24,16,27,4,12,11,0,340,3,3,0,0,4,0,0,0,0,13,19,128,3,11,9,3,3,0,0,183,8,26,3,3,5,0,0,0,0,42,207,1043,96,121,91,42,76,49,11,1741,0,3,0,5,3,0,0,3,0,19
Karratha (C),54310,6,54,0,20,9,0,0,0,0,90,9,14,0,3,3,0,0,0,0,27,93,442,33,56,102,45,8,33,9,822,0,3,0,0,3,0,0,0,0,11,21,37,18,30,49,8,10,5,3,185,37,53,10,89,83,23,15,22,7,326,56,49,117,139,176,41,48,45,10,677,12,11,3,24,29,16,12,18,0,129,15,9,10,27,54,15,7,19,0,141,4,0,0,6,3,3,0,3,0,20,10,14,7,16,24,23,8,20,9,138,278,755,200,420,545,172,102,176,38,2688,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,31,59,131,19,12,20,6,3,7,3,262,4,8,0,0,0,0,0,0,0,10,13,78,13,23,9,0,0,0,0,124,14,20,4,3,3,0,0,0,0,43,209,752,149,84,124,50,40,63,13,1476,0,3,4,0,3,0,3,0,0,13
Greater Geraldton (C),53800,14,145,4,17,15,0,0,3,0,194,9,36,0,5,4,0,0,0,0,52,91,900,17,108,94,23,0,35,11,1275,0,0,3,4,0,3,0,3,0,12,42,129,13,72,72,18,3,13,6,366,53,93,25,219,124,40,4,19,5,583,94,92,177,413,344,137,23,101,13,1409,20,5,10,40,73,37,0,21,4,216,23,14,8,55,68,30,0,26,0,226,5,12,3,14,17,5,5,0,3,61,22,25,7,45,24,19,7,24,15,188,402,1572,269,996,858,322,48,238,54,4760,0,13,0,0,0,0,0,0,0,17,3,38,0,4,3,0,0,0,0,48,63,159,8,8,13,3,3,4,0,259,6,18,0,0,0,0,0,0,0,22,27,198,4,20,21,3,0,3,0,270,19,41,9,8,5,0,0,0,0,75,237,1264,65,138,124,31,16,56,16,1945,3,0,4,10,0,3,0,3,0,27
Halls Creek (S),53920,3,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,13,48,0,3,7,3,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,0,11,0,3,0,4,0,0,0,0,0,12,3,3,5,14,8,3,0,0,6,37,0,0,0,3,0,0,0,3,0,7,0,4,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,15,32,94,3,32,18,12,0,9,9,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,21,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,5,20,68,3,12,8,3,0,0,0,116,0,0,0,0,0,0,0,0,0,0
Harvey (S),53990,9,76,0,9,11,3,0,0,0,111,0,19,0,0,5,0,0,0,0,33,81,523,24,52,77,22,3,46,7,837,0,0,0,6,0,0,0,0,0,3,20,69,16,48,39,9,3,15,3,220,51,44,31,114,86,30,3,26,8,387,62,46,128,312,257,123,23,78,8,1041,4,3,4,28,43,30,4,16,3,141,21,10,13,54,41,16,0,22,0,172,3,3,0,10,8,0,0,7,0,29,9,10,12,26,17,19,3,27,5,135,272,873,224,669,589,262,42,238,39,3203,3,11,0,0,0,0,0,0,0,14,0,20,0,0,0,0,0,0,0,20,18,82,3,11,4,0,5,3,3,130,3,9,0,0,0,0,0,0,0,14,19,98,4,9,7,3,5,0,0,156,3,25,0,0,3,0,0,0,0,39,172,777,54,70,104,36,21,115,10,1362,0,0,3,6,0,0,0,0,0,12
Irwin (S),54060,0,7,0,0,3,0,0,0,0,17,0,3,0,0,0,0,0,0,0,3,10,55,0,3,8,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,8,12,0,7,7,0,0,4,0,44,8,6,4,12,11,0,0,3,0,46,4,13,16,24,22,16,3,10,0,110,3,0,0,0,13,3,0,3,0,23,0,0,0,6,9,4,0,6,0,19,0,0,0,0,0,0,0,0,0,0,11,0,0,5,7,4,0,4,0,37,43,99,23,72,79,31,4,31,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,0,0,0,0,17,0,3,0,0,0,0,0,0,0,3,30,66,0,3,11,0,6,3,0,125,0,0,0,0,0,0,0,0,0,0
Goomalling (S),53710,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,14,0,0,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,9,0,0,0,6,4,0,0,0,0,12,4,4,3,4,8,0,0,3,0,34,3,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,4,19,27,7,23,28,7,0,4,0,118,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,17,20,0,0,3,0,3,0,0,42,0,0,0,0,0,0,0,0,0,0
Gosnells (C),53780,33,222,6,63,45,10,0,14,4,398,12,74,3,4,21,0,0,4,0,113,318,2345,162,535,717,261,21,215,39,4608,3,0,3,11,10,5,0,3,0,31,93,254,53,191,233,78,12,49,11,975,162,207,130,572,426,163,20,92,27,1789,189,181,387,1070,772,310,79,203,40,3223,22,12,16,85,119,97,15,56,10,440,46,38,36,196,184,74,19,51,3,648,12,46,14,46,62,30,7,20,6,243,27,56,19,121,92,64,22,58,56,514,1038,4017,858,2998,2854,1144,191,821,195,14118,3,29,0,0,8,5,0,0,0,49,29,269,7,3,11,4,11,13,3,343,289,989,115,158,274,129,88,96,26,2156,16,53,0,3,9,3,3,0,0,93,63,342,24,65,68,20,15,14,4,618,26,103,7,12,27,3,0,8,5,186,839,4022,656,787,1077,470,339,451,90,8718,8,4,7,15,5,7,5,6,0,61
Kalamunda (S),54200,38,182,4,24,31,7,0,0,3,300,4,59,0,3,16,0,0,0,0,86,191,1387,82,176,334,109,10,49,17,2355,0,0,4,8,5,0,0,0,0,17,67,205,35,139,180,42,6,24,8,700,102,132,57,252,266,71,13,28,11,936,129,108,225,595,477,176,40,109,23,1864,22,9,10,42,83,39,0,22,0,221,22,21,18,101,129,50,7,18,8,379,11,17,8,26,36,8,4,4,0,111,14,25,9,53,86,40,16,26,14,278,660,2429,485,1442,1688,544,102,289,88,7731,4,18,0,0,4,0,0,0,0,33,22,127,3,0,5,0,0,0,3,164,163,373,37,48,75,26,12,13,10,757,11,28,0,0,3,3,0,0,0,45,70,290,14,35,40,14,4,4,5,486,23,78,3,14,18,3,0,0,0,138,576,2254,247,254,458,167,79,116,35,4180,3,0,4,8,5,0,0,3,0,22
Katanning (S),54340,0,10,0,3,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,6,9,84,0,16,6,0,0,5,0,130,0,0,0,3,0,0,0,0,0,5,4,7,0,3,3,0,0,0,0,23,7,6,0,11,5,0,0,0,0,35,8,4,20,33,29,12,3,10,0,117,0,0,0,11,6,3,0,6,0,23,0,0,0,4,5,8,0,7,0,22,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,3,5,10,3,24,46,123,26,81,56,22,10,33,3,411,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,23,0,8,0,0,0,0,0,0,0,9,20,124,3,14,6,0,6,11,0,192,0,0,0,3,0,0,0,3,0,8
Kellerberrin (S),54410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,4,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,0,4,0,3,3,0,0,0,0,13,7,0,4,26,5,0,0,0,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,8,17,33,8,34,16,0,0,5,4,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,4,3,4,3,0,3,0,56,0,0,0,0,0,0,0,0,0,0
Kent (S),54480,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,13,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,0,4,3,0,0,0,0,10,8,3,0,4,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,19,0,8,12,7,0,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,25,12,0,0,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
Kojonup (S),54550,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,20,51,3,8,11,3,0,0,3,102,0,0,0,0,0,0,0,0,0,0,14,8,0,0,6,0,0,0,0,33,3,0,0,5,3,0,0,3,0,18,11,0,7,13,13,4,3,6,0,61,0,0,0,3,0,0,0,0,0,7,4,0,0,3,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,10,0,3,0,3,0,0,6,0,27,68,75,14,40,31,10,5,19,4,269,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,59,66,7,8,8,8,3,4,3,159,0,0,0,0,0,0,0,0,0,0
Kondinin (S),54620,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,6,3,7,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,14,4,0,0,6,3,0,0,0,0,11,3,0,3,4,3,0,0,3,0,21,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,3,12,34,18,5,20,15,5,7,9,3,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,23,14,3,6,6,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0
Koorda (S),54690,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,4,8,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,0,6,8,0,5,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Kulin (S),54760,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,20,0,3,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,10,5,0,0,0,3,0,0,0,0,10,7,3,4,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,32,5,12,5,6,0,3,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,23,0,3,3,3,0,3,0,55,0,0,0,0,0,0,0,0,0,0
Kwinana (C),54830,10,88,4,30,13,11,0,3,0,153,5,37,0,3,0,3,0,0,0,49,98,717,56,172,208,73,13,46,9,1391,4,0,0,4,3,0,0,0,0,13,21,70,25,77,73,21,4,24,6,320,49,79,36,215,132,61,4,14,9,599,80,70,162,430,307,139,27,93,23,1334,15,9,4,32,57,42,6,25,3,191,14,10,8,58,51,36,3,20,3,213,3,9,0,8,16,11,0,3,6,59,7,21,5,32,33,20,6,30,19,179,327,1263,308,1087,942,437,66,285,68,4784,0,13,0,0,3,0,0,0,0,21,8,47,3,5,0,0,0,0,0,62,49,243,22,49,91,36,13,21,3,514,0,17,0,0,4,0,0,0,0,29,18,136,3,29,26,11,3,3,0,226,7,45,4,8,3,3,0,0,0,74,223,1147,228,234,276,117,105,114,33,2480,4,0,4,4,3,3,0,0,0,21
Lake Grace (S),54900,3,3,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,24,20,0,7,10,3,0,5,0,66,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,14,3,0,0,9,4,0,0,0,0,15,6,3,6,6,3,3,3,3,0,34,0,0,0,0,0,0,0,0,0,5,3,0,0,0,7,0,0,0,0,14,3,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,8,47,27,9,20,36,9,3,11,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,39,24,0,6,10,0,3,7,0,94,0,0,0,0,0,0,0,0,0,0
Leonora (S),55040,5,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,16,0,3,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,4,3,0,0,0,0,16,3,0,4,6,4,0,7,0,0,33,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,32,6,15,20,3,9,7,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,8,45,0,4,3,0,7,3,0,74,0,0,0,0,0,0,0,0,0,0
