lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Glen Eira (C),22310,4814,4087,8900,314,421,738,7,0,5,485,572,1056,74,58,131,20714,17718,38436,716,1333,2045,212,0,215,257,23,279,833,195,1024,217,141,355,733,934,1663,29379,25481,54860,577,474,1049,0,0,0,548,495,1043,600,412,1012,86,159,247,125,54,180,1940,1594,3529,0,0,0,27,42,70,11,15,20,11,25,36,11,12,23,56,91,147,226,184,410,2216,1864,4084,367,366,731,6,6,17,11,10,19,393,381,775,1574,2099,3669,1981,3807,5789,250,218,464,35790,33846,69634
Greater Geelong (C),22750,1347,812,2163,619,696,1314,22,8,39,19,15,38,106,81,188,37955,33071,71022,2143,2716,4865,550,13,562,248,28,280,664,192,856,299,136,439,1273,1380,2654,45255,39152,84403,87,59,143,0,0,0,80,69,148,467,298,764,47,42,87,68,13,83,747,482,1227,0,0,0,0,0,0,42,56,99,37,75,108,15,13,25,91,142,236,361,222,584,1198,849,2049,271,219,493,18,11,26,26,9,33,306,240,547,1667,2295,3959,4120,7528,11648,515,454,975,53059,50516,103580
Moonee Valley (C),25060,2611,2619,5229,148,220,360,9,3,13,789,1300,2086,61,59,119,18023,14790,32816,755,1365,2120,207,3,212,257,34,292,812,255,1073,188,124,316,590,708,1293,24452,21473,45929,432,417,849,0,3,3,514,511,1023,311,306,618,53,88,146,55,25,77,1363,1346,2711,0,0,0,53,69,124,24,33,54,9,14,24,0,5,8,85,128,214,229,242,466,1677,1713,3393,283,327,607,4,15,17,14,7,22,302,353,655,915,1224,2145,1822,3347,5165,245,233,477,29417,28346,57761
Moorabool (S),25150,255,272,523,19,33,49,0,0,0,3,4,6,9,3,11,5435,4406,9832,302,320,622,189,8,196,30,0,33,21,0,23,44,21,66,164,125,289,6468,5186,11660,25,10,38,0,0,0,12,17,33,100,60,157,12,19,34,15,0,15,156,116,274,0,0,0,0,0,0,3,0,3,4,0,8,0,0,0,8,0,13,79,19,97,239,138,377,50,58,107,3,0,3,3,0,4,55,57,116,348,417,765,587,966,1553,90,77,169,7782,6843,14632
Moreland (C),25250,4111,3758,7874,253,374,620,9,4,11,3149,4199,7350,140,70,210,21715,16548,38257,968,1500,2470,282,8,291,407,61,469,2783,1729,4509,288,143,438,919,1102,2025,35026,29495,64513,349,336,679,0,0,0,671,709,1376,314,288,605,59,105,160,149,75,227,1538,1514,3057,0,0,0,155,298,447,13,23,40,8,20,24,10,12,19,185,342,530,486,456,942,2211,2317,4524,375,377,752,26,31,56,40,33,68,439,439,878,1236,1580,2815,2412,4426,6838,459,316,778,41781,38570,80352
Mornington Peninsula (S),25340,301,146,454,211,148,361,15,13,21,15,10,24,18,15,35,25586,21803,47394,1354,1402,2752,590,11,600,104,12,112,172,49,221,251,134,390,1033,704,1744,29654,24450,54101,57,27,92,0,0,0,10,3,14,319,164,479,14,30,47,5,0,5,405,225,629,0,0,0,0,3,3,7,11,20,25,29,59,9,3,11,36,49,89,259,112,372,699,391,1088,97,70,163,4,5,10,8,9,17,108,84,193,1772,2584,4352,2520,4549,7070,344,341,690,35097,32401,67498
Mount Alexander (S),25430,121,114,230,8,11,16,0,0,0,5,0,7,3,4,4,2359,2141,4496,158,155,308,44,0,45,17,0,17,51,29,80,26,9,35,163,148,313,2953,2603,5560,7,4,12,0,0,0,5,5,14,39,14,57,9,8,16,20,5,26,79,43,115,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,5,29,16,47,109,60,171,33,27,55,0,0,0,0,0,3,35,24,60,329,347,680,367,621,984,55,60,110,3845,3714,7558
Moyne (S),25490,4,0,4,12,7,21,0,0,0,0,0,4,0,0,0,2488,2136,4627,101,133,238,95,3,100,73,7,84,28,10,37,62,21,86,271,164,437,3140,2490,5633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,7,9,32,11,40,32,15,48,0,0,0,0,0,0,3,0,3,6,0,6,616,466,1084,323,525,851,63,55,120,4183,3543,7730
Murrindindi (S),25620,12,9,17,23,15,36,0,0,0,3,3,3,0,0,0,2115,1690,3804,105,101,206,60,3,60,24,3,27,25,0,24,33,23,52,153,144,295,2539,1989,4530,0,0,0,0,0,0,0,0,0,23,18,35,0,0,4,0,0,0,24,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,20,4,27,45,20,71,3,0,3,0,0,0,3,0,3,6,0,6,288,257,542,279,441,721,44,38,81,3204,2746,5954
Nillumbik (S),25710,980,751,1727,93,98,189,5,0,4,3,7,15,17,3,17,11651,10019,21665,492,605,1100,268,5,273,96,5,107,107,18,120,103,48,155,195,193,389,14010,11767,25773,90,51,145,0,0,0,37,32,68,353,255,608,45,61,107,36,3,37,561,412,970,0,0,0,0,0,0,23,20,39,9,22,30,0,0,0,32,39,67,86,52,138,676,504,1180,105,80,179,3,0,4,10,0,11,117,81,197,796,1150,1942,1117,2134,3250,114,123,241,16825,15755,32575
Northern Grampians (S),25810,5,4,10,7,9,14,0,0,0,0,3,3,0,0,0,1699,1423,3127,116,125,242,55,4,60,6,0,7,23,3,29,39,17,56,145,139,288,2105,1728,3831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,9,7,20,9,5,19,0,0,0,3,0,3,0,0,0,3,0,3,193,181,370,215,358,575,39,26,61,2561,2292,4859
Port Phillip (C),25900,1641,1698,3346,349,462,808,17,3,21,4114,4872,8986,113,103,218,12911,11142,24052,524,930,1451,66,7,75,404,72,482,1711,890,2603,242,173,413,2091,2338,4436,24191,22690,46882,102,124,227,0,0,0,536,554,1091,51,58,116,8,15,30,49,44,94,749,801,1547,0,0,0,105,170,273,9,8,19,6,6,13,14,16,26,131,209,333,390,367,759,1263,1374,2640,196,187,382,13,23,38,36,35,70,247,244,486,1503,1723,3231,1549,2553,4104,196,170,365,28954,28756,57705
Pyrenees (S),25990,0,5,5,3,5,4,0,0,0,0,0,0,0,0,0,899,745,1648,41,68,110,46,8,55,3,0,8,3,0,10,18,4,21,68,37,111,1086,876,1955,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,16,17,6,21,0,0,4,0,0,0,0,0,0,3,0,6,176,141,318,124,190,320,27,21,47,1427,1235,2664
Queenscliffe (B),26080,12,5,13,0,3,3,0,0,0,0,0,0,0,0,0,310,286,594,8,17,26,9,0,9,3,0,3,8,5,16,7,0,6,30,28,62,390,343,732,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,12,4,15,8,3,14,0,0,0,0,0,0,9,3,14,51,59,109,64,97,163,3,7,11,534,514,1046
South Gippsland (S),26170,5,5,10,31,18,44,0,0,0,3,4,3,4,0,4,4060,3445,7503,218,235,454,109,9,118,57,9,71,29,9,34,68,30,99,380,284,665,4963,4045,9007,0,4,4,0,0,0,0,0,0,16,5,19,0,0,0,0,0,0,15,8,18,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,4,9,43,23,64,62,33,93,8,6,11,0,0,0,3,0,6,10,8,12,717,701,1417,578,908,1486,81,90,171,6414,5775,12184
Southern Grampians (S),26260,4,0,4,14,4,18,0,0,0,0,3,4,6,7,11,2400,2136,4540,132,141,272,58,3,63,16,11,30,18,9,27,50,20,68,275,199,474,2983,2524,5506,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,18,10,23,20,10,27,3,0,0,0,0,0,0,0,0,3,0,0,437,365,804,284,518,796,55,53,105,3783,3461,7250
Stonnington (C),26350,4887,4486,9374,192,242,435,7,3,15,1268,1769,3034,78,59,138,13391,11314,24704,420,892,1313,48,5,54,219,24,247,1126,420,1540,185,136,322,1850,2254,4102,23675,21602,45281,207,180,391,0,0,0,721,811,1534,160,151,315,38,41,86,100,64,162,1237,1245,2480,0,0,0,46,49,100,0,10,18,3,3,4,4,3,8,55,67,122,238,180,425,1527,1501,3027,201,200,401,4,5,10,21,12,32,223,216,444,1431,1690,3123,1613,2644,4256,212,190,406,28684,27850,56530
Strathbogie (S),26430,7,9,15,6,7,15,0,0,0,3,0,3,0,0,0,1435,1264,2699,89,88,172,56,0,52,14,3,12,11,15,31,23,11,30,136,112,245,1774,1498,3270,0,0,0,0,0,0,0,0,3,6,3,8,0,0,0,0,0,3,10,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,27,30,18,45,0,5,8,0,0,0,0,0,0,0,7,5,277,248,532,181,275,454,40,29,62,2292,2075,4369
Surf Coast (S),26490,108,75,183,45,31,76,0,0,0,7,6,18,3,0,9,5016,4211,9228,255,238,487,94,0,94,25,3,22,58,29,92,52,29,83,215,210,425,5870,4834,10703,0,0,3,0,0,0,4,3,6,89,41,128,0,6,5,3,0,0,89,56,148,0,0,0,0,0,0,0,4,3,3,9,10,3,0,4,8,8,18,38,20,58,141,86,225,39,29,60,0,3,3,0,0,0,36,27,66,567,680,1241,634,1061,1693,71,77,147,7313,6770,14079
Swan Hill (RC),26610,4,0,5,12,18,30,3,0,3,0,0,0,7,3,13,3277,2480,5756,245,252,496,48,0,48,18,3,18,44,12,59,43,12,57,272,283,551,3972,3067,7040,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,24,8,27,27,13,35,0,0,0,0,0,0,4,0,4,9,0,9,279,285,568,262,495,761,92,74,164,4637,3934,8568
Towong (S),26670,0,0,0,5,8,10,0,0,0,0,0,0,0,0,0,852,691,1549,37,51,86,24,5,32,29,5,35,7,6,7,20,10,27,96,92,189,1067,866,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,20,10,8,24,0,0,0,0,0,0,3,0,3,3,0,5,218,155,378,124,166,288,27,24,44,1451,1223,2673
Wangaratta (RC),26700,5,0,5,21,20,41,3,0,3,0,4,4,8,12,19,4531,4003,8533,254,302,552,109,0,110,38,12,53,100,42,147,36,17,53,286,285,574,5405,4695,10097,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,3,7,49,23,72,56,33,88,0,3,5,0,0,0,0,0,0,0,3,5,400,422,819,503,911,1415,93,93,190,6453,6165,12616
Warrnambool (C),26730,3,5,6,39,23,67,0,0,0,4,4,9,22,16,35,5766,5225,10992,510,525,1034,82,0,82,40,0,43,111,36,142,54,19,74,368,294,660,6994,6149,13141,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,0,5,3,5,7,3,0,3,13,6,20,55,29,79,64,32,99,0,0,3,0,0,4,3,0,3,3,4,8,174,279,455,628,1111,1741,71,77,154,7943,7656,15601
Wellington (S),26810,14,11,22,48,13,64,3,0,3,0,0,0,11,10,25,6181,5459,11645,406,421,830,131,8,140,104,29,131,120,40,162,179,46,225,465,380,849,7668,6420,14090,0,0,3,0,0,0,0,3,3,0,3,4,0,0,0,0,0,0,3,5,11,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,6,0,6,85,29,111,92,32,125,5,5,11,0,0,0,12,0,12,21,7,24,622,645,1270,874,1290,2157,140,137,280,9416,8528,17944
West Wimmera (S),26890,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,522,455,973,17,31,45,19,0,19,9,3,7,4,0,4,42,8,50,95,62,163,704,565,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,14,8,3,14,0,0,0,0,0,0,5,0,5,5,0,5,217,168,384,54,99,155,15,13,29,1016,848,1860
Whitehorse (C),26980,4011,3151,7163,615,757,1375,3,0,3,313,312,625,53,45,99,23183,19626,42812,964,1853,2818,258,4,265,227,17,242,441,74,516,215,115,334,864,954,1817,31158,26900,58063,951,685,1634,0,0,0,284,230,519,763,514,1277,114,218,325,106,33,140,2213,1678,3893,0,0,0,72,88,158,31,27,58,25,49,73,11,11,18,133,178,308,258,172,426,2605,2025,4627,503,450,954,10,20,37,17,10,28,529,482,1017,1598,1870,3466,2482,4555,7042,272,218,490,38649,36057,74705
Whittlesea (C),27070,2322,2270,4593,324,393,721,26,3,26,125,126,256,185,32,221,35152,26151,61301,1615,2142,3760,716,9,724,199,11,204,137,24,167,254,107,363,324,381,702,41383,31655,73039,468,443,913,0,0,0,104,101,197,846,659,1505,93,176,268,29,14,37,1536,1384,2917,0,0,0,18,25,44,27,25,55,28,58,85,9,10,18,83,118,204,325,194,515,1938,1696,3640,376,432,804,5,14,16,17,8,23,394,454,843,822,1524,2347,2646,5004,7652,573,462,1038,47753,40805,88550
Wodonga (C),27170,9,7,18,39,41,78,3,3,6,0,3,0,15,14,25,7291,6126,13422,444,481,922,122,7,127,65,0,66,131,22,154,67,34,102,451,240,689,8623,6977,15598,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,3,5,4,3,0,3,6,5,12,70,38,108,86,41,127,3,3,4,0,0,0,3,0,7,7,3,10,178,346,528,595,1158,1753,101,71,177,9597,8604,18199
Wyndham (C),27260,4187,3671,7854,227,351,573,14,6,21,23,28,49,180,49,230,37531,25114,62652,2020,2923,4943,562,3,565,308,18,328,233,39,274,365,159,524,445,492,945,46100,32859,78962,864,738,1603,0,0,0,186,189,371,1226,822,2046,176,344,523,118,36,153,2562,2134,4693,0,0,3,3,0,4,17,19,41,18,54,70,5,5,17,48,82,130,406,220,622,3017,2435,5451,817,866,1678,4,13,18,17,9,24,837,884,1723,1186,2329,3513,2953,4877,7828,539,398,936,54628,43775,98411
Yarra (C),27350,2054,1995,4044,300,344,642,12,7,14,3397,3971,7365,80,81,163,9024,7651,16676,342,676,1016,51,0,53,275,47,323,2683,1686,4369,171,126,294,2871,3406,6282,21253,19988,41244,131,115,245,0,0,0,458,580,1040,56,49,101,18,23,42,104,65,172,766,833,1599,0,0,0,75,118,190,10,5,11,0,7,11,8,9,19,88,143,231,305,317,615,1157,1294,2450,154,169,329,7,12,21,37,31,66,198,214,412,1179,1279,2455,1363,2493,3860,187,168,358,25336,25443,50781
Yarra Ranges (S),27450,1261,961,2221,228,202,436,9,3,15,8,8,13,29,6,37,28321,23411,51726,1379,1351,2730,787,7,801,205,10,215,120,24,148,170,94,263,560,516,1073,33082,26597,59674,210,147,360,0,0,0,50,34,82,578,413,989,69,86,153,28,3,32,937,685,1625,0,0,0,0,0,0,12,11,25,31,29,63,3,3,3,42,48,91,286,124,416,1266,857,2126,196,160,361,4,0,4,12,0,18,217,167,384,1567,2323,3889,2658,5002,7661,367,316,681,39160,35256,74415
Yarriambiack (S),27630,0,0,0,6,4,11,0,0,3,0,0,0,0,0,0,833,699,1529,39,47,93,19,0,23,4,0,9,19,6,23,41,5,47,131,89,223,1094,858,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,3,10,10,8,17,0,0,0,0,0,0,0,0,0,0,0,0,203,144,346,86,182,271,20,15,33,1419,1206,2626
Unincorporated Vic,29399,0,0,0,7,3,13,4,0,4,0,3,0,0,0,0,30,23,56,5,7,12,0,0,0,0,0,0,3,0,3,42,14,59,97,81,177,192,125,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,3,7,0,0,0,0,0,0,0,0,0,0,0,3,23,17,44,29,34,62,3,3,6,251,186,440
No usual address (Vic.),29499,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
Aurukun (S),30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,41,7,10,13,0,0,0,0,0,0,0,3,5,0,0,0,79,74,151,122,90,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,8,3,5,138,97,231
Balonne (S),30300,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,693,557,1250,37,49,90,20,0,24,3,7,12,11,6,14,23,8,22,98,95,187,889,717,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,18,10,3,18,0,0,0,0,0,0,3,0,3,3,0,3,160,139,304,72,112,183,18,15,34,1162,993,2149
Banana (S),30370,0,0,0,72,18,89,3,0,0,0,0,3,0,3,4,2315,1794,4105,247,166,413,71,5,78,47,8,60,36,23,61,66,27,96,223,211,436,3082,2260,5346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,3,0,0,0,3,3,9,38,10,43,38,16,56,0,0,0,0,0,0,3,0,3,3,0,5,458,422,884,410,368,775,72,50,123,4066,3115,7185
Barcaldine (R),30410,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,363,311,671,35,37,70,16,3,18,8,3,10,8,17,25,24,16,40,94,105,201,555,479,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,149,131,273,40,68,104,16,7,24,766,682,1447
Barcoo (S),30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,24,58,5,0,5,3,0,3,0,0,0,0,0,0,7,3,5,22,24,47,71,52,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,19,11,28,12,4,16,0,0,0,98,72,167
Blackall-Tambo (R),30760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,209,447,12,13,26,11,0,7,4,0,4,12,6,17,12,3,19,67,62,135,348,303,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,0,10,0,0,0,0,0,0,3,3,5,3,3,5,93,81,172,28,51,81,12,3,18,492,446,932
Longreach (R),34710,0,0,0,3,0,3,0,0,0,0,0,0,3,3,8,564,572,1136,33,73,102,15,0,15,7,0,9,22,14,36,18,3,24,95,97,188,760,764,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,7,6,15,0,0,0,0,0,0,3,0,4,3,0,4,97,89,183,68,102,169,20,21,40,961,980,1938
Mackay (R),34770,14,3,13,853,181,1035,5,0,6,0,0,3,44,42,81,19787,17078,36868,1520,1385,2904,450,21,467,351,33,383,309,103,413,201,102,301,723,586,1306,24256,19529,43789,0,3,3,0,0,0,0,0,0,3,5,7,0,0,4,0,0,0,6,11,14,3,0,3,0,0,0,74,12,83,23,9,30,4,4,10,104,24,129,233,92,321,345,123,465,4,0,4,5,7,10,17,0,15,25,4,30,819,1405,2222,2762,2898,5662,312,251,566,28518,24213,52732
McKinlay (S),34800,0,0,0,26,0,31,0,0,0,0,0,0,0,0,0,95,54,151,7,4,11,13,0,14,0,0,0,0,5,3,17,4,19,58,61,122,214,131,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,60,106,12,10,22,5,0,5,285,204,490
Mapoon (S),34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,39,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,10,12,19,39,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,35,82
Maranoa (R),34860,0,0,0,18,10,31,0,0,0,0,0,0,4,3,8,1993,1774,3772,180,158,336,125,3,130,33,12,47,39,11,51,54,33,87,221,216,437,2675,2230,4907,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,14,41,36,13,50,0,0,0,0,0,0,6,0,5,6,0,5,436,396,832,205,269,466,44,54,92,3398,2955,6356
Mareeba (S),34880,0,0,0,84,45,129,0,0,5,0,0,0,3,3,12,2564,2490,5048,225,283,508,116,5,121,49,5,55,46,15,52,100,33,129,253,203,450,3438,3078,6513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,3,6,8,40,15,54,47,16,67,0,0,0,3,0,4,0,0,0,5,0,8,407,392,800,319,442,762,78,57,138,4296,3988,8284
Moreton Bay (R),35010,2937,3449,6383,1007,921,1925,15,3,20,14,3,17,102,81,188,66660,57785,124445,4393,5318,9717,2260,36,2295,1863,166,2033,631,158,794,813,318,1134,1400,1449,2856,82104,69692,151797,541,472,1013,0,0,0,0,0,0,1658,1760,3414,245,336,582,178,18,203,2621,2592,5214,3,3,4,0,0,0,101,142,249,48,120,169,28,14,40,178,278,458,826,393,1214,3627,3266,6885,338,372,714,40,23,60,32,16,51,409,414,820,3384,5355,8741,7961,11751,19703,848,682,1535,98334,91156,189495
Mornington (S),35250,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,34,18,60,37,40,80,0,0,0,0,0,0,0,3,3,3,0,8,66,66,139,145,148,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,0,3,4,155,157,314
Mount Isa (C),35300,3,0,3,12,4,15,0,0,3,0,0,0,30,47,72,3524,2882,6397,306,349,660,59,0,63,152,8,158,110,26,129,27,17,41,222,225,447,4446,3558,8006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,29,66,47,27,70,0,0,0,0,0,0,3,3,8,3,3,8,40,101,138,399,364,763,66,54,115,5005,4104,9108
Murweh (S),35600,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,582,570,1159,66,85,152,32,0,32,23,11,25,23,8,33,21,6,31,70,81,151,821,770,1592,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,9,9,17,0,0,0,0,0,0,0,0,0,0,0,0,129,108,241,55,112,166,16,19,32,1035,1014,2046
Napranum (S),35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,30,85,13,11,22,0,0,0,0,0,0,0,0,0,0,0,0,19,7,24,88,43,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,3,9,0,0,0,98,55,153
