lga_name_2016,lga_code_2016,d_5_9_fpet_mptlf,d_5_9_fpet_mpnlf,d_5_9_fpet_mplfsns,d_5_9_fpet_t,d_5_9_fpulftw_mpeft,d_5_9_fpulftw_mpept,d_5_9_fpulftw_mp_eaw,d_5_9_fpulftw_mp_e_hns,d_5_9_fpulftw_mpet,d_5_9_fpulftw_mpulftw,d_5_9_fpulftw_mpulptw,d_5_9_fpulftw_mput,d_5_9_fpulftw_mptlf,d_5_9_fpulftw_mpnlf,d_5_9_fpulftw_mplfsns,d_5_9_fpulftw_t,d_5_9_fpulptw_mpeft,d_5_9_fpulptw_mpept,d_5_9_fpulptw_mpeaw,d_5_9_fpulptw_mp_e_hns,d_5_9_fpulptw_mpet,d_5_9_fpulptw_mpulftw,d_5_9_fpulptw_mpulptw,d_5_9_fpulptw_mput,d_5_9_fpulptw_mptlf,d_5_9_fpulptw_mpnlf,d_5_9_fpulptw_mplfsns,d_5_9_fpulptw_t,d_5_9_fput_mpeft,d_5_9_fput_mpept,d_5_9_fput_mpeaw,d_5_9_fput_mpehns,d_5_9_fput_mpet,d_5_9_fput_mpulftw,d_5_9_fput_mpulptw,d_5_9_fput_mput,d_5_9_fput_mptlf,d_5_9_fput_mpnlf,d_5_9_fput_mplfsns,d_5_9_fput_t,d_5_9_fptlf_mpeft,d_5_9_fptlf_mpept,d_5_9_fptlf_mpeaw,d_5_9_fptlf_mpehns,d_5_9_fptlf_mpet,d_5_9_fptlf_mpulftw,d_5_9_fptlf_mpulptw,d_5_9_fptlf_mput,d_5_9_fptlf_mptlf,d_5_9_fptlf_mpnlf,d_5_9_fptlf_mplfsns,d_5_9_fptlf_t,d_5_9_fpnlf_mpeft,d_5_9_fpnlf_mpept,d_5_9_fpnlf_mpeaw,d_5_9_fpnlf_mpehns,d_5_9_fpnlf_mpet,d_5_9_fpnlf_mpulftw,d_5_9_fpnlf_mpulptw,d_5_9_fpnlf_mput,d_5_9_fpnlf_mptlf,d_5_9_fpnlf_mpnlf,d_5_9_fpnlf_mplfsns,d_5_9_fpnlf_t,d_5_9_fplfsns_mpeft,d_5_9_fplfsns_mpept,d_5_9_fplfsns_mpeaw,d_5_9_fplfsns_mpehns,d_5_9_fplfsns_mpet,d_5_9_fplfsns_mpulftw,d_5_9_fplfsns_mpulptw,d_5_9_fplfsns_mput,d_5_9_fplfsns_mptlf,d_5_9_fplfsns_mpnlf,d_5_9_fplfsns_mplfsns,d_5_9_fplfsns_t,d_5_9_fpt_mpeft,d_5_9_fpt_mpept,d_5_9_fpt_mpeaw,d_5_9_fpt_mpehns,d_5_9_fpt_mpet,d_5_9_fpt_mpulftw,d_5_9_fpt_mpulptw,d_5_9_fpt_mput,d_5_9_fpt_mptlf,d_5_9_fpt_mpnlf,d_5_9_fpt_mplfsns,d_5_9_fpt_t,d_10_12_fpeft_mpeft,d_10_12_fpeft_mpept,d_10_12_fpeft_mpeaw,d_10_12_fpeft_mpehns,d_10_12_fpeft_mpet,d_10_12_fpeft_mpulftw,d_10_12_fpeft_mpulptw,d_10_12_fpeft_mput,d_10_12_fpeft_mptlf,d_10_12_fpeft_mpnlf,d_10_12_fpeft_mplfsns,d_10_12_fpeft_t,d_10_12_fpept_mpeft,d_10_12_fpept_mpept,d_10_12_fpept_mpeaw,d_10_12_fpept_mpehns,d_10_12_fpept_mpet,d_10_12_fpept_mpulftw,d_10_12_fpept_mpulptw,d_10_12_fpept_mput,d_10_12_fpept_mptlf,d_10_12_fpept_mpnlf,d_10_12_fpept_mplfsns,d_10_12_fpept_t,d_10_12_fpeaw_mpeft,d_10_12_fpeaw_mpept,d_10_12_fpeaw_mpeaw,d_10_12_fpeaw_mpehns,d_10_12_fpeaw_mpet,d_10_12_fpeaw_mpulftw,d_10_12_fpeaw_mpulptw,d_10_12_fpeaw_mput,d_10_12_fpeaw_mptlf,d_10_12_fpeaw_mpnlf,d_10_12_fpeaw_mplfsns,d_10_12_fpeaw_t,d_10_12_fphns_mpeft,d_10_12_fphns_mpept,d_10_12_fphns_mpeaw,d_10_12_fphns_mpehns,d_10_12_fphns_mpet,d_10_12_fphns_mpulftw,d_10_12_fphns_mpulptw,d_10_12_fphns_mput,d_10_12_fphns_mptlf,d_10_12_fphns_mpnlf,d_10_12_fphns_mplfsns,d_10_12_fphns_t,d_10_12_fpet_mpeft,d_10_12_fpet_mpept,d_10_12_fpet_mpeaw,d_10_12_fpet_mpehns,d_10_12_fpet_mpet,d_10_12_fpet_mpulftw,d_10_12_fpet_mpulptw,d_10_12_fpet_mput,d_10_12_fpet_mptlf,d_10_12_fpet_mpnlf,d_10_12_fpet_mplfsns,d_10_12_fpet_t,d_10_12_fpulftw_mpeft,d_10_12_fpulftw_mpept,d_10_12_fpulftw_mpeaw,d_10_12_fpulftw_mpehns,d_10_12_fpulftw_mpet,d_10_12_fpulftw_mpulftw,d_10_12_fpulftw_mpulptw,d_10_12_fpulftw_mput,d_10_12_fpulftw_mptlf,d_10_12_fpulftw_mpnlf,d_10_12_fpulftw_mplfsns,d_10_12_fpulftw_t,d_10_12_fpulptw_mpeft,d_10_12_fpulptw_mpept,d_10_12_fpulptw_mpeaw,d_10_12_fpulptw_mpehns,d_10_12_fpulptw_mpet,d_10_12_fpulptw_mpulftw,d_10_12_fpulptw_mpulptw,d_10_12_fpulptw_mput,d_10_12_fpulptw_mptlf,d_10_12_fpulptw_mpnlf,d_10_12_fpulptw_mplfsns,d_10_12_fpulptw_t,d_10_12_fput_mpeft,d_10_12_fput_mpept,d_10_12_fput_mpeaw,d_10_12_fput_mpehns,d_10_12_fput_mpet,d_10_12_fput_mpulftw,d_10_12_fput_mpulptw,d_10_12_fput_mput,d_10_12_fput_mptlf,d_10_12_fput_mpnlf,d_10_12_fput_mplfsns,d_10_12_fput_t,d_10_12_fptlf_mpeft,d_10_12_fptlf_mpept,d_10_12_fptlf_mpeaw,d_10_12_fptlf_mpehns,d_10_12_fptlf_mpet,d_10_12_fptlf_mpulftw,d_10_12_fptlf_mpulptw,d_10_12_fptlf_mput,d_10_12_fptlf_mptlf,d_10_12_fptlf_mpnlf,d_10_12_fptlf_mplfsns,d_10_12_fptlf_t,d_10_12_fpnlf_mpeft,d_10_12_fpnlf_mpept,d_10_12_fpnlf_mpeaw,d_10_12_fpnlf_mpehns
Monash (C),24970,5319,197,5,5520,91,11,4,0,110,20,4,22,132,0,0,130,172,31,0,0,198,15,12,29,224,8,0,240,258,43,4,3,308,32,18,53,362,9,0,370,4825,590,49,42,5505,132,38,171,5681,212,5,5890,1593,205,27,34,1855,43,14,62,1918,229,13,2153,3,0,0,6,13,0,0,0,13,3,12,20,6418,798,78,75,7372,177,59,235,7604,438,24,8066,1104,142,13,11,1266,41,13,50,1318,60,0,1379,1591,214,17,12,1828,37,11,52,1880,57,0,1937,26,3,11,0,36,0,0,0,36,3,0,37,13,3,0,13,34,0,0,0,34,0,0,34,2735,361,34,37,3171,77,19,98,3269,123,3,3391,46,3,0,0,47,14,3,15,61,0,0,64,92,16,0,0,105,13,0,16,122,9,0,129,133,14,0,0,154,25,3,28,180,10,0,187,2871,376,34,37,3321,99,29,128,3445,130,3,3578,663,108,10,17
Strathfield (A),17100,931,31,0,959,30,8,0,0,37,7,0,7,42,0,0,43,34,3,0,0,39,0,0,0,38,0,0,40,67,10,0,0,75,6,0,6,82,4,0,86,857,119,8,14,993,16,0,17,1013,34,0,1050,392,74,6,8,485,17,4,19,506,79,5,583,0,0,0,3,5,0,0,0,5,0,6,5,1252,190,21,26,1482,39,4,39,1523,109,11,1643,239,26,0,0,266,9,7,10,276,6,0,280,220,42,3,0,266,5,4,6,274,11,0,283,3,0,0,0,4,0,0,0,4,3,0,7,3,0,0,6,9,0,0,0,9,0,0,8,458,68,0,3,543,10,9,15,555,22,0,579,7,0,0,0,11,4,0,4,18,0,0,18,10,4,0,0,16,0,0,0,17,0,0,20,21,5,0,0,27,6,0,9,33,0,0,34,478,75,3,3,562,19,9,23,588,25,0,616,180,33,5,5
Sutherland Shire (A),17150,9352,166,8,9521,41,8,0,0,48,8,0,8,56,4,0,61,169,10,3,0,178,3,0,3,183,0,0,183,204,15,3,3,227,10,0,10,232,4,0,238,8686,624,82,105,9498,79,12,88,9583,170,8,9757,1699,116,17,34,1857,25,4,32,1889,78,3,1972,11,0,0,3,15,0,0,0,15,0,11,18,10392,738,99,143,11369,102,21,117,11486,247,22,11757,1789,148,22,11,1967,28,6,29,1999,58,0,2062,2864,187,18,34,3102,25,3,24,3128,41,0,3174,58,14,10,0,77,0,0,0,77,3,0,78,21,0,0,33,50,0,0,0,47,0,0,50,4727,345,50,76,5199,49,9,60,5261,100,0,5361,22,0,0,0,24,3,0,3,23,3,0,26,86,7,0,4,97,6,0,6,101,5,0,104,100,10,0,6,117,9,0,8,121,4,0,126,4828,355,45,78,5313,56,7,67,5383,106,0,5493,800,53,17,19
Sydney (C),17200,1892,81,0,1977,28,3,0,0,28,3,0,3,34,0,0,37,45,3,0,0,55,8,0,8,60,8,0,66,71,12,0,0,83,8,0,8,92,5,0,102,1636,221,29,32,1914,58,10,72,1982,88,0,2076,385,53,13,4,456,17,4,17,480,94,3,571,3,0,0,5,4,0,0,0,4,0,0,7,2024,269,42,42,2374,76,14,90,2467,183,3,2654,359,46,3,3,412,14,3,18,424,34,0,461,274,46,10,6,339,4,0,4,340,17,0,361,4,0,0,0,9,0,0,0,9,0,0,9,3,0,0,4,10,0,0,0,9,0,0,8,642,94,11,12,764,23,5,21,783,53,0,840,8,0,0,0,12,0,0,0,10,3,0,12,20,3,0,0,25,0,0,0,25,0,0,23,25,3,0,0,30,0,0,0,35,3,0,34,670,97,11,17,792,24,5,25,820,59,0,876,116,31,3,3
Tamworth Regional (A),17310,1981,55,0,2041,15,3,0,0,23,8,0,13,32,3,0,39,30,12,0,0,45,3,0,3,46,0,0,46,50,17,0,0,65,10,0,17,83,3,0,88,1764,187,43,26,2028,34,8,39,2061,66,0,2126,337,50,7,12,406,15,4,20,427,84,3,513,3,0,0,4,5,0,0,0,5,0,0,12,2105,237,51,42,2443,46,12,54,2495,147,4,2649,499,33,7,8,546,3,0,4,553,28,0,580,502,52,6,7,570,10,3,11,585,15,0,597,21,3,11,0,25,0,0,0,25,3,0,27,5,0,0,5,13,0,0,0,13,5,0,15,1025,86,24,23,1153,16,3,20,1175,49,0,1228,8,3,0,0,12,3,0,3,23,4,0,23,11,6,0,0,13,0,0,0,17,5,0,19,21,10,0,0,32,7,0,7,37,7,0,49,1048,97,20,25,1184,22,3,27,1212,58,0,1271,146,24,0,3
Temora (A),17350,220,7,0,228,5,0,0,0,5,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,11,0,0,8,206,12,6,0,219,3,0,3,227,7,0,232,50,8,0,0,58,4,0,3,65,5,0,69,0,0,0,0,0,0,0,0,0,0,3,3,253,18,6,7,286,6,0,9,288,13,3,311,39,5,0,3,46,0,0,0,46,3,0,51,65,4,0,0,73,0,0,0,73,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,3,112,12,0,5,125,0,0,0,125,8,0,133,3,3,0,0,6,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,7,0,0,7,112,11,0,5,135,0,0,0,136,8,0,137,19,3,0,0
Tenterfield (A),17400,142,7,0,149,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,3,0,0,0,3,0,0,3,117,16,3,11,142,6,0,6,144,7,0,156,34,7,0,0,41,0,0,0,46,13,0,63,0,0,0,0,0,0,0,0,0,7,0,3,151,18,3,8,184,3,0,3,192,27,0,216,32,0,0,0,31,0,0,0,31,3,0,32,45,14,0,3,62,0,0,0,63,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,71,16,0,8,103,0,0,0,100,5,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,3,0,4,0,0,4,0,0,0,4,0,0,3,71,21,0,8,102,0,0,0,106,6,0,112,15,3,0,0
Glen Eira (C),22310,5392,148,12,5555,60,0,0,0,65,12,0,12,74,4,0,74,169,12,3,0,186,4,3,9,191,3,0,193,234,14,3,0,251,13,3,13,263,9,0,271,4912,520,47,67,5544,97,15,108,5658,154,12,5826,1235,135,11,37,1420,29,4,38,1459,105,0,1561,7,0,0,10,20,0,0,0,20,0,5,22,6154,656,58,116,6988,128,17,146,7127,263,17,7409,1031,94,3,3,1137,24,9,34,1176,39,3,1218,1611,144,10,21,1783,27,4,30,1815,41,3,1854,26,10,9,0,43,0,0,0,43,3,0,44,17,4,0,17,38,0,0,0,39,0,3,40,2683,250,18,39,3000,56,15,66,3060,83,3,3151,30,0,0,0,28,10,0,8,40,0,0,40,89,11,0,0,100,3,0,3,103,5,0,108,118,12,0,0,127,14,0,15,145,5,0,147,2800,264,18,40,3125,64,13,77,3202,90,3,3296,532,69,3,5
Glenelg (S),22410,463,17,0,482,5,0,0,0,5,3,0,3,9,0,0,9,3,0,0,0,4,0,0,0,4,0,0,11,10,0,0,0,13,3,0,3,12,0,0,19,397,59,7,8,472,8,0,8,477,21,0,498,140,27,5,6,172,3,0,8,179,24,0,201,3,0,0,0,3,0,0,0,3,0,0,3,534,80,12,13,645,14,0,15,659,44,0,702,89,5,0,0,96,5,0,5,106,6,0,113,161,24,5,0,186,0,0,0,192,12,0,197,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,3,0,0,3,252,32,11,4,298,6,0,6,304,18,0,319,4,0,0,0,4,3,0,3,8,3,0,5,8,0,0,0,4,0,0,0,5,0,0,8,7,0,0,0,9,3,0,3,10,3,0,13,257,28,11,4,304,7,0,7,315,19,0,337,54,3,8,5
Golden Plains (S),22490,956,39,6,999,3,0,0,0,3,0,0,0,3,0,0,5,17,4,0,0,21,0,0,0,26,3,0,27,22,4,0,0,25,0,0,0,30,3,0,31,863,83,21,11,980,4,3,5,986,38,6,1027,269,36,8,9,316,3,0,3,323,23,0,344,4,0,3,0,6,0,0,0,6,0,0,6,1129,120,27,24,1300,11,3,12,1309,62,4,1380,175,27,5,3,206,3,0,8,206,16,0,226,363,38,4,6,411,0,0,0,411,11,0,423,11,0,3,0,10,0,0,0,13,0,0,16,6,0,0,4,8,0,0,0,8,0,0,14,552,62,14,13,640,9,0,9,642,24,0,677,0,0,0,0,4,0,0,0,4,0,0,6,11,0,0,0,11,0,0,0,16,0,0,16,19,0,0,0,17,0,0,0,20,0,0,17,570,65,14,13,658,9,3,7,661,26,0,691,116,19,6,16
Greater Bendigo (C),22620,3388,121,3,3509,35,6,0,0,41,8,0,8,49,4,0,51,75,6,0,0,87,8,4,14,102,6,0,106,112,18,0,3,131,13,4,17,152,9,0,162,2989,375,67,51,3480,50,16,63,3543,128,3,3675,857,129,19,26,1030,51,13,65,1096,174,4,1273,11,0,0,0,11,0,0,0,11,0,7,14,3856,502,90,74,4520,101,25,123,4644,304,11,4964,551,68,14,10,641,12,0,13,650,36,0,683,991,127,19,15,1154,10,5,15,1163,29,3,1197,33,11,8,0,47,0,0,0,47,3,0,49,8,0,0,6,19,0,0,0,19,3,0,20,1593,199,38,28,1856,17,4,26,1880,75,3,1955,21,5,0,0,26,0,0,0,23,3,0,29,39,0,0,0,43,0,3,6,47,7,0,56,60,5,0,0,68,3,3,6,75,11,0,79,1649,206,38,29,1919,25,8,31,1950,83,3,2032,390,65,6,18
Greater Dandenong (C),22670,2999,194,5,3193,88,21,0,4,109,25,0,25,142,23,3,162,124,34,3,5,164,22,13,36,202,21,0,221,210,57,3,11,276,55,13,64,339,37,3,385,2551,532,24,77,3172,132,33,165,3340,226,9,3574,1501,459,24,73,2050,134,41,179,2229,762,4,2992,14,5,0,11,27,0,0,0,27,4,37,68,4063,994,45,155,5249,266,71,341,5595,997,46,6635,662,104,4,4,784,21,6,26,804,66,0,876,548,172,0,14,735,21,4,32,766,44,0,814,20,0,9,0,26,0,0,0,27,5,0,34,13,7,0,17,36,0,0,0,36,6,0,43,1242,294,13,39,1579,42,15,57,1635,121,5,1763,42,13,0,4,59,24,0,30,87,11,0,96,46,11,0,3,67,13,14,21,87,9,0,91,89,26,0,9,126,36,14,54,173,19,0,193,1327,314,10,47,1703,79,24,105,1815,141,5,1958,681,224,9,41
Greater Geelong (C),22750,7002,209,3,7218,59,10,3,0,68,9,0,9,84,3,0,88,186,17,3,3,210,18,3,17,226,6,3,236,246,26,6,6,281,27,3,27,313,10,3,325,6227,729,135,64,7152,130,30,164,7311,220,7,7547,1936,261,43,54,2294,71,26,92,2390,297,3,2685,12,0,0,7,20,0,0,0,20,0,11,29,8178,989,178,119,9463,201,54,254,9719,520,21,10266,1075,166,15,11,1268,27,11,36,1300,74,6,1385,2261,224,29,15,2532,32,6,39,2570,77,3,2652,61,6,17,0,86,0,0,0,88,10,0,93,23,3,0,26,46,0,0,0,48,0,0,49,3414,400,67,49,3932,58,19,79,4012,156,8,4180,36,8,0,0,45,5,0,5,52,4,0,58,83,9,0,3,89,5,3,10,98,0,3,106,122,14,4,3,134,13,3,19,156,3,3,163,3536,415,68,55,4071,78,23,94,4169,160,13,4340,781,110,14,28
Moonee Valley (C),25060,3808,93,4,3897,29,5,0,0,36,5,0,8,43,3,0,48,96,17,0,0,115,0,0,0,118,9,0,124,125,25,0,0,146,14,0,9,156,8,0,170,3438,338,57,42,3876,68,18,84,3964,100,4,4067,887,107,13,31,1041,37,3,40,1079,106,3,1185,3,0,0,3,8,3,0,3,10,4,12,24,4331,447,75,74,4930,108,18,126,5053,214,19,5280,683,75,7,3,769,23,6,24,794,24,0,823,1215,97,4,11,1323,21,0,22,1349,21,4,1379,21,4,5,0,27,3,0,3,34,0,0,35,10,0,0,14,24,0,0,0,24,0,0,32,1930,170,18,28,2151,47,5,49,2198,49,7,2258,13,5,0,0,18,10,3,11,24,3,0,27,53,5,0,0,60,0,0,0,64,4,0,62,61,10,0,0,73,13,5,11,85,5,0,91,1989,183,18,28,2225,56,10,64,2286,56,7,2353,407,39,10,6
Moorabool (S),25150,1113,37,0,1151,9,0,0,0,12,0,0,0,12,0,0,12,23,0,0,0,23,5,0,5,30,0,0,27,35,0,0,0,34,5,0,5,36,0,0,38,979,119,20,14,1123,25,0,21,1148,42,0,1193,382,44,8,14,445,17,3,13,459,37,0,500,0,0,0,0,3,0,0,0,3,0,0,3,1360,160,30,24,1575,37,3,37,1612,77,3,1692,206,27,4,3,250,0,0,0,246,9,0,257,339,27,3,3,370,5,0,5,378,10,0,393,12,3,4,0,16,0,0,0,15,3,0,23,0,0,0,0,3,0,0,0,3,0,0,3,559,60,15,7,640,11,0,11,648,24,0,675,9,0,0,0,11,0,0,0,11,0,0,11,18,0,0,0,18,0,0,0,15,0,0,15,23,0,0,0,26,0,0,0,32,0,0,32,582,58,15,7,669,10,0,10,683,24,0,702,156,20,3,0
Moreland (C),25250,4270,163,10,4443,49,16,0,0,69,17,0,19,83,3,0,89,109,20,0,5,137,16,6,27,161,9,0,172,160,34,0,4,203,33,9,46,248,18,0,264,3693,554,58,51,4357,111,47,153,4511,182,11,4701,1285,266,25,56,1623,86,24,107,1733,348,11,2091,13,4,0,13,25,0,0,0,25,4,17,50,4991,823,80,117,6011,199,67,262,6274,531,37,6844,651,90,12,3,752,26,9,35,788,53,0,846,1073,161,9,15,1262,23,11,34,1292,49,0,1340,17,9,6,0,33,3,0,3,39,0,0,38,14,3,0,4,26,0,0,0,26,12,0,36,1760,261,26,20,2067,56,12,71,2140,112,3,2259,28,8,0,0,32,6,0,9,43,0,0,44,48,13,0,3,66,13,3,21,88,6,0,92,79,20,0,3,100,24,5,27,127,10,0,138,1835,281,26,27,2174,79,20,98,2273,121,3,2392,495,131,15,29
Mornington Peninsula (S),25340,4993,188,13,5186,30,0,0,0,32,7,0,7,37,4,0,39,147,19,0,3,164,13,0,13,179,4,0,185,177,18,0,3,194,21,0,21,210,9,0,225,4488,483,73,79,5123,74,3,80,5202,195,13,5414,1301,140,25,32,1500,25,0,25,1517,132,8,1657,6,0,0,0,6,0,0,0,6,0,15,24,5802,624,101,104,6631,96,3,98,6729,328,33,7092,805,117,8,3,935,16,3,20,950,47,0,995,1691,210,32,15,1940,25,0,25,1966,57,0,2027,34,3,11,0,49,0,0,0,49,3,0,53,19,0,0,22,40,0,0,0,43,6,0,44,2546,325,44,44,2961,41,3,46,3006,115,4,3125,31,0,0,0,32,0,0,0,31,0,0,37,66,13,0,0,82,4,0,4,82,4,0,86,96,14,0,0,112,7,0,7,119,5,0,124,2643,338,44,45,3072,47,3,49,3121,119,4,3242,529,72,14,15
Mount Alexander (S),25430,433,36,0,475,4,0,0,0,4,3,0,3,7,0,0,7,7,0,0,0,11,0,0,0,11,0,0,10,13,0,0,0,12,3,0,3,16,0,0,19,347,89,6,3,439,9,6,13,453,40,0,496,127,29,0,0,154,3,0,3,159,15,0,172,0,0,0,0,0,0,0,0,0,0,0,0,472,113,4,6,598,5,6,15,606,52,3,668,79,24,0,0,102,4,0,5,104,7,0,109,124,49,5,0,176,0,0,0,171,8,0,186,11,0,0,0,10,0,0,0,10,0,0,10,9,0,0,3,12,0,0,0,12,0,0,12,214,75,3,9,295,3,0,9,301,19,0,322,3,0,0,0,3,0,0,0,4,0,0,4,4,0,0,0,3,0,0,0,3,0,0,7,5,0,0,0,10,0,0,0,7,0,0,8,218,75,3,9,304,8,0,6,308,19,0,330,49,16,7,5
Moyne (S),25490,665,19,0,686,0,0,0,0,4,3,0,3,8,0,0,8,11,0,0,0,9,0,0,0,9,0,0,9,11,0,0,0,12,3,0,3,15,0,0,15,580,69,16,6,672,3,0,5,675,19,0,700,149,29,6,13,196,5,0,5,202,13,0,213,0,0,0,0,0,0,0,0,0,0,3,3,732,93,29,19,866,9,0,11,880,31,7,917,112,13,0,0,128,0,0,0,126,7,3,138,232,36,3,3,265,0,0,3,269,14,0,279,8,0,3,0,12,0,0,0,12,0,0,12,4,0,0,0,7,0,0,0,7,0,0,7,360,45,7,3,414,0,3,0,414,18,3,434,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,4,0,0,0,6,0,0,6,6,0,0,0,8,0,0,0,13,0,0,13,366,42,7,3,422,3,3,6,422,18,3,448,84,5,0,4
Murrindindi (S),25620,365,24,0,392,3,0,0,0,3,0,0,0,3,0,0,3,8,3,0,0,7,3,0,3,14,3,0,19,12,3,0,0,11,3,0,3,17,3,0,23,317,47,10,5,378,10,0,10,388,28,0,416,102,15,3,5,129,0,0,0,128,13,0,142,0,0,0,0,0,0,0,0,0,0,5,9,424,62,8,14,502,13,0,13,518,46,6,571,67,12,3,0,87,0,0,0,87,0,0,86,151,17,3,0,168,0,0,0,170,9,0,173,3,0,3,0,3,3,0,3,5,0,0,5,0,0,0,3,5,0,0,0,5,3,0,6,219,33,10,3,263,3,0,3,268,7,0,277,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,5,0,0,0,5,0,0,0,5,0,0,5,228,33,10,3,271,3,0,3,272,7,0,285,46,12,3,3
Nillumbik (S),25710,2698,52,0,2754,12,0,0,0,12,0,0,0,19,0,0,19,47,4,0,0,53,0,3,3,53,3,0,60,62,4,0,0,66,3,3,7,75,3,0,76,2444,223,36,24,2732,34,8,41,2767,58,0,2828,536,52,3,18,608,8,0,8,611,26,6,650,4,0,0,3,8,0,0,0,8,0,0,4,2986,276,35,48,3342,43,8,47,3390,81,11,3481,517,54,5,0,578,3,3,9,583,20,0,602,1016,77,11,4,1104,13,0,11,1113,20,0,1131,24,8,10,0,36,0,0,0,36,0,0,36,8,0,0,3,15,0,0,0,15,3,0,13,1557,135,20,11,1727,14,5,19,1746,37,0,1785,5,0,0,0,9,0,0,0,9,0,0,9,28,0,0,0,28,3,0,3,28,0,0,32,32,0,0,0,34,5,0,5,41,0,0,41,1594,138,20,11,1765,15,5,19,1784,38,0,1827,281,17,0,4
Northern Grampians (S),25810,275,14,0,288,4,0,0,0,4,0,0,0,6,0,0,3,3,0,0,0,3,0,3,3,5,0,0,5,4,0,0,0,4,0,3,3,10,0,0,11,237,29,6,3,273,4,4,9,283,19,0,298,56,7,3,3,75,5,0,5,81,12,0,89,0,0,0,0,0,0,0,0,0,0,0,0,296,38,11,4,352,10,4,10,360,30,0,391,41,7,0,0,48,0,0,0,51,3,0,50,104,15,0,3,125,3,0,3,123,11,0,134,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,150,20,3,3,173,6,0,6,180,15,0,194,0,0,0,0,0,3,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3,6,0,0,11,148,20,3,3,178,6,0,6,187,18,0,200,36,8,0,0
Port Phillip (C),25900,1997,78,0,2075,24,3,0,0,23,7,0,7,32,0,0,36,43,7,0,0,47,3,0,3,48,0,0,48,64,3,0,0,70,14,0,14,85,0,0,87,1773,216,27,23,2039,36,3,45,2081,75,0,2162,461,55,3,7,527,12,5,17,539,46,0,593,4,0,0,3,9,0,0,0,9,0,6,11,2242,265,25,40,2571,52,11,63,2632,127,3,2759,355,62,0,0,413,15,4,13,425,30,0,460,452,51,0,3,511,12,4,13,520,22,0,544,10,0,3,0,10,0,0,0,14,0,0,14,3,0,0,4,8,0,0,0,8,0,0,6,815,116,7,6,943,25,3,31,969,48,0,1018,7,0,0,0,6,0,0,0,13,3,0,15,24,3,0,0,25,0,0,0,25,0,0,27,27,3,0,0,33,0,0,0,36,4,0,40,843,118,5,5,970,25,5,28,1001,51,0,1056,157,27,0,4
Pyrenees (S),25990,179,4,0,184,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,8,0,0,0,9,0,0,9,152,21,9,0,186,0,0,0,186,4,0,189,72,7,3,3,81,0,0,0,88,10,0,96,0,0,0,0,0,0,0,0,0,0,0,0,226,26,9,0,268,0,0,3,268,16,0,289,34,3,0,0,44,0,0,0,41,4,0,49,57,4,8,0,66,0,0,0,69,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,9,7,0,114,3,0,3,113,6,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,4,0,0,4,94,11,7,0,118,5,0,5,119,6,0,125,29,5,3,3
Queenscliffe (B),26080,62,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,0,3,60,0,0,0,62,6,0,65,12,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,51,17,0,3,68,0,0,0,68,6,0,73,11,0,0,0,16,0,0,0,16,0,0,13,25,5,0,0,30,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,0,43,0,0,0,43,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,0,43,0,0,0,43,0,0,46,4,0,3,0
