lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Mid-Western Regional (A),15270,2660,5670,50,41,94,3212,2841,6056,44,58,104,839,758,1601,7,23,32,895,838,1736,45,22,65,611,486,1099,11,12,27,670,522,1198,0,3,3,32,21,50,0,3,3,30,30,62,584,552,1131,8959,8879,17834,1032,1030,2069,10575,10459,21033,3,0,3,17,10,27,4,0,4,19,13,31,37,31,64,456,483,936,72,80,151,558,593,1157,622,584,1206,9425,9368,18800,1106,1113,2223,11158,11067,22219,6,0,7,97,169,271,10,13,21,112,185,300
Moree Plains (A),15300,994,2218,24,8,30,1515,1325,2839,172,162,334,339,242,588,4,3,10,523,405,928,120,95,214,300,161,462,11,3,9,430,262,687,18,11,20,22,15,31,0,0,0,40,22,55,1067,1261,2322,3646,3423,7068,572,534,1107,5279,5215,10495,0,0,0,6,3,10,0,0,0,6,0,7,139,143,281,492,483,974,113,109,218,741,741,1478,1201,1406,2603,4143,3913,8053,679,646,1322,6025,5955,11977,8,7,16,53,58,105,12,9,19,73,71,146
Mosman (A),15350,1209,1875,3,9,12,671,1219,1892,0,0,0,232,317,555,3,0,3,239,323,555,0,0,0,104,121,223,0,0,0,102,119,222,0,0,0,24,17,44,0,0,0,26,17,45,3,13,17,5672,5938,11611,225,248,477,5902,6197,12097,0,0,0,0,0,0,0,0,0,0,0,0,18,17,38,5878,7547,13425,457,597,1050,6352,8158,14510,21,28,49,11548,13482,25030,685,844,1529,12251,14355,26607,0,0,7,133,172,307,55,32,91,196,204,402
Murray River (A),15520,918,2079,13,7,21,1195,966,2166,16,26,41,551,423,976,3,3,4,566,451,1021,14,15,27,403,317,719,3,8,14,424,334,759,3,3,8,17,6,23,0,0,0,22,7,26,128,178,304,4350,4337,8689,314,307,625,4799,4818,9623,0,0,3,8,4,8,0,0,0,10,9,18,19,23,36,356,429,779,38,52,92,413,495,908,147,198,349,4712,4770,9481,362,358,716,5224,5323,10546,0,3,3,67,82,154,3,8,14,71,98,166
Murrumbidgee (A),15560,338,797,6,3,11,498,380,878,13,7,19,158,114,272,0,0,0,169,120,292,17,12,28,143,85,227,5,0,4,164,101,261,0,0,0,0,3,7,0,0,0,0,7,9,125,129,248,1428,1312,2740,185,151,338,1733,1589,3322,0,0,0,0,5,3,0,0,0,0,5,3,3,10,11,70,42,118,10,13,17,88,66,148,128,132,265,1501,1359,2864,189,166,352,1820,1656,3476,0,3,3,18,17,36,14,5,18,36,20,56
Muswellbrook (A),15650,1830,3936,24,21,45,2286,1987,4270,65,83,143,578,561,1142,7,7,11,643,650,1294,30,25,55,349,313,665,12,3,13,394,340,739,0,3,7,19,9,32,0,3,3,23,18,38,570,572,1141,5896,5760,11657,415,384,792,6878,6714,13589,0,0,0,0,0,3,0,0,0,0,0,3,44,46,86,455,471,933,69,58,126,568,578,1143,613,617,1228,6355,6237,12593,480,441,921,7447,7287,14735,34,4,40,310,110,421,9,15,23,350,132,481
Nambucca (A),15700,2476,4927,41,40,80,2616,2683,5297,57,73,126,814,847,1664,10,16,28,879,938,1815,47,45,93,529,425,957,9,10,17,590,484,1070,6,3,11,20,14,37,0,0,0,29,22,48,586,628,1214,6680,6969,13648,497,509,1008,7760,8114,15868,0,0,0,17,9,26,3,0,6,23,9,37,64,83,154,763,772,1534,75,60,136,913,915,1824,651,711,1363,7462,7750,15214,578,573,1151,8690,9037,17730,0,3,3,96,139,237,21,15,36,116,157,276
Narrabri (A),15750,1311,2774,18,18,37,1622,1518,3144,81,68,146,464,361,823,5,3,9,548,436,980,54,44,100,353,229,589,5,5,10,416,278,698,4,0,4,19,9,33,0,0,0,26,16,34,647,708,1351,4421,4401,8823,510,528,1042,5578,5638,11215,0,0,0,3,3,5,0,0,0,6,3,6,65,73,137,280,257,543,81,74,156,424,403,833,709,780,1486,4712,4661,9370,598,601,1196,6014,6043,12057,7,3,8,50,57,113,17,45,63,78,104,185
Narrandera (A),15800,638,1318,11,13,19,755,706,1461,32,31,70,214,206,419,0,4,4,250,243,492,27,23,44,184,119,306,3,0,6,211,142,354,0,0,0,17,7,24,3,0,4,18,11,30,237,251,487,2049,2063,4113,240,233,475,2528,2551,5079,0,0,0,0,0,3,0,0,3,3,3,3,8,26,35,69,81,148,10,15,26,91,123,208,244,278,519,2119,2148,4264,255,248,502,2619,2677,5293,4,3,3,40,51,93,5,18,24,52,71,128
Narromine (A),15850,599,1310,10,6,15,847,748,1592,60,53,108,211,190,402,3,5,12,276,245,515,37,38,76,161,101,262,0,3,8,198,146,343,6,0,6,4,8,14,0,0,0,12,8,18,556,620,1180,2037,1983,4020,234,238,474,2826,2847,5671,0,0,0,0,0,0,0,0,0,0,0,0,15,20,42,69,67,138,18,11,38,109,108,211,570,644,1220,2105,2049,4161,255,251,510,2936,2950,5884,0,3,3,22,44,67,13,20,29,39,67,100
Newcastle (C),15900,15122,30172,125,110,235,15737,15833,31571,239,243,482,4222,4792,9014,35,37,70,4487,5079,9571,128,110,232,2309,2575,4883,14,31,41,2447,2715,5164,15,9,24,232,316,547,5,3,7,253,327,580,1839,1889,3729,51600,52843,104446,1380,1450,2824,54816,56188,111003,0,0,0,10,11,18,0,0,0,15,11,22,594,709,1304,13544,14628,28175,896,864,1756,15032,16203,31235,2433,2601,5035,65155,67485,132640,2274,2313,4585,69860,72402,142260,62,56,122,1693,2168,3863,207,218,425,1968,2446,4415
North Sydney (A),15950,2336,3915,7,8,19,1604,2349,3948,0,7,7,385,459,841,0,4,3,383,468,852,0,0,0,233,246,478,3,0,8,236,256,488,0,3,3,45,79,124,0,0,0,49,82,127,16,7,21,4306,4641,8946,203,191,396,4522,4840,9360,0,0,0,0,0,0,0,0,0,0,0,0,76,82,155,23290,26627,49918,1809,2085,3895,25176,28789,53969,94,88,180,27600,31267,58867,2008,2277,4283,29702,33628,63330,7,7,13,394,331,726,120,73,189,525,408,936
Northern Beaches (A),15990,17618,33097,88,123,213,15699,17844,33543,54,40,94,3740,4103,7844,31,40,73,3819,4186,8012,23,11,36,2051,2296,4347,24,22,48,2097,2334,4424,3,3,10,348,390,736,0,0,0,354,392,751,474,453,924,76241,77718,153957,2306,2417,4727,79016,80588,159608,5,3,8,36,18,54,3,5,7,41,22,65,200,172,374,34650,38312,72961,2415,2731,5142,37265,41216,78482,675,625,1300,110929,116047,226976,4724,5156,9878,116329,121830,238153,3,8,8,1003,1774,2775,208,259,464,1209,2039,3247
Oberon (A),16100,625,1367,3,4,10,772,643,1414,6,12,14,174,182,354,3,3,8,181,190,376,4,6,13,141,93,238,0,0,0,148,98,248,0,0,0,11,4,13,0,0,0,11,4,13,72,71,144,2003,1955,3960,232,220,452,2304,2244,4550,0,0,0,3,3,3,0,0,0,3,3,3,4,0,6,50,27,74,12,9,20,64,35,104,76,75,149,2057,1980,4037,243,231,472,2369,2282,4653,15,0,16,133,42,172,0,0,4,143,46,194
Orange (C),16150,4267,8528,43,64,106,4568,4582,9154,121,147,261,1154,1197,2352,19,13,28,1293,1353,2644,75,70,141,814,788,1604,13,12,26,901,872,1774,0,4,6,69,59,129,0,8,6,71,70,146,1058,1071,2129,14422,15330,29751,813,853,1664,16290,17252,33542,0,0,0,0,0,0,0,0,0,0,0,0,100,106,205,1211,1512,2725,160,184,344,1473,1801,3276,1155,1182,2337,15635,16843,32473,974,1035,2010,17760,19056,36820,22,21,44,431,452,883,78,46,126,529,523,1054
Parkes (A),16200,1645,3392,19,10,32,1917,1830,3748,64,49,116,475,480,951,8,8,15,548,536,1087,61,33,94,362,306,670,7,3,17,438,348,780,10,0,10,12,12,26,0,0,0,20,15,34,637,651,1289,5060,5218,10281,443,439,877,6139,6313,12443,0,0,0,4,6,8,0,0,0,4,6,12,36,26,56,299,327,622,73,101,174,409,449,861,669,674,1349,5363,5544,10908,516,536,1056,6549,6760,13314,5,5,13,55,123,179,17,26,36,73,153,229
Parramatta (C),16260,11565,22314,75,89,161,10965,11789,22755,50,67,122,3085,3453,6536,20,33,49,3155,3553,6707,36,32,62,2230,2744,4977,18,27,50,2285,2804,5092,8,6,11,1009,1194,2209,13,8,21,1025,1210,2234,349,381,725,51715,52250,103963,1451,1475,2926,53509,54103,107617,0,0,0,0,0,0,0,0,0,0,0,0,256,256,515,48775,49691,98466,3387,3531,6924,52427,53477,105908,602,641,1241,100489,101943,202433,4837,5010,9844,105936,107584,213525,292,101,391,2757,1668,4424,561,366,924,3607,2138,5736
Carrathool (A),11600,247,587,0,4,4,377,262,638,13,20,26,98,73,167,3,3,7,112,93,200,8,3,15,94,55,147,3,3,3,105,59,167,0,4,4,8,0,14,0,0,0,8,3,13,95,90,189,1027,924,1951,78,74,152,1204,1092,2299,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,40,40,84,13,12,29,62,53,115,99,95,192,1068,962,2031,95,94,185,1265,1146,2413,0,0,0,26,26,56,3,8,16,29,39,71
Central Coast (C) (NSW),11650,40628,78104,347,376,723,39168,42386,81551,536,536,1074,10416,11979,22391,117,124,240,11066,12641,23708,256,247,506,5427,5895,11330,96,96,198,5782,6243,12032,23,18,37,408,354,765,12,3,13,440,373,808,4973,5128,10103,117047,121911,238962,5267,5437,10708,127289,132486,259773,0,0,3,33,29,63,11,10,17,38,41,81,797,845,1642,18608,23035,41648,1620,1993,3619,21031,25878,46909,5770,5981,11750,135693,144981,280668,6902,7442,14343,148364,158401,306763,92,19,109,1384,2050,3432,375,531,899,1844,2597,4442
Central Darling (A),11700,99,198,3,3,7,187,195,376,43,45,94,52,29,80,0,0,0,99,78,174,48,33,83,54,22,70,3,0,4,101,58,156,0,0,3,0,0,0,0,0,0,8,0,7,281,318,600,390,317,706,98,93,192,773,729,1503,0,0,0,0,0,0,0,0,0,0,0,0,24,23,45,15,5,23,6,4,9,45,37,78,305,340,645,409,323,731,106,95,202,821,761,1586,19,0,20,21,3,23,10,11,16,49,16,60
Cessnock (C),11720,7034,14489,69,69,143,7958,7506,15465,180,197,380,2214,2512,4723,30,34,66,2421,2739,5164,107,104,215,1260,1262,2524,13,20,31,1383,1382,2770,5,5,12,58,49,107,0,0,0,66,53,114,1696,1635,3329,20374,21062,41440,1437,1475,2912,23512,24165,47675,0,0,0,10,10,19,0,0,0,12,10,23,91,129,222,1186,1500,2689,130,167,298,1412,1795,3203,1785,1757,3549,21574,22570,44148,1569,1644,3209,24935,25973,50904,258,12,264,792,368,1165,67,102,171,1114,486,1600
Clarence Valley (A),11730,6942,13623,75,106,181,7089,7426,14515,138,144,284,2119,2021,4139,27,33,64,2289,2194,4488,95,81,178,1428,1202,2635,38,22,56,1561,1307,2870,7,4,9,67,54,116,0,0,0,75,56,132,1281,1356,2630,18103,18480,36582,1323,1340,2662,20707,21173,41878,4,5,11,86,70,159,26,14,43,122,89,213,121,138,257,1716,1858,3574,235,207,438,2070,2204,4270,1401,1496,2896,19909,20408,40316,1584,1563,3146,22891,23471,46365,101,16,124,394,450,846,42,24,68,533,496,1032
Burwood (A),11300,1561,2990,11,6,19,1450,1585,3034,0,6,7,459,501,961,0,3,5,462,510,970,4,6,11,615,949,1564,4,3,8,627,962,1584,0,0,4,275,379,647,3,3,5,276,383,656,39,44,86,6983,7346,14327,246,254,497,7269,7636,14907,0,0,0,0,0,0,0,0,0,0,0,0,23,20,42,8890,9697,18591,501,510,1016,9417,10230,19649,64,68,128,15877,17038,32918,746,762,1509,16681,17873,34558,3,0,6,407,397,804,61,68,134,474,466,938
Byron (A),11350,2642,5203,31,19,53,2650,2720,5374,15,17,28,581,567,1149,14,8,20,604,597,1196,17,11,20,307,321,631,5,9,17,330,340,670,0,3,6,34,15,46,3,3,4,36,17,58,206,228,431,10313,11204,21515,1351,1429,2782,11864,12863,24730,0,0,0,16,8,27,23,15,33,37,25,66,42,49,94,1543,1691,3234,302,325,633,1886,2066,3949,241,282,522,11877,12903,24774,1670,1774,3448,13788,14953,28742,0,0,3,143,186,330,84,93,176,236,274,505
Cabonne (A),11400,1455,3122,24,19,49,1759,1522,3285,28,19,44,472,397,871,3,9,10,502,426,929,15,11,28,358,255,613,9,4,10,383,276,652,3,0,3,15,12,27,0,0,0,16,12,31,223,216,443,5458,5470,10929,394,397,792,6077,6081,12163,3,0,4,0,3,5,0,0,0,3,6,5,0,7,6,85,112,199,13,11,27,108,129,231,230,221,453,5547,5582,11130,411,413,823,6193,6209,12402,0,0,0,38,92,124,4,4,4,44,95,131
Camden (A),11450,7987,16562,49,48,106,8819,8239,17051,80,69,149,1967,2050,4014,13,9,16,2056,2119,4182,26,22,53,965,1019,1986,5,9,14,1004,1048,2052,4,8,9,111,144,258,0,0,0,111,152,267,867,900,1771,32935,34082,67019,1320,1367,2687,35123,36352,71476,0,0,0,14,14,26,4,3,3,13,15,29,30,41,68,1335,1783,3119,102,130,237,1471,1950,3425,902,935,1840,34283,35878,70167,1429,1497,2926,36612,38319,74929,29,0,33,262,321,585,23,33,50,307,359,668
Campbelltown (C) (NSW),11500,15034,29925,97,107,204,15516,15779,31299,250,295,547,4121,4369,8490,42,34,75,4409,4701,9109,127,157,280,2460,2774,5226,24,17,44,2608,2943,5551,12,4,20,434,693,1122,0,14,12,448,712,1159,2204,2477,4684,56938,58135,115069,2333,2463,4792,61475,63074,124553,0,0,0,13,11,22,3,0,3,13,11,29,428,578,1009,10664,11842,22507,1143,1253,2397,12235,13676,25914,2640,3058,5697,67610,69986,137599,3478,3719,7199,73725,76765,150491,9,11,24,335,420,749,203,285,496,553,721,1268
Canada Bay (A),11520,4890,8964,28,24,50,4142,4946,9090,7,16,21,1090,1341,2436,11,12,23,1114,1371,2481,6,13,21,1287,1720,3004,5,11,16,1301,1741,3047,0,0,0,339,467,809,0,4,8,341,472,817,95,97,186,17702,18677,36381,508,545,1053,18307,19315,37618,0,0,0,0,0,0,0,0,0,0,0,0,87,102,190,20354,22331,42681,1467,1658,3121,21910,24086,45993,181,198,380,38057,41005,79061,1973,2195,4169,40211,43401,83615,3,3,5,264,481,743,42,49,86,309,528,840
Canterbury-Bankstown (A),11570,22312,45011,177,148,325,23087,22735,45825,107,121,225,6572,7075,13639,61,59,120,6743,7247,13987,59,85,137,8827,10451,19280,76,99,170,8962,10636,19596,9,7,22,3306,4687,7989,24,30,60,3342,4725,8070,764,895,1654,96439,97207,193648,4158,4164,8320,101359,102265,203621,0,0,0,6,3,12,0,0,0,6,3,12,340,425,763,59091,59983,119078,4185,4184,8366,63616,64593,128202,1101,1318,2417,155533,157191,312726,8342,8345,16689,164978,166861,331839,12,5,11,1651,1714,3365,202,237,443,1865,1953,3817
Cobar (A),11750,408,954,9,6,10,636,482,1122,41,32,72,136,112,244,3,0,3,174,147,327,32,19,53,111,75,188,7,0,7,152,93,241,5,0,6,4,3,4,0,0,0,6,8,13,286,281,560,1510,1486,2996,223,184,406,2018,1947,3967,3,0,3,3,5,9,0,0,0,9,5,16,15,11,27,106,99,203,21,20,43,142,132,267,300,291,595,1623,1580,3202,250,205,450,2166,2084,4247,0,0,0,26,16,48,0,0,4,32,17,52
Coffs Harbour (C),11800,8607,16630,82,93,181,8464,9121,17580,156,188,339,2398,2397,4798,14,24,42,2572,2604,5177,110,83,196,1480,1355,2836,17,21,44,1610,1463,3073,3,11,16,156,177,326,0,5,3,159,188,349,1360,1447,2805,23689,25021,48710,1285,1423,2708,26333,27886,54222,0,0,0,39,33,70,12,11,24,50,42,88,271,318,583,5055,5848,10902,614,632,1248,5940,6792,12731,1628,1758,3384,28777,30901,59679,1912,2064,3977,32322,34722,67044,3,15,16,383,550,932,80,88,167,465,655,1117
Coolamon (A),12000,502,1079,4,4,15,595,523,1117,7,4,10,193,178,371,0,0,3,202,186,390,0,3,3,133,77,209,0,0,0,134,83,216,0,0,0,3,4,7,0,0,0,3,4,7,61,65,128,1708,1702,3410,186,178,369,1958,1950,3905,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,21,18,43,6,10,8,26,28,50,61,65,128,1728,1727,3456,191,189,378,1980,1979,3960,0,0,0,9,16,28,15,22,37,18,44,64
Coonamble (A),12150,261,604,7,6,14,432,386,825,61,55,113,102,79,177,0,0,3,168,130,295,60,36,90,112,62,175,4,5,7,173,104,274,4,7,10,8,4,17,0,0,0,15,11,28,487,570,1061,964,905,1873,259,250,507,1707,1724,3434,0,0,0,0,0,0,0,0,0,0,0,0,17,16,34,30,40,74,18,17,34,66,75,146,502,591,1090,997,950,1946,273,266,540,1775,1800,3581,4,3,5,19,33,51,4,9,12,29,39,72
Cowra (A),12350,1581,3255,5,22,24,1792,1720,3510,55,59,110,540,482,1025,10,12,22,608,550,1160,49,30,73,441,321,760,9,3,13,492,352,842,3,0,3,16,10,31,4,0,3,24,15,39,419,437,855,4508,4618,9126,367,389,756,5299,5439,10734,0,0,0,0,0,0,0,0,3,4,0,3,37,17,56,286,297,582,46,39,83,368,354,720,458,448,907,4794,4915,9711,418,424,842,5663,5790,11460,4,0,9,55,107,163,3,16,22,62,125,190
Cumberland (A),12380,12347,25552,112,82,194,13473,12605,26075,61,51,118,4093,3748,7838,38,36,75,4188,3840,8031,43,44,84,5769,5689,11458,38,39,79,5853,5773,11626,8,3,16,3175,3266,6440,28,25,54,3215,3299,6512,462,490,954,60732,58138,118871,2641,2549,5191,63838,61176,125018,0,0,0,38,28,64,0,4,5,39,29,65,182,170,354,40350,37327,77671,2374,2300,4678,42912,39798,82708,647,662,1310,101114,95489,196610,5020,4855,9874,106784,101006,207792,5,0,7,539,800,1342,90,109,197,631,910,1546
Dungog (A),12700,1168,2508,20,10,35,1402,1238,2642,19,22,37,359,295,651,0,5,13,377,322,702,23,17,38,203,164,372,5,0,4,235,184,417,0,0,0,7,7,14,0,0,0,9,7,13,211,209,417,3561,3634,7197,268,268,531,4043,4106,8150,0,0,0,10,11,25,3,0,3,9,15,25,0,9,9,82,62,148,16,15,29,101,84,185,217,215,426,3658,3715,7370,288,276,561,4160,4203,8362,3,0,4,29,38,71,5,3,6,36,45,84
Edward River (A),12730,851,1793,22,16,31,983,907,1893,20,20,43,348,322,675,8,3,13,372,351,724,16,14,26,252,201,460,3,0,5,276,217,491,0,0,0,21,18,39,0,0,0,28,18,41,137,158,293,3236,3279,6511,330,328,654,3698,3762,7459,0,0,0,0,0,0,0,0,0,3,0,3,14,14,35,194,211,408,51,45,103,266,275,536,151,176,326,3430,3490,6918,385,375,757,3966,4033,7995,0,0,0,55,98,153,0,10,8,59,104,162
Eurobodalla (A),12750,4582,9088,51,49,99,4742,4847,9593,113,120,230,1362,1372,2729,23,14,36,1496,1505,3000,75,77,146,882,758,1642,11,11,20,960,846,1810,6,5,13,35,27,64,0,0,4,45,36,77,792,875,1661,12660,13191,25855,869,880,1748,14323,14941,29262,0,0,0,17,14,26,0,3,3,19,10,32,134,126,256,1708,1847,3554,222,225,451,2060,2195,4257,923,998,1918,14387,15051,29435,1093,1104,2200,16403,17146,33553,9,3,13,232,365,601,37,20,53,276,389,668
Fairfield (C),12850,12633,26182,120,76,197,13799,12876,26677,86,63,149,4729,4941,9666,52,36,92,4865,5039,9903,49,52,98,7141,9222,16364,51,67,118,7238,9339,16582,0,3,8,4046,6397,10440,21,31,58,4071,6435,10505,570,592,1158,69315,70488,139799,2604,2624,5231,72484,73703,146191,0,3,3,44,37,85,4,0,8,51,44,92,122,113,236,20116,21831,41951,1202,1145,2345,21432,23093,44533,689,712,1395,89472,92362,181831,3812,3770,7584,93967,96841,190807,9,3,7,618,932,1546,42,53,96,667,985,1653
Federation (A),12870,1239,2703,23,15,31,1516,1274,2792,3,4,9,519,432,950,10,3,19,537,442,980,7,6,18,389,322,715,0,5,8,403,336,735,0,0,0,19,12,26,0,0,0,19,12,26,83,98,182,4688,4732,9425,344,337,684,5121,5170,10290,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,389,410,800,40,42,80,432,460,891,91,106,193,5080,5146,10225,378,380,763,5553,5631,11181,0,0,0,31,47,74,32,40,77,63,89,148
Forbes (A),12900,1009,2105,24,15,38,1214,1150,2366,41,51,97,371,280,650,4,7,19,415,341,762,58,30,87,279,170,452,3,0,7,342,198,546,3,0,0,18,4,20,0,0,0,17,7,24,422,464,887,3349,3287,6634,358,314,675,4127,4065,8197,4,3,3,7,14,24,0,0,0,12,16,29,29,24,49,180,183,360,25,25,53,230,230,460,452,488,942,3532,3484,7016,383,338,725,4375,4309,8688,15,20,34,81,137,217,19,15,34,118,169,290
Georges River (A),12930,9125,17169,57,62,120,8181,9282,17460,23,33,55,2352,2898,5243,20,26,40,2393,2952,5344,15,14,35,2310,3103,5414,22,33,50,2350,3150,5494,4,4,7,718,1070,1783,5,4,12,731,1079,1810,213,305,521,39535,40240,79777,1208,1190,2403,40958,41739,82699,0,0,0,3,3,3,0,0,0,3,3,3,129,124,252,26612,28686,55304,1295,1410,2709,28036,30226,58264,343,429,772,66156,68936,135088,2508,2605,5108,68998,71966,140966,4,0,7,460,920,1373,51,53,107,510,978,1485
Gilgandra (A),12950,474,992,10,3,18,579,552,1130,31,41,71,182,155,330,3,4,6,213,198,409,28,26,57,163,107,271,3,3,5,192,132,327,3,0,5,0,3,9,0,0,0,3,9,9,251,274,523,1459,1497,2954,117,103,225,1823,1879,3701,0,0,0,0,0,0,0,0,0,0,0,0,6,18,22,26,21,48,6,3,8,43,37,78,257,288,542,1482,1521,3006,127,108,238,1863,1916,3782,0,0,3,33,59,93,3,5,15,42,71,113
Glen Innes Severn (A),13010,1108,2189,8,15,28,1141,1172,2314,33,24,51,362,299,668,9,4,10,404,328,734,24,21,39,307,266,568,7,7,8,334,289,621,3,0,5,12,12,24,0,0,0,10,14,27,207,205,411,3140,3320,6464,276,319,601,3628,3845,7470,0,0,0,10,9,13,0,0,0,10,9,13,11,16,21,112,119,226,13,11,26,136,146,278,220,216,435,3261,3445,6707,289,338,627,3772,3996,7767,44,0,42,164,44,205,43,51,98,249,96,345
Goulburn Mulwaree (A),13310,3520,7124,41,41,86,3746,3668,7412,39,49,92,1052,1001,2057,11,13,29,1107,1073,2177,31,28,58,704,588,1291,11,9,17,743,621,1364,3,3,8,72,46,118,0,3,3,76,50,129,419,485,907,10994,11170,22164,648,660,1304,12067,12311,24378,0,0,0,24,18,45,0,0,0,24,25,51,39,39,75,951,995,1943,108,112,217,1091,1152,2245,455,525,983,11970,12189,24161,755,776,1528,13184,13484,26670,126,9,131,714,304,1016,40,23,57,880,336,1211
Greater Hume Shire (A),13340,1102,2383,20,12,31,1336,1144,2475,18,8,23,447,326,772,6,4,9,470,343,809,10,6,12,285,194,479,4,3,5,296,203,502,4,0,0,11,5,13,0,0,0,12,8,17,163,145,309,4256,4222,8479,251,248,499,4667,4617,9287,0,0,0,8,0,11,0,0,0,8,0,11,3,8,10,77,87,167,8,11,23,86,112,201,167,153,324,4338,4313,8650,264,263,526,4765,4729,9495,3,0,3,38,90,129,9,16,22,48,111,151
Griffith (C),13450,2645,5577,33,34,62,3119,2820,5944,61,67,125,740,688,1433,10,9,19,811,771,1577,43,39,81,783,720,1509,20,16,30,846,772,1617,0,3,3,137,138,280,3,6,10,146,150,292,515,528,1041,8944,9122,18060,827,808,1641,10292,10456,20747,0,0,0,15,5,21,3,0,3,19,5,23,53,40,91,1243,1169,2414,220,192,411,1511,1408,2917,563,570,1136,10203,10300,20501,1051,1006,2053,11819,11872,23692,4,5,8,151,184,333,36,40,74,190,231,420
