lga_name_2016,lga_code_2016,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Greater Bendigo (C),22620,154,15827,116,16100,57,5978,52,6084,128,8130,90,8352,63,3343,40,3453,58,2359,43,2455,8,245,0,251,31,1383,2471,3881,498,37256,2813,40567,193,20122,143,20459,77,6035,39,6157,127,7482,76,7685,79,3043,44,3167,44,2531,57,2635,4,222,0,224,27,1678,2613,4322,565,41119,2973,44656,351,35944,258,36557,138,12010,91,12234,261,15610,167,16038,146,6393,87,6616,101,4891,100,5094,12,468,3,481,61,3062,5084,8205,1068,78369,5784,85225
Greater Dandenong (C),22670,42,33255,230,33524,27,4615,38,4677,42,6564,61,6664,15,2706,23,2748,17,4855,55,4928,3,2979,25,3001,9,1918,3081,5004,150,56880,3511,60547,64,31279,173,31511,25,3748,31,3812,31,5783,61,5879,25,2845,32,2902,18,6111,69,6196,0,3403,23,3422,27,1934,2788,4749,185,55102,3175,58466,107,64534,398,65036,48,8366,73,8491,74,12348,118,12538,37,5549,55,5646,37,10961,124,11123,3,6381,41,6422,31,3847,5868,9749,337,111980,6692,119004
Greater Geelong (C),22750,211,39727,244,40189,106,13272,102,13481,157,13984,125,14269,70,5609,57,5740,51,4564,76,4687,10,526,15,548,99,3430,4708,8236,704,81112,5329,87153,311,47234,286,47832,99,12807,107,13012,142,13762,144,14042,70,5767,66,5909,59,5742,91,5889,5,617,11,634,37,3092,5040,8166,715,89015,5753,95484,518,86962,535,88019,206,26078,211,26493,301,27741,266,28309,146,11379,130,11649,108,10300,174,10578,18,1140,25,1185,134,6524,9744,16402,1422,170136,11083,182640
Moonee Valley (C),25060,88,27826,139,28051,24,4222,44,4285,22,3974,39,4039,7,1494,15,1520,8,2361,22,2395,0,505,6,520,6,1109,2431,3548,163,41493,2696,44349,89,30713,155,30959,16,3886,25,3930,20,3906,44,3974,11,1532,18,1556,7,3462,41,3520,0,863,3,869,3,1430,2567,4005,151,45797,2860,48811,177,58539,296,59013,35,8108,73,8214,46,7881,77,8009,22,3023,31,3076,17,5829,64,5912,3,1373,12,1384,7,2539,5001,7548,311,87291,5553,93161
Moorabool (S),25150,34,4445,26,4512,15,1927,24,1962,40,2532,22,2596,11,1013,9,1040,3,619,10,634,0,42,3,43,5,310,722,1037,113,10891,817,11817,40,5773,39,5854,16,1913,12,1941,21,1963,24,2007,14,753,14,777,3,581,15,596,0,24,3,29,0,385,720,1105,94,11384,832,12311,80,10217,64,10362,29,3839,36,3902,60,4494,49,4604,21,1770,20,1816,7,1194,25,1228,0,66,3,71,6,697,1434,2143,208,22277,1643,24125
Moreland (C),25250,156,41334,190,41682,23,4678,40,4738,43,5173,66,5283,17,1986,28,2031,11,4125,49,4190,3,972,6,984,25,1594,3541,5161,281,59862,3922,64068,195,44295,195,44681,40,4086,38,4157,37,4429,48,4516,9,2016,29,2055,9,5895,72,5977,0,1534,14,1547,20,1847,3582,5450,320,64101,3972,68394,355,85625,386,86364,63,8763,71,8897,76,9603,115,9796,32,4007,53,4093,26,10018,122,10168,5,2502,22,2533,45,3446,7125,10609,599,123964,7895,132466
Mornington Peninsula (S),25340,151,26579,175,26898,68,8744,54,8868,92,10873,119,11088,37,3807,45,3890,26,2429,35,2493,7,245,0,247,19,1760,3070,4852,402,54429,3497,58329,187,31734,209,32130,50,8928,71,9045,82,10258,100,10444,41,3737,59,3835,26,3072,55,3150,3,206,5,221,14,2257,3307,5579,398,60189,3811,64399,335,58313,382,59025,116,17669,128,17912,179,21139,218,21528,75,7538,103,7719,51,5498,88,5640,10,452,5,468,38,4014,6381,10430,797,114625,7313,122735
Mount Alexander (S),25430,17,3019,27,3064,3,1003,14,1016,16,1216,22,1252,5,498,10,512,3,342,3,350,0,17,0,18,48,856,535,1438,94,6944,610,7646,20,3752,36,3810,6,1017,11,1033,12,1070,10,1094,3,450,9,464,4,367,10,380,0,17,0,22,5,313,590,914,51,6991,670,7710,41,6777,64,6878,8,2017,21,2052,24,2290,31,2344,8,946,20,970,5,710,13,726,0,32,0,38,53,1176,1122,2352,145,13940,1273,15359
Moyne (S),25490,13,2032,23,2073,3,1165,7,1182,10,1239,13,1262,9,573,7,588,8,432,4,442,0,18,0,18,8,253,443,701,52,5720,499,6268,15,2859,28,2899,7,1023,13,1043,18,923,11,947,3,368,0,373,6,330,7,344,0,11,0,18,6,233,417,654,57,5741,476,6270,28,4896,50,4971,11,2192,21,2220,26,2166,24,2215,15,944,7,961,16,758,7,779,0,30,0,38,10,486,860,1355,100,11464,968,12535
Murrindindi (S),25620,16,1836,15,1871,12,851,11,875,17,1266,14,1292,7,549,7,562,10,355,8,374,0,25,0,25,0,204,453,663,56,5092,507,5657,29,2366,24,2415,9,817,7,831,6,953,16,980,7,346,12,357,4,272,8,283,0,14,0,17,3,196,425,620,54,4966,487,5507,42,4203,39,4288,20,1670,20,1704,26,2221,22,2266,13,891,16,918,18,631,13,658,0,38,0,42,4,397,880,1284,115,10056,992,11166
Nillumbik (S),25710,39,13530,69,13628,11,3214,16,3243,15,3039,20,3076,4,896,10,909,0,490,7,500,0,58,3,64,0,289,898,1190,65,21522,1017,22606,44,15329,94,15464,11,2992,23,3019,17,2454,20,2492,3,803,6,816,0,587,5,596,0,60,0,57,3,288,906,1196,82,22517,1052,23647,83,28856,158,29100,16,6206,36,6261,32,5494,43,5569,7,1699,12,1719,0,1078,12,1093,0,118,3,120,3,583,1802,2385,153,44035,2067,46253
Northern Grampians (S),25810,8,1405,13,1424,11,759,10,775,11,910,17,939,10,460,4,480,6,402,12,423,0,52,0,54,3,186,271,462,56,4179,319,4551,14,1720,20,1753,5,749,6,758,13,857,13,875,6,417,4,430,11,378,3,389,0,36,0,36,3,216,301,523,49,4370,347,4762,19,3122,29,3178,14,1503,15,1535,19,1771,25,1812,19,882,7,906,14,779,13,811,0,84,0,84,8,406,569,983,100,8550,666,9311
Port Phillip (C),25900,88,30137,114,30344,11,2671,24,2703,35,2506,24,2563,13,674,8,701,15,872,15,904,3,177,0,178,8,703,4362,5073,172,37743,4551,42466,112,32846,134,33088,14,2560,24,2590,18,2204,24,2242,3,588,10,595,3,1060,19,1084,3,246,0,249,11,738,4356,5107,157,40236,4558,44950,194,62984,244,63431,23,5226,44,5299,46,4707,45,4803,15,1261,19,1297,14,1934,32,1982,5,420,3,426,19,1439,8722,10180,324,77981,9113,87414
Pyrenees (S),25990,10,758,5,772,5,431,0,442,11,632,4,652,3,325,4,332,8,238,8,252,0,12,0,12,20,469,208,692,50,2866,236,3152,14,1006,9,1036,9,436,6,448,4,503,0,513,3,203,4,218,0,194,3,197,0,0,0,0,0,132,200,330,41,2479,222,2743,24,1767,15,1807,17,872,5,892,15,1140,11,1164,12,530,11,546,6,432,10,451,0,9,0,13,20,598,405,1022,89,5348,459,5894
Glen Eira (C),22310,53,38751,146,38948,9,3541,19,3574,9,3488,19,3521,3,1122,9,1133,0,1548,11,1562,0,305,8,311,3,888,2425,3309,80,49640,2641,52361,60,42523,173,42753,8,3798,35,3844,13,3565,26,3610,3,1222,8,1234,6,2243,28,2275,0,388,5,397,5,1107,2502,3617,100,54843,2782,57734,114,81269,321,81706,25,7337,56,7416,25,7047,48,7124,3,2350,17,2374,7,3791,44,3838,0,693,15,708,4,1993,4925,6926,182,104486,5426,110089
Queenscliffe (B),26080,0,601,4,604,0,159,0,160,0,137,3,139,0,39,0,43,0,37,0,39,0,3,0,3,0,36,91,133,3,1014,104,1119,3,724,3,736,0,180,3,186,0,156,0,159,0,48,0,48,0,35,3,41,0,3,0,6,0,48,95,145,7,1198,106,1313,3,1330,7,1339,0,336,7,345,3,292,3,299,0,87,0,88,0,76,3,77,0,4,0,7,0,82,187,270,7,2212,205,2429
South Gippsland (S),26170,27,3403,29,3456,12,2022,16,2048,25,2418,18,2456,6,1022,12,1041,10,745,14,769,0,24,0,24,3,350,788,1140,79,9989,866,10931,28,4784,27,4843,15,1956,22,1989,16,2003,16,2031,7,793,8,809,8,659,11,678,0,41,0,41,3,423,827,1256,83,10652,916,11647,58,8184,56,8298,24,3975,32,4037,41,4426,28,4491,13,1815,23,1856,17,1401,28,1447,0,63,0,63,8,774,1612,2393,164,20639,1779,22582
Southern Grampians (S),26260,8,1974,14,1999,15,1058,9,1080,12,1277,18,1304,3,548,5,556,5,457,5,471,3,27,0,30,5,234,321,563,59,5578,365,6005,19,2668,20,2707,20,1091,12,1128,13,1068,13,1097,8,467,3,480,12,470,8,490,0,17,0,17,3,317,336,651,76,6099,389,6560,30,4645,29,4706,31,2152,23,2211,32,2343,32,2406,8,1010,9,1035,17,932,15,960,3,39,0,40,9,552,649,1209,136,11678,759,12565
Stonnington (C),26350,92,32276,107,32475,6,2113,17,2142,17,1762,20,1796,7,529,8,536,8,758,9,771,3,167,0,171,0,561,3140,3699,130,38158,3295,41590,76,35840,138,36052,7,2446,24,2481,5,2011,20,2036,3,593,6,597,3,1136,18,1155,0,298,3,300,7,801,3274,4076,105,43113,3478,46689,168,68118,250,68532,17,4561,45,4620,26,3766,40,3833,6,1121,13,1136,9,1892,27,1924,3,463,3,465,10,1355,6408,7776,234,81268,6775,88280
Strathbogie (S),26430,12,1295,20,1323,9,620,9,633,15,909,16,939,4,412,3,415,5,321,4,337,0,11,0,11,6,161,305,475,48,3732,360,4140,7,1745,11,1765,8,642,10,659,8,777,11,793,4,311,3,321,0,276,4,281,0,6,0,13,0,189,313,498,36,3941,352,4328,22,3041,32,3093,13,1264,16,1291,24,1684,28,1731,11,715,6,732,11,596,8,616,0,21,0,17,9,348,614,978,83,7670,706,8466
Surf Coast (S),26490,24,5886,28,5933,7,1721,14,1745,10,1517,14,1540,11,442,5,458,3,316,3,321,0,17,0,17,0,194,615,809,48,10093,689,10828,26,6810,44,6887,15,1610,16,1640,8,1235,13,1259,3,431,5,439,0,312,4,321,0,26,3,26,0,232,583,820,56,10669,669,11392,49,12695,73,12824,27,3329,29,3382,10,2757,24,2796,9,874,10,902,6,629,5,644,0,37,3,40,3,425,1202,1629,108,20760,1352,22220
Swan Hill (RC),26610,50,2249,24,2325,29,1146,15,1184,56,1514,30,1595,27,662,15,698,30,636,11,667,0,135,8,144,18,351,914,1285,208,6683,1014,7904,65,2856,22,2943,48,1102,11,1158,55,1259,17,1332,39,521,19,573,23,551,16,590,3,100,3,110,30,339,894,1263,267,6731,981,7969,111,5105,48,5264,73,2243,27,2342,108,2773,43,2932,60,1183,32,1277,49,1182,28,1261,7,232,7,249,55,693,1804,2545,467,13412,1992,15875
Towong (S),26670,3,702,4,712,4,415,3,420,4,599,6,616,3,224,0,231,4,195,10,210,0,3,0,3,3,87,160,254,25,2234,189,2445,10,876,11,897,3,387,3,395,12,496,3,507,6,163,5,176,3,131,0,139,0,0,0,3,4,96,143,243,38,2154,161,2352,11,1582,15,1613,6,810,5,814,18,1095,12,1122,15,383,6,403,4,332,9,346,0,6,0,7,4,184,305,493,63,4383,348,4799
Wangaratta (RC),26700,43,3618,26,3681,19,1711,18,1744,19,2360,35,2412,14,848,13,872,9,705,19,734,0,39,0,39,12,403,656,1068,109,9678,758,10544,25,4824,34,4891,15,1855,20,1891,29,1991,17,2036,13,757,10,784,7,744,15,768,0,43,0,41,15,504,728,1247,104,10712,835,11653,69,8441,56,8564,32,3560,37,3633,48,4353,52,4451,27,1601,28,1657,14,1448,35,1501,0,76,0,77,25,904,1386,2314,217,20391,1599,22206
Warrnambool (C),26730,51,4849,35,4933,23,2028,17,2068,41,2220,17,2273,21,1010,14,1045,10,750,8,771,5,51,0,55,12,382,833,1222,163,11284,929,12368,38,6201,34,6270,29,2193,15,2237,32,2034,20,2088,18,867,12,905,15,839,16,867,8,32,0,38,5,517,937,1455,150,12673,1039,13867,88,11054,62,11204,52,4218,31,4307,74,4252,41,4364,45,1875,26,1942,28,1583,29,1642,10,86,0,90,15,891,1775,2679,315,23959,1967,26236
Wellington (S),26810,49,4958,43,5052,31,2740,33,2804,40,3625,34,3695,18,1573,11,1609,18,1169,17,1203,3,62,0,60,66,1327,1193,2585,219,15450,1338,17007,62,6588,48,6707,38,2786,16,2843,48,3033,32,3119,23,1244,13,1279,11,969,17,1003,0,66,0,63,13,643,1136,1794,197,15332,1267,16795,114,11552,92,11755,66,5524,55,5650,88,6658,68,6812,44,2817,28,2887,30,2140,28,2199,5,126,0,125,72,1966,2331,4378,416,30780,2608,33806
West Wimmera (S),26890,0,428,8,441,0,317,0,320,0,372,0,369,3,141,3,152,0,146,3,153,0,7,0,4,0,60,66,125,13,1472,76,1559,0,603,9,609,0,291,6,293,0,287,3,291,0,98,0,105,5,98,3,99,0,3,0,3,0,54,73,133,9,1433,94,1531,0,1036,12,1047,3,607,5,616,0,656,7,660,4,246,3,248,5,244,7,251,0,7,0,8,3,117,139,262,20,2908,167,3095
Whitehorse (C),26980,56,43034,167,43253,17,5076,29,5118,17,4716,35,4772,10,1839,16,1858,7,1983,36,2023,8,631,5,640,6,1154,2187,3345,118,58420,2479,61017,64,46372,186,46621,16,5176,40,5234,28,5264,60,5343,5,2142,18,2170,6,3177,40,3226,7,919,14,942,5,1579,2361,3946,132,64630,2719,67481,120,89408,353,89874,34,10246,75,10356,43,9981,96,10117,14,3978,36,4023,21,5157,77,5248,11,1551,17,1580,11,2732,4549,7291,251,123050,5193,128496
Whittlesea (C),27070,143,39418,220,39778,77,7686,65,7821,108,9429,83,9614,52,3711,51,3814,29,4997,76,5099,7,1172,10,1190,18,1905,3082,5002,431,68315,3578,72320,236,43023,230,43487,69,7050,70,7189,100,8128,76,8298,45,3580,40,3664,40,6366,98,6499,4,1648,29,1676,12,2061,3288,5363,507,71853,3830,76184,372,82439,451,83264,148,14733,137,15019,206,17553,152,17911,98,7287,92,7478,69,11358,177,11600,11,2823,39,2869,35,3965,6369,10373,932,140162,7409,148510
Wodonga (C),27170,68,5515,32,5610,28,2153,12,2194,80,3387,31,3504,27,963,12,1005,25,696,13,737,4,87,0,92,14,363,902,1274,251,13167,1003,14414,100,6613,30,6737,40,2071,10,2124,84,3127,29,3235,33,969,11,1021,24,723,20,762,5,72,0,77,16,462,869,1346,294,14043,967,15307,162,12126,59,12350,71,4227,25,4323,165,6518,59,6739,63,1937,21,2024,50,1424,28,1499,6,161,0,172,28,820,1770,2623,546,27212,1971,29727
Wyndham (C),27260,140,45150,187,45476,90,7719,57,7869,104,9990,83,10180,37,3497,27,3555,34,2870,19,2925,10,738,5,756,145,2428,3765,6335,545,72406,4146,77097,200,48286,213,48705,68,7142,54,7256,115,8776,64,8956,49,3277,27,3350,19,3644,32,3689,3,1088,10,1102,18,1584,3747,5353,477,73791,4151,78413,345,93435,399,94177,156,14859,110,15126,221,18770,150,19133,85,6770,52,6904,54,6511,49,6615,12,1830,21,1858,162,4013,7510,11689,1022,146192,8292,155511
Yarra (C),27350,90,27026,125,27241,16,1853,12,1888,23,1679,8,1716,7,569,11,586,13,863,16,889,3,301,6,315,3,642,3208,3855,155,32951,3378,36486,92,29041,122,29254,17,1596,14,1625,15,1387,16,1417,6,610,3,620,14,1432,14,1457,4,632,9,640,9,730,3284,4024,156,35418,3456,39036,187,56074,244,56500,35,3448,28,3512,40,3072,27,3131,18,1181,9,1208,26,2296,32,2350,6,937,10,954,12,1376,6492,7875,315,68365,6837,75524
Yarra Ranges (S),27450,123,25081,152,25352,53,9170,65,9285,117,11016,104,11241,39,3964,43,4050,38,2197,40,2275,3,248,3,252,15,1195,2573,3785,384,52866,2981,56230,180,31046,191,31413,63,8565,70,8698,100,8719,79,8892,28,3158,29,3215,29,2267,49,2343,0,224,3,232,18,1405,2659,4084,421,55376,3079,58879,300,56122,338,56763,121,17733,134,17981,218,19730,182,20132,63,7123,74,7260,67,4463,89,4619,3,470,11,484,40,2599,5235,7872,807,108248,6058,115111
Yarriambiack (S),27630,11,687,10,701,0,501,7,504,10,566,3,574,3,271,3,282,6,277,3,283,0,9,0,9,3,123,186,314,26,2435,211,2668,4,860,8,871,0,502,5,514,4,475,15,491,4,203,3,212,7,228,8,237,0,16,3,23,0,162,187,349,21,2449,224,2695,15,1546,14,1571,3,1001,16,1020,10,1035,22,1066,8,479,8,491,9,505,9,528,0,24,3,26,6,286,377,663,50,4883,434,5371
Unincorporated Vic,29399,3,187,0,193,0,39,0,42,0,36,0,36,0,6,0,6,0,13,0,13,0,0,0,0,0,16,95,113,5,303,96,400,3,191,3,196,0,12,0,12,0,16,0,21,0,3,0,3,0,0,0,0,0,3,0,3,0,6,93,99,3,233,98,336,4,384,3,392,0,58,0,57,0,53,0,56,0,8,0,8,0,13,0,13,0,3,0,3,0,17,193,208,8,534,194,734
No usual address (Vic.),29499,15,1305,21,1343,6,355,7,367,24,429,5,462,9,243,9,250,12,138,3,152,0,39,0,42,71,668,536,1277,141,3180,579,3895,8,1321,9,1345,4,232,0,236,12,281,4,290,5,122,3,130,0,77,0,79,3,37,0,42,55,287,379,716,88,2351,395,2840,25,2633,33,2689,11,580,9,610,30,712,8,751,16,363,6,388,10,210,3,228,4,76,0,83,125,952,917,2000,230,5530,974,6740
Migratory - Offshore - Shipping (Vic.),29799,0,6,0,6,0,4,0,4,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,23,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,13,0,13,0,4,0,4,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,20,3,25
Aurukun (S),30250,37,34,0,73,13,3,0,18,132,13,0,141,52,0,0,52,122,0,0,121,9,3,0,10,8,0,8,23,372,54,14,442,57,15,0,74,37,6,0,42,149,12,0,163,49,0,0,49,95,0,0,93,3,0,0,3,6,0,7,14,398,36,10,442,96,47,0,144,50,10,0,59,280,23,0,301,101,0,0,105,214,3,0,218,12,3,0,15,14,0,18,36,771,89,22,879
Balonne (S),30300,42,522,9,578,16,96,3,117,75,428,7,510,17,84,5,101,37,132,5,175,7,11,0,16,9,61,130,194,207,1337,154,1699,68,680,14,760,35,86,0,124,59,318,3,380,18,36,0,55,35,94,3,130,0,8,0,12,14,34,128,174,231,1260,144,1634,116,1204,18,1341,52,182,3,241,133,744,12,893,32,127,4,164,73,225,9,303,4,17,0,23,21,94,254,369,439,2592,295,3332
Banana (S),30370,54,1840,10,1903,17,403,5,422,38,1641,17,1699,20,308,0,330,21,552,8,584,0,35,0,37,16,148,453,614,168,4928,492,5587,72,2221,19,2315,18,330,9,354,49,1273,13,1337,18,217,9,243,16,401,5,419,0,14,0,18,10,123,381,517,185,4586,429,5202,130,4067,26,4222,37,734,13,781,90,2918,33,3039,39,528,6,572,35,950,12,1003,3,54,0,56,23,267,833,1127,353,9514,927,10797
Barcaldine (R),30410,12,368,3,381,0,47,0,51,16,335,5,355,3,65,0,68,12,126,0,146,0,3,0,5,7,29,79,116,49,978,93,1124,20,486,3,506,0,70,0,74,8,274,4,293,3,35,0,39,5,92,0,100,0,0,0,0,3,30,64,97,45,990,75,1107,37,848,7,895,3,120,3,124,25,611,10,645,8,99,0,110,14,222,3,244,3,9,0,9,7,57,147,209,90,1969,165,2227
Barcoo (S),30450,0,28,0,34,0,4,0,8,0,45,0,42,0,5,0,7,0,24,0,25,0,0,0,0,0,3,7,6,6,116,10,126,3,44,0,50,0,8,0,13,3,18,0,21,0,3,0,3,3,5,0,9,0,0,0,0,0,0,4,6,12,83,4,104,3,76,0,77,4,14,0,23,3,61,0,63,0,13,0,10,3,33,0,35,0,3,0,3,0,3,15,15,18,199,13,227
Blackall-Tambo (R),30760,7,224,0,229,5,39,0,38,11,214,3,234,0,67,0,73,0,106,0,112,3,5,0,9,3,28,29,62,34,690,35,760,15,289,0,308,0,50,0,50,4,224,0,230,5,26,0,33,3,87,0,93,0,3,0,3,0,26,33,62,32,708,40,772,26,512,0,537,5,85,0,94,22,439,3,460,3,94,0,104,10,195,0,203,3,9,0,12,3,59,64,130,66,1392,69,1535
Longreach (R),34710,23,518,4,540,3,84,0,91,20,336,3,356,12,89,0,99,8,105,0,111,0,5,0,5,3,70,123,193,59,1214,131,1402,15,709,9,737,7,79,4,91,16,325,3,345,3,42,0,48,5,68,0,79,0,3,0,3,0,65,112,185,51,1298,133,1479,41,1226,12,1280,11,164,4,178,32,662,8,703,13,135,0,147,8,179,0,190,0,9,0,9,3,136,237,375,114,2511,260,2885
Mackay (R),34770,580,16016,113,16712,163,3599,31,3788,484,12329,105,12924,138,2263,24,2424,135,2672,34,2836,20,119,3,141,76,1115,4177,5364,1598,38114,4480,44191,708,18777,110,19596,202,2978,26,3212,492,11164,100,11755,143,1859,18,2024,125,2381,40,2546,17,90,0,113,77,1212,2721,4015,1769,38471,3026,43265,1287,34799,224,36309,369,6579,59,6999,981,23494,208,24681,283,4121,41,4443,258,5058,74,5388,39,209,3,253,157,2331,6897,9382,3365,76588,7511,87459
McKinlay (S),34800,5,127,0,132,0,25,0,28,0,119,3,123,0,21,0,22,0,26,0,28,0,0,0,0,0,3,26,33,12,323,31,366,9,128,3,135,0,15,0,14,3,72,0,75,0,12,0,12,0,13,0,16,0,3,0,3,0,10,18,27,11,254,26,287,13,257,3,270,0,37,0,40,3,200,3,202,0,38,0,40,4,34,0,41,0,0,0,0,3,7,50,62,25,575,56,656
Mapoon (S),34830,17,3,0,23,8,0,0,12,31,8,0,41,11,0,0,11,11,0,0,17,0,0,0,0,6,0,0,6,96,15,0,112,13,6,0,23,10,0,0,9,41,0,0,41,9,0,0,9,18,0,0,19,0,0,0,0,9,0,0,9,99,7,0,108,32,12,0,45,18,6,0,22,76,8,0,83,26,0,0,26,26,0,0,31,0,0,0,0,11,3,3,17,191,28,3,220
Maranoa (R),34860,57,1609,10,1679,20,275,0,293,93,1377,12,1478,27,235,7,272,46,381,6,433,9,27,0,36,12,177,473,661,256,4079,518,4851,88,2096,14,2196,30,229,0,261,96,1079,10,1189,32,148,4,185,30,290,0,322,4,21,0,27,15,153,391,551,298,4009,423,4734,144,3702,28,3878,52,507,4,561,191,2454,23,2660,58,387,8,451,78,665,8,756,7,52,0,60,29,324,862,1215,560,8090,934,9586
Mareeba (S),34880,154,2731,19,2906,87,533,6,621,172,1855,26,2056,71,420,4,491,96,678,11,778,8,51,0,54,668,587,844,2106,1247,6854,913,9015,172,3117,25,3321,69,456,7,534,200,1771,23,1996,64,281,10,354,80,563,10,650,12,61,0,72,80,283,756,1121,681,6530,832,8050,325,5856,50,6226,152,992,13,1157,371,3628,49,4046,137,704,11,851,171,1234,16,1429,19,112,0,131,757,868,1603,3227,1931,13389,1743,17065
Moreton Bay (R),35010,1311,73081,416,74814,293,11777,87,12159,915,38307,288,39503,300,7469,70,7844,217,7318,92,7626,35,501,13,547,358,4694,7740,12795,3436,143147,8698,155285,1719,82355,452,84524,399,11306,82,11782,1023,40436,329,41792,299,7204,82,7584,185,7676,111,7969,25,475,13,512,150,4854,7758,12763,3798,154299,8827,166922,3032,155437,869,159337,694,23086,168,23942,1938,78744,616,81299,603,14671,157,15428,399,14998,202,15594,54,973,28,1056,514,9549,15495,25555,7229,297451,17529,322211
Mornington (S),35250,41,46,0,87,41,5,0,46,107,7,0,112,26,0,0,26,35,3,0,37,6,0,0,6,42,3,7,49,303,62,7,377,58,45,0,104,54,0,0,57,112,5,0,119,23,0,0,27,43,0,0,46,7,0,0,9,36,0,10,50,334,53,16,401,105,91,0,187,92,4,0,97,224,13,0,232,53,0,0,51,79,7,0,85,14,0,0,16,80,3,19,104,635,117,20,776
Mount Isa (C),35300,266,2639,17,2923,101,479,3,575,222,1599,13,1832,86,259,0,347,104,252,8,363,26,20,0,45,53,129,852,1027,848,5374,885,7115,380,2933,16,3332,112,336,3,453,280,1062,8,1356,89,165,3,260,87,151,4,247,18,14,0,31,66,107,722,893,1035,4769,758,6563,648,5569,38,6252,211,816,4,1033,501,2660,18,3185,175,427,5,605,190,409,11,607,43,30,0,77,122,232,1569,1921,1881,10144,1643,13677
Murweh (S),35600,32,503,3,541,10,81,0,94,37,435,3,475,18,99,0,115,27,161,5,191,5,11,0,15,7,54,98,168,135,1347,117,1603,46,644,4,691,21,117,0,136,36,383,3,424,19,71,0,95,26,130,3,153,0,3,0,12,20,62,107,189,171,1411,115,1693,75,1146,6,1234,33,200,0,233,70,817,13,896,35,170,0,211,56,289,5,350,6,19,3,27,26,120,209,353,306,2762,234,3298
Napranum (S),35670,77,14,0,88,40,7,0,44,90,12,0,97,40,0,0,40,32,0,0,34,3,0,0,3,6,0,3,13,284,32,0,321,76,8,0,83,66,0,0,66,95,0,0,97,30,0,0,30,31,0,0,31,0,0,0,0,7,0,0,6,302,11,0,308,157,20,0,173,105,7,0,114,186,9,0,196,72,0,0,72,59,0,0,65,3,0,0,3,11,0,4,16,585,43,3,630
