lga_name_2016,lga_code_2016,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Liverpool (C),14900,9383,3033,5418,15,0,8,36,57,123,18006,244,58,60,0,0,0,0,0,52,416,1196,215,324,3,0,0,10,9,66,1813,43373,6011,7636,32,0,9,80,120,317,57461,12731,722,648,15,0,0,8,22,31,14152,20227,2006,1205,0,0,3,25,29,50,23514,5474,1729,3622,0,0,0,31,34,37,10894,1825,965,1322,0,0,0,0,3,22,4134,1627,245,313,0,0,0,3,5,19,2209,96,103,142,0,0,0,0,0,13,352,729,93,83,8,0,0,0,11,15,938,195,22,50,3,0,0,0,8,20,293,9952,3156,5534,15,0,8,36,57,126,18823,258,61,58,0,0,0,0,0,52,430,1231,223,331,3,0,0,8,10,68,1867,44395,6159,7775,32,3,9,80,125,325,58786
Liverpool Plains (A),14920,577,9,50,0,0,0,9,9,0,639,36,0,4,0,0,0,0,0,0,39,55,3,3,0,0,0,0,0,0,69,2385,10,63,3,0,3,15,26,10,2496,1182,4,3,3,0,0,4,15,4,1203,713,0,3,0,0,0,4,4,0,730,264,7,35,0,0,0,0,0,0,305,49,3,16,0,0,0,0,0,0,65,265,0,5,0,0,0,8,8,0,274,35,0,4,0,0,0,0,0,0,45,110,0,3,0,0,0,3,3,0,116,40,0,6,0,0,0,0,0,0,40,762,8,66,0,0,0,8,10,0,855,36,0,4,0,0,0,0,0,0,39,73,3,9,0,0,0,0,0,0,86,2772,16,88,5,0,3,20,24,7,2916
Lockhart (A),14950,156,6,21,0,0,0,4,4,0,184,9,0,0,0,0,0,0,0,0,9,31,0,0,0,0,0,0,0,0,32,1034,3,21,3,0,0,12,11,9,1080,526,0,0,0,0,0,0,0,0,532,341,0,0,0,0,0,0,0,3,342,39,0,4,0,0,0,0,0,0,49,3,0,5,0,0,0,0,0,0,12,94,0,6,0,0,0,4,4,0,100,5,6,0,0,0,0,0,0,0,9,17,0,0,0,0,0,4,4,0,20,13,0,0,0,0,0,0,0,0,15,173,6,21,0,0,0,4,6,0,204,13,0,0,0,0,0,0,0,0,13,29,0,0,0,0,0,0,0,0,32,1085,3,21,3,0,3,11,14,9,1129
Maitland (C),15050,5112,1444,472,25,0,3,25,53,44,7122,80,103,0,0,0,0,0,0,58,248,413,64,18,3,0,0,3,8,108,615,22220,2293,554,42,3,10,46,98,374,25540,7272,432,35,15,0,6,5,27,142,7902,10152,257,29,3,0,3,13,22,27,10479,3717,1047,337,0,0,0,19,19,20,5137,903,321,115,0,0,0,3,3,3,1349,910,143,29,0,0,3,3,4,4,1094,33,30,25,0,0,0,0,0,6,91,256,18,11,21,0,0,3,23,11,318,66,10,4,0,0,0,0,0,3,87,5877,1575,515,27,0,3,28,57,41,8073,89,108,0,0,0,0,0,0,58,257,463,69,21,3,0,0,3,8,112,666,23848,2435,607,41,3,11,54,108,381,27374
Mid-Coast (A),15240,4746,1274,1509,31,67,8,79,181,76,7782,308,144,13,5,0,0,0,8,10,485,773,146,100,14,30,3,6,57,31,1102,27386,3262,2214,154,378,32,120,688,244,33781,14255,1446,461,92,287,15,17,414,84,16668,8251,269,151,11,7,13,16,51,50,8784,3263,854,1143,0,0,0,61,69,44,5373,437,185,223,3,0,0,3,3,5,853,1564,204,170,10,5,5,17,33,18,1985,110,111,75,0,0,0,0,0,0,302,162,33,21,21,64,0,3,91,18,330,197,18,16,5,3,0,3,14,0,244,5732,1407,1662,39,78,7,91,208,80,9087,319,144,14,5,0,0,0,8,10,492,854,165,109,18,30,3,5,57,31,1209,29413,3437,2392,165,405,36,132,738,254,36233
Mid-Western Regional (A),15270,1721,216,133,5,11,3,7,32,15,2113,50,3,0,0,0,0,0,6,4,56,212,24,11,14,3,0,0,22,5,273,7460,313,213,44,34,8,25,122,69,8168,3147,46,59,20,18,5,11,56,25,3332,2611,24,17,3,3,4,4,17,16,2681,1123,163,90,0,4,0,3,9,0,1387,180,34,28,0,0,0,0,0,0,245,482,23,19,0,0,0,0,3,7,532,16,4,10,0,0,0,0,0,0,32,86,7,0,4,6,0,0,9,4,108,77,7,0,3,0,0,0,3,3,95,1975,242,139,5,11,3,7,32,20,2402,51,3,0,0,0,0,0,6,4,58,232,28,11,14,3,0,0,22,5,294,8005,337,219,48,36,9,27,129,78,8768
Moree Plains (A),15300,803,80,232,7,6,0,8,25,4,1145,46,3,4,0,0,0,0,0,0,55,126,10,23,9,0,0,3,15,0,170,2920,207,303,31,9,7,27,71,20,3522,1161,71,27,20,0,0,11,30,7,1295,1020,54,18,0,0,0,3,6,9,1100,407,49,195,0,0,0,3,3,0,653,215,7,84,0,0,0,0,0,0,305,273,16,23,0,0,0,3,6,0,330,124,9,25,0,0,0,0,0,0,155,251,12,17,6,8,0,3,18,3,308,86,4,4,0,0,0,3,4,0,98,1359,96,351,8,8,3,17,34,11,1849,46,9,4,0,0,0,0,0,0,65,177,10,41,8,0,0,3,11,0,237,3758,244,441,35,9,3,35,85,20,4545
Mosman (A),15350,428,278,2995,0,0,0,34,37,7,3752,16,3,59,0,0,0,0,0,0,84,65,33,134,0,0,0,0,0,3,244,3896,1339,5670,0,4,0,45,55,33,10986,2015,573,1400,0,0,0,10,7,8,4004,1373,455,1081,0,0,0,3,3,12,2919,281,205,2393,0,0,0,28,28,4,2914,0,0,39,0,0,0,0,0,0,41,119,69,496,0,0,0,11,13,0,698,4,0,42,0,0,0,0,0,0,48,9,0,15,0,0,0,3,4,0,22,17,0,34,0,0,0,0,0,3,60,430,279,3021,0,0,0,37,38,7,3779,16,3,57,0,0,0,0,0,0,79,65,33,134,0,0,0,0,0,3,244,3901,1337,5699,0,4,0,45,53,33,11022
Murray River (A),15520,674,47,148,3,12,0,10,30,9,907,36,22,10,0,0,0,4,4,0,75,106,16,11,3,3,0,0,7,5,148,3754,172,232,20,58,3,29,117,27,4293,1806,70,47,14,39,4,4,66,9,1987,1209,17,15,0,0,3,9,11,3,1250,312,33,110,0,0,0,0,0,3,459,9,0,3,0,0,0,0,0,0,17,240,14,23,3,3,0,8,15,9,291,31,4,16,0,0,0,0,0,0,50,93,11,3,0,5,0,3,13,0,116,50,0,0,0,3,0,0,3,0,50,732,53,161,3,12,0,14,28,10,992,39,23,10,0,0,0,4,8,0,79,116,12,11,3,3,0,0,7,5,156,3897,177,243,20,58,4,35,116,30,4470
Murrumbidgee (A),15560,331,3,54,0,0,0,4,8,3,403,13,0,0,0,0,0,0,0,0,10,32,0,4,0,0,0,0,0,0,39,1143,3,57,4,4,0,10,15,9,1227,481,0,3,3,0,0,0,3,0,493,331,0,0,0,0,0,3,4,0,338,60,0,16,0,0,0,0,0,0,77,17,0,3,0,0,0,0,0,0,19,167,0,17,0,0,0,3,3,0,189,7,0,9,0,0,0,0,0,0,20,101,0,7,0,0,0,0,3,0,118,37,0,0,0,0,0,0,3,0,40,394,0,56,0,0,0,4,8,3,468,14,0,0,0,0,0,0,0,0,12,37,0,7,0,0,0,3,0,0,48,1260,0,60,4,7,0,10,23,6,1361
Muswellbrook (A),15650,1438,401,32,4,3,0,0,4,13,1887,19,9,0,0,0,0,0,0,3,38,97,24,16,3,0,0,0,3,11,142,4537,516,58,15,3,3,3,22,42,5171,1424,54,9,8,0,3,4,13,9,1515,1761,25,6,0,0,0,0,0,10,1805,1125,321,22,0,0,0,0,0,11,1484,187,87,3,0,0,0,0,0,0,274,272,22,4,0,0,0,0,0,0,296,20,16,0,0,0,0,0,0,0,38,81,3,0,3,0,0,0,0,6,97,47,6,0,0,0,0,0,0,0,60,1730,454,30,4,3,0,0,4,18,2243,20,9,0,0,0,0,0,0,3,37,116,25,15,3,0,0,0,3,7,164,5060,576,58,13,3,3,3,21,48,5764
Nambucca (A),15700,1149,154,267,10,26,6,25,70,12,1652,44,8,12,0,0,0,0,0,0,66,174,14,22,9,10,0,0,22,0,228,6027,254,415,84,221,10,42,354,37,7083,3078,57,97,67,176,7,7,263,11,3504,1769,25,20,0,6,0,3,17,7,1833,635,101,217,0,0,0,13,13,8,969,205,14,48,0,0,0,0,0,0,263,417,23,36,3,4,3,10,17,5,500,55,37,13,0,0,0,0,0,0,111,55,6,3,6,26,0,5,33,6,105,49,4,3,0,0,0,0,0,0,59,1422,186,319,10,28,6,27,75,14,2012,51,8,12,0,0,0,0,0,0,64,197,13,29,9,10,0,0,22,3,263,6519,283,472,88,229,10,39,369,38,7684
Narrabri (A),15750,808,96,172,10,7,0,4,16,11,1103,26,4,0,0,0,0,0,0,0,32,112,11,10,3,3,0,0,6,4,146,3552,123,193,37,11,3,17,63,22,3958,1547,6,10,21,3,5,3,29,0,1600,1297,6,7,3,0,0,8,15,8,1325,274,93,90,0,0,0,0,0,3,471,123,8,36,0,0,0,0,0,0,174,427,16,47,3,4,0,0,10,4,501,29,4,22,0,0,0,0,0,0,48,177,0,17,9,0,0,0,11,4,212,63,3,4,3,0,0,0,3,0,81,1097,129,213,9,7,0,4,23,17,1477,30,4,0,0,0,0,0,0,0,40,143,11,15,3,3,0,0,7,7,183,4122,157,248,38,10,3,19,69,30,4625
Narrandera (A),15800,370,15,47,3,0,0,3,3,4,439,11,0,0,0,0,0,0,0,0,11,57,3,0,3,0,0,0,3,0,69,1788,36,56,9,0,0,3,9,11,1902,857,11,10,4,0,0,0,5,3,885,608,4,0,0,0,0,0,0,0,611,166,14,40,0,0,0,0,0,0,219,42,0,3,0,0,0,0,0,0,50,191,3,8,0,0,0,0,0,3,208,7,0,0,0,0,0,0,0,0,9,43,5,3,0,0,0,0,4,3,56,22,0,0,0,0,0,0,0,0,26,470,17,56,4,0,0,3,8,6,558,17,0,0,0,0,0,0,0,0,17,66,3,3,3,0,0,0,3,0,78,2015,38,69,10,0,0,3,16,15,2148
Narromine (A),15850,311,15,63,0,0,0,3,3,5,394,13,0,0,0,0,0,0,0,0,13,50,0,6,3,0,0,0,3,3,67,1679,25,76,4,0,0,3,7,15,1796,887,0,3,0,0,0,0,0,7,899,653,3,0,0,0,0,0,0,5,667,188,17,29,0,0,0,0,0,7,239,81,3,9,0,0,0,0,0,0,91,169,0,11,0,0,0,0,0,3,181,4,3,24,0,0,0,0,0,0,28,61,0,9,0,0,0,0,0,0,71,34,0,0,0,0,0,0,0,0,35,531,21,75,0,0,0,7,7,10,646,14,0,3,0,0,0,0,0,0,20,70,0,6,6,0,0,0,6,3,85,2162,30,90,4,0,0,7,10,22,2318
Newcastle (C),15900,9184,4947,5298,0,7,5,108,121,149,19702,215,147,47,0,0,0,0,0,8,420,902,237,270,3,0,0,8,12,38,1463,40701,8752,7242,6,26,13,156,192,257,57151,15099,1934,820,4,17,0,15,38,37,17928,16323,1561,839,0,0,3,16,23,30,18773,6202,3001,3166,0,3,3,93,94,75,12537,680,1273,1469,0,0,0,7,10,17,3449,2635,716,755,0,0,3,23,25,39,4174,112,187,124,0,0,0,0,0,8,432,254,91,76,0,0,0,7,6,11,437,159,54,53,0,0,0,0,0,0,268,10042,5324,5641,3,5,5,119,135,157,21295,231,145,51,0,0,0,0,0,8,437,949,256,292,3,0,0,9,13,38,1552,42634,9215,7644,12,26,13,165,213,271,59974
North Sydney (A),15950,477,1322,13300,0,0,0,46,52,48,15192,24,15,144,0,0,0,0,0,0,181,64,82,432,0,3,0,3,6,20,596,3291,4202,22276,0,7,0,60,72,92,29924,1590,1521,4389,0,0,0,4,4,24,7527,1144,1275,4038,0,0,0,4,6,4,6475,310,965,10805,0,0,0,31,38,32,12150,3,31,417,0,0,0,0,0,3,454,135,295,1908,0,0,0,10,9,7,2356,8,16,60,0,0,0,0,0,0,84,11,9,79,0,0,0,3,7,7,112,16,21,104,0,0,0,0,0,0,139,483,1329,13371,0,0,0,50,50,48,15286,24,15,146,0,0,0,0,0,0,178,64,83,434,0,3,0,3,6,20,601,3301,4224,22382,0,7,0,66,70,92,30068
Northern Beaches (A),15990,5904,2231,13978,3,32,7,165,212,201,22523,228,487,661,0,0,3,0,9,8,1390,976,276,831,0,15,18,6,36,60,2177,50251,7844,28281,12,148,35,253,442,374,87197,21296,2826,6002,3,93,3,38,137,62,30314,22171,2047,6896,0,9,0,40,55,55,31222,3780,1117,10743,4,0,3,96,106,102,15844,189,381,496,0,0,0,0,0,0,1068,1748,457,2336,0,8,3,65,77,76,4691,52,154,268,0,0,0,0,0,0,477,109,97,117,0,21,0,5,30,10,365,144,51,138,0,3,0,4,6,9,338,6015,2253,14094,3,35,7,170,214,206,22785,239,486,664,0,0,3,0,9,8,1399,994,282,841,0,16,19,6,44,60,2214,50714,7895,28497,12,149,35,254,455,385,87940
Oberon (A),16100,335,11,37,0,0,0,0,0,24,401,4,0,0,0,0,0,0,0,0,9,56,0,3,0,0,0,0,0,0,54,1673,11,38,3,4,5,0,9,62,1793,741,0,0,0,3,0,0,3,25,769,569,0,0,3,0,0,0,8,22,596,190,10,25,0,0,0,0,0,16,235,18,0,10,0,0,0,0,0,0,29,103,0,0,0,0,0,0,0,4,109,0,0,5,0,0,0,0,0,0,7,40,0,0,0,0,0,0,0,0,39,16,0,0,0,0,0,0,0,0,18,371,11,38,0,0,0,0,0,24,439,4,0,0,0,0,0,0,0,0,9,58,0,6,0,0,0,0,0,0,60,1745,11,41,3,3,5,0,11,66,1875
Orange (C),16150,2869,913,380,0,3,0,3,8,40,4213,37,19,6,0,0,0,0,3,4,72,310,57,24,3,0,0,0,3,53,443,11705,1311,503,17,3,0,4,25,122,13670,4205,226,60,9,0,0,3,13,5,4521,4633,97,35,0,0,0,3,3,13,4774,2195,651,266,0,0,0,4,4,13,3128,492,212,104,0,0,0,0,0,0,804,591,82,32,0,0,0,0,0,3,712,27,37,13,0,0,0,0,0,11,96,60,3,6,0,4,0,0,4,5,80,40,15,3,0,0,0,0,0,3,57,3409,1004,416,0,4,0,3,8,40,4880,37,19,7,0,0,0,0,3,7,74,340,62,28,3,0,0,0,9,56,489,12629,1405,547,14,3,0,9,34,125,14735
Parkes (A),16200,901,98,212,6,3,0,8,13,15,1237,21,0,9,0,0,0,0,0,5,35,141,6,16,0,0,0,0,3,0,159,4181,134,262,7,10,4,14,34,50,4666,1884,24,24,3,3,3,6,18,16,1971,1525,12,5,0,0,0,0,4,4,1550,424,58,136,0,0,0,3,6,3,630,150,17,45,0,0,0,0,0,0,215,444,11,24,0,0,0,0,0,7,490,37,11,23,0,0,0,0,0,0,69,61,3,8,6,3,0,0,6,3,88,44,3,3,0,0,0,0,0,3,50,1163,105,233,6,3,0,5,16,15,1539,33,0,9,0,0,0,0,0,5,50,169,6,16,0,0,0,0,3,4,195,4764,146,290,15,8,3,13,41,50,5294
Parramatta (C),16260,6751,5022,18799,0,3,0,163,161,166,30902,164,78,540,0,0,0,0,0,3,784,676,277,811,3,0,0,5,7,49,1822,34260,11430,28857,4,3,0,227,234,296,75089,13930,1974,2687,0,0,0,13,17,28,18643,12921,4093,6048,0,0,0,49,51,48,23163,4017,2968,15056,0,0,0,122,129,103,22275,999,1037,1466,0,0,0,0,3,3,3501,1456,601,1852,0,0,0,35,35,30,3967,79,172,366,0,0,0,0,0,10,621,268,303,145,0,0,0,0,0,18,738,118,45,103,0,0,0,3,3,4,277,6940,5125,18978,0,3,0,162,170,166,31375,169,77,541,0,0,0,0,0,3,793,694,281,821,3,0,0,5,7,51,1859,34645,11562,29082,4,3,0,226,240,297,75819
Burwood (A),11300,834,570,3445,0,0,0,41,41,55,4945,27,13,82,0,0,0,0,0,0,115,149,48,162,0,0,0,4,4,16,381,4672,1966,5102,0,0,0,50,50,84,11880,2286,698,615,0,0,0,6,5,8,3617,1396,638,799,0,0,0,3,7,11,2843,540,308,2520,0,0,0,24,24,28,3424,20,106,204,0,0,0,0,0,0,338,216,99,584,0,0,0,6,6,10,922,29,13,46,0,0,0,0,0,3,91,30,23,90,0,0,0,4,4,3,149,21,18,27,0,0,0,0,0,4,71,852,576,3465,0,0,0,41,41,55,4991,27,15,82,0,0,0,0,0,0,121,149,52,162,0,0,0,4,4,16,381,4711,1978,5123,0,0,0,50,50,84,11957
Byron (A),11350,2299,445,438,36,63,6,30,137,49,3368,84,7,3,0,3,0,0,3,0,101,259,30,34,9,9,0,3,19,24,367,9024,797,706,167,134,23,58,378,167,11080,3601,153,143,117,51,14,8,190,62,4150,2918,169,91,6,6,5,8,28,32,3233,955,290,209,0,9,0,16,22,18,1490,64,22,73,0,0,0,0,0,3,158,1201,126,142,16,43,3,13,74,28,1567,33,13,18,0,0,0,0,0,0,59,55,5,3,20,18,0,3,42,6,115,89,13,13,0,4,0,0,3,0,116,2390,462,450,38,72,6,29,147,55,3500,89,7,3,0,3,0,0,3,0,102,265,30,34,9,7,0,3,20,25,377,9266,819,727,164,144,23,61,389,171,11368
Cabonne (A),11400,717,22,54,3,0,0,18,15,7,806,33,0,9,0,0,0,0,0,0,43,116,3,6,0,0,0,0,0,0,125,4294,29,76,15,5,0,21,45,21,4464,1941,4,3,7,0,3,5,15,7,1974,1629,0,5,0,0,0,8,7,7,1649,253,6,24,0,0,0,5,5,0,291,22,3,4,0,0,0,0,0,0,30,343,8,7,0,0,0,8,4,0,368,7,4,16,0,0,0,0,0,0,28,99,0,0,3,0,0,0,5,0,102,58,0,3,0,0,0,3,3,0,63,783,23,51,3,3,0,18,20,3,878,39,0,9,0,0,0,0,0,0,51,123,3,5,0,0,0,0,0,0,132,4510,30,75,15,4,4,23,44,26,4686
Camden (A),11450,4016,559,102,0,10,7,4,22,25,4724,94,119,13,0,0,0,0,0,0,227,345,82,19,0,0,0,0,3,7,460,21520,1393,190,13,31,9,12,70,66,23248,5422,300,40,15,24,3,0,39,17,5821,12139,348,20,0,0,0,3,6,16,12527,3190,397,65,0,0,0,0,0,19,3678,237,80,31,0,0,0,0,0,0,341,656,67,11,0,0,3,3,6,3,749,29,22,0,0,0,0,0,0,3,54,109,4,0,0,10,3,0,10,0,131,56,5,0,0,0,0,0,0,4,64,4280,584,107,0,10,7,4,22,27,5013,98,121,13,0,0,0,0,0,0,234,372,81,19,0,0,0,0,3,7,480,22310,1432,195,12,37,9,12,71,68,24084
Campbelltown (C) (NSW),11500,9223,4321,1281,0,3,4,29,39,51,14914,212,126,133,0,0,0,0,0,8,485,861,260,79,0,0,0,3,3,12,1217,37250,7831,2121,0,4,9,63,76,111,47384,10665,1115,303,0,0,0,12,18,18,12116,17167,2053,330,0,0,3,17,22,24,19590,5758,2143,1036,0,3,6,23,32,31,8998,2692,2028,170,0,0,0,0,0,6,4893,1471,343,80,0,0,0,3,3,6,1908,106,117,39,0,0,0,0,0,0,262,152,34,19,0,0,0,0,0,4,211,142,32,8,0,0,0,0,0,0,181,10323,4693,1354,0,3,5,29,38,52,16463,221,137,139,0,0,0,0,0,8,507,932,279,79,0,0,0,3,3,12,1310,39315,8272,2202,0,4,11,65,82,109,49981
Canada Bay (A),11520,1775,1018,8706,0,0,0,203,203,86,11787,47,9,92,0,0,0,3,3,7,153,265,71,349,0,0,0,12,11,19,707,12287,2950,16176,0,6,0,302,300,156,31868,6042,795,2992,0,0,0,25,29,26,9882,4218,1057,4067,0,0,0,55,55,19,9428,1229,640,6919,0,0,0,145,145,46,8975,84,191,457,0,0,0,0,0,4,745,399,112,1072,0,0,0,51,51,17,1651,23,15,106,0,0,0,0,0,8,158,29,59,152,0,0,0,3,3,7,252,45,17,68,0,0,0,3,3,3,141,1814,1043,8774,0,0,0,209,209,85,11919,47,13,90,0,0,0,3,3,7,159,269,71,354,0,0,0,12,11,19,710,12384,2978,16273,0,6,0,304,306,159,32102
Canterbury-Bankstown (A),11570,12891,6708,18236,0,3,0,387,394,211,38442,333,128,236,0,0,0,4,4,3,709,1842,502,976,0,3,0,24,33,66,3416,60770,17098,27626,3,8,3,599,612,405,106513,25829,3470,3078,0,0,0,86,90,41,32497,20238,6347,5137,0,0,0,95,93,81,31896,6683,3315,12465,0,3,0,277,286,125,22874,2596,2129,3516,0,0,0,5,5,12,8263,2904,885,1604,0,0,0,80,80,58,5532,200,284,416,0,0,0,3,3,5,899,557,147,290,0,0,0,23,26,15,1032,333,99,154,0,0,0,7,7,6,596,13278,6850,18446,0,3,0,397,403,219,39193,340,131,245,0,0,0,4,4,3,724,1866,507,981,0,3,0,24,33,66,3454,61550,17305,27889,3,8,3,608,617,406,107772
Carrathool (A),11600,243,0,22,0,6,0,0,8,6,280,15,0,0,0,0,0,0,0,0,22,32,0,0,0,11,0,0,8,0,41,812,0,23,8,14,0,0,30,9,871,380,0,0,4,0,0,0,5,3,389,181,0,0,0,0,0,3,4,0,184,17,0,6,0,0,0,0,0,0,25,14,0,0,0,0,0,0,0,0,16,141,0,0,0,0,0,0,0,3,142,9,0,3,0,0,0,0,0,0,9,97,0,12,0,3,0,0,4,0,118,28,0,0,0,0,0,0,0,0,26,302,0,25,0,6,0,0,8,6,337,22,0,0,0,0,0,0,0,0,18,36,0,0,0,11,0,0,8,0,49,917,0,29,8,14,0,0,26,9,986
Central Coast (C) (NSW),11650,18047,5743,5006,103,367,10,110,585,227,29601,426,983,292,0,3,0,0,9,18,1722,2220,681,389,26,20,5,12,60,122,3478,90320,14435,8880,319,516,26,210,1076,511,115223,34384,5099,2128,177,100,7,39,328,95,42039,37813,2051,1114,14,36,11,62,117,54,41151,13136,3560,3550,3,265,6,73,345,135,20722,1300,1416,855,3,3,0,0,10,8,3583,4501,719,576,9,51,0,28,95,52,5941,161,291,196,0,0,0,0,0,11,669,589,110,66,93,72,0,5,170,30,956,371,94,64,0,3,0,8,14,8,551,20058,6187,5306,115,393,10,118,631,246,32423,438,990,298,0,3,0,0,9,18,1748,2371,704,406,28,19,5,12,63,135,3684,95068,15026,9260,338,552,29,228,1150,545,121048
Central Darling (A),11700,76,3,3,0,0,0,3,3,0,92,19,0,0,0,0,0,0,0,0,21,17,3,0,0,0,0,0,5,4,22,338,13,6,0,0,0,0,7,14,368,230,0,0,3,0,0,0,3,4,235,47,0,0,0,0,0,0,0,3,53,3,0,0,0,0,0,0,0,0,4,72,3,3,0,0,0,0,0,0,83,35,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,43,58,8,3,0,0,0,3,3,0,70,16,0,0,0,0,0,0,0,0,25,227,15,8,3,0,0,4,5,0,254,21,3,0,0,0,0,0,0,0,24,20,3,4,0,0,0,0,3,0,38,548,19,16,3,0,0,5,15,13,605
