lga_name_2016,lga_code_2016,h_w_in_ps_oo_ds_sh,h_w_in_ps_oo_ds_sdrtht,h_w_in_ps_oo_ds_fa,h_w_in_ps_oo_ds_od_c,h_w_in_ps_oo_ds_od_ch,h_w_in_ps_oo_ds_od_ih_t_so,h_w_in_ps_oo_od_hf_a_so,h_w_in_ps_oo_ds_od_tot,h_w_in_ps_oo_ds_ns,h_w_in_ps_oo_tot,h_w_in_ps_m_ds_sh,h_w_in_ps_m_ds_sdrtht,h_w_in_ps_m_ds_fa,h_w_in_ps_m_ds_od_c,h_w_in_ps_m_ds_od_ch,h_w_in_ps_m_ds_od_ih_t_so,h_w_in_ps_m_od_hf_a_so,h_w_in_ps_m_ds_od_tot,h_w_in_ps_m_ds_ns,h_w_in_ps_m_tot,h_w_in_ps_rrea_ds_sh,h_w_in_ps_rrea_ds_sdrtht,h_w_in_ps_rrea_ds_fa,h_w_in_ps_rrea_ds_od_c,h_w_in_ps_rrea_ds_od_ch,h_w_in_ps_rrea_ds_od_ih_t_so,h_w_in_ps_rrea_od_hf_a_so,h_w_in_ps_rrea_ds_od_tot,h_w_in_ps_rrea_ds_ns,h_w_in_ps_rrea_tot,h_w_in_ps_rha_ds_sh,h_w_in_ps_rha_ds_sdrtht,h_w_in_ps_rha_ds_fa,h_w_in_ps_rha_ds_od_c,h_w_in_ps_rha_ds_od_ch,h_w_in_ps_rha_ds_od_ih_t_so,h_w_in_ps_rha_od_hf_a_so,h_w_in_ps_rha_ds_od_tot,h_w_in_ps_rha_ds_ns,h_w_in_ps_rha_tot,h_w_in_ps_r_psh_ds_sh,h_w_in_ps_r_psh_ds_sdrtht,h_w_in_ps_r_psh_ds_fa,h_w_in_ps_r_psh_ds_od_c,h_w_in_ps_r_psh_ds_od_ch,h_w_in_ps_r_psh_ds_od_ih_t_so,h_w_in_ps_r_psh_od_hf_a_so,h_w_in_ps_r_psh_ds_od_tot,h_w_in_ps_r_psh_ds_ns,h_w_in_ps_r_psh_tot,h_w_in_ps_r_hcc_ds_sh,h_w_in_ps_r_hcc_ds_sdrtht,h_w_in_ps_r_hcc_ds_fa,h_w_in_ps_r_hcc_ds_od_c,h_w_in_ps_r_hcc_ds_od_ch,h_w_in_ps_r_hcc_ds_od_ih_t_so,h_w_in_ps_r_hcc_od_hf_a_so,h_w_in_ps_r_hcc_ds_od_tot,h_w_in_ps_r_hcc_ds_ns,h_w_in_ps_r_hcc_tot,h_w_in_ps_r_olt_ds_sh,h_w_in_ps_r_olt_ds_sdrtht,h_w_in_ps_r_olt_ds_fa,h_w_in_ps_r_olt_ds_od_c,h_w_in_ps_r_olt_ds_od_ch,h_w_in_ps_r_olt_ds_od_ih_t_so,h_w_in_ps_r_olt_od_hf_a_so,h_w_in_ps_r_olt_ds_od_tot,h_w_in_ps_r_olt_ds_ns,h_w_in_ps_r_olt_tot,h_w_in_ps_r_lns_ds_sh,h_w_in_ps_r_lns_ds_sdrtht,h_w_in_ps_r_lns_ds_fa,h_w_in_ps_r_lns_ds_od_c,h_w_in_ps_r_lns_ds_od_ch,h_w_in_ps_r_lns_ds_od_ih_t_so,h_w_in_ps_r_lns_od_hf_a_so,h_w_in_ps_r_lns_ds_od_tot,h_w_in_ps_r_lns_ds_ns,h_w_in_ps_r_lns_tot,h_w_in_ps_r_tot_ds_sh,h_w_in_ps_r_tot_ds_sdrtht,h_w_in_ps_r_tot_ds_fa,h_w_in_ps_r_tot_ds_od_c,h_w_in_ps_r_tot_ds_od_ch,h_w_in_ps_r_tot_ds_od_ih_t_so,h_w_in_ps_r_tot_od_hf_a_so,h_w_in_ps_r_tot_ds_od_tot,h_w_in_ps_r_tot_ds_ns,h_w_in_ps_r_tot_tot,h_w_in_ps_ott_ds_sh,h_w_in_ps_ott_ds_sdrtht,h_w_in_ps_ott_ds_fa,h_w_in_ps_ott_ds_od_c,h_w_in_ps_ott_ds_od_ch,h_w_in_ps_ott_ds_od_ih_t_so,h_w_in_ps_ott_od_hf_a_so,h_w_in_ps_ott_ds_od_tot,h_w_in_ps_ott_ds_ns,h_w_in_ps_ott_tot,h_w_in_ps_t_ns_ds_sh,h_w_in_ps_t_ns_ds_sdrtht,h_w_in_ps_t_ns_ds_fa,h_w_in_ps_t_ns_ds_od_c,h_w_in_ps_t_ns_ds_od_ch,h_w_in_ps_t_ns_ds_od_ih_t_so,h_w_in_ps_t_ns_od_hf_a_so,h_w_in_ps_t_ns_ds_od_tot,h_w_in_ps_t_ns_ds_ns,h_w_in_ps_t_ns_tot,h_w_in_ps_tot_ds_sh,h_w_in_ps_tot_ds_sdrtht,h_w_in_ps_tot_ds_fa,h_w_in_ps_tot_ds_od_c,h_w_in_ps_tot_ds_od_ch,h_w_in_ps_tot_ds_od_ih_t_so,h_w_in_ps_tot_od_hf_a_so,h_w_in_ps_tot_ds_od_tot,h_w_in_ps_tot_ds_ns,h_w_in_ps_tot_tot,oh_oo_ds_sh,oh_oo_ds_sdrtht,oh_oo_ds_fa,oh_oo_ds_od_c,oh_oo_ds_od_ch,oh_oo_ds_od_ih_t_so,oh_oo_od_hf_a_so,oh_oo_ds_od_tot,oh_oo_ds_ns,oh_oo_ds_tot,oh_m_ds_sh,oh_m_ds_sdrtht,oh_m_ds_fa,oh_m_ds_od_c,oh_m_ds_od_ch,oh_m_ds_od_ih_t_so,oh_m_od_hf_a_so,oh_m_ds_od_tot,oh_m_ds_ns,oh_m_ds_tot,oh_rrea_ds_sh,oh_rrea_ds_sdrtht,oh_rrea_ds_fa,oh_rrea_ds_od_c,oh_rrea_ds_od_ch,oh_rrea_ds_od_ih_t_so,oh_rrea_od_hf_a_so,oh_rrea_ds_od_tot,oh_rrea_ds_ns,oh_rrea_ds_tot,oh_rha_ds_sh,oh_rha_ds_sdrtht,oh_rha_ds_fa,oh_rha_ds_od_c,oh_rha_ds_od_ch,oh_rha_ds_od_ih_t_so,oh_rha_od_hf_a_so,oh_rha_ds_od_tot,oh_rha_ds_ns,oh_rha_ds_tot,oh_r_psh_ds_sh,oh_r_psh_ds_sdrtht,oh_r_psh_ds_fa,oh_r_psh_ds_od_c,oh_r_psh_ds_od_ch,oh_r_psh_ds_od_ih_t_so,oh_r_psh_od_hf_a_so,oh_r_psh_ds_od_tot,oh_r_psh_ds_ns,oh_r_psh_ds_tot,oh_r_hcc_ds_sh,oh_r_hcc_ds_sdrtht,oh_r_hcc_ds_fa,oh_r_hcc_ds_od_c,oh_r_hcc_ds_od_ch,oh_r_hcc_ds_od_ih_t_so,oh_r_hcc_od_hf_a_so,oh_r_hcc_ds_od_tot,oh_r_hcc_ds_ns,oh_r_hcc_ds_tot,oh_r_olt_ds_sh,oh_r_olt_ds_sdrtht,oh_r_olt_ds_fa,oh_r_olt_ds_od_c,oh_r_olt_ds_od_ch,oh_r_olt_ds_od_ih_t_so,oh_r_olt_od_hf_a_so,oh_r_olt_ds_od_tot,oh_r_olt_ds_ns,oh_r_olt_ds_tot,oh_r_lns_ds_sh,oh_r_lns_ds_sdrtht,oh_r_lns_ds_fa,oh_r_lns_ds_od_c,oh_r_lns_ds_od_ch,oh_r_lns_ds_od_ih_t_so,oh_r_lns_od_hf_a_so,oh_r_lns_ds_od_tot,oh_r_lns_ds_ns,oh_r_lns_ds_tot
Blayney (A),10850,15,0,0,0,0,0,0,0,0,15,48,3,0,0,0,0,0,0,0,48,30,0,3,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,4,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,11,117,3,4,0,0,0,0,0,0,120,963,4,0,0,0,0,4,11,0,980,865,4,0,0,0,0,4,3,3,873,244,11,49,0,0,0,0,0,0,301,29,0,3,0,0,0,0,0,0,35,155,4,0,0,0,0,3,3,3,166,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,0,31,24,0,0,0,0,0,0,0,0,26
Blue Mountains (C),10900,150,7,0,0,0,0,0,0,0,154,357,3,0,0,0,0,0,0,0,358,167,8,6,0,0,0,0,0,0,186,34,12,4,0,0,0,0,0,0,51,39,0,5,0,0,0,0,0,0,40,10,3,5,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,251,22,23,0,0,0,0,0,0,300,3,3,0,0,0,0,0,0,0,9,23,3,0,0,0,0,0,0,0,25,782,37,24,0,0,0,0,0,0,843,10566,415,48,3,0,4,7,10,27,11068,10732,125,44,0,0,4,8,10,20,10933,2466,324,257,0,0,0,10,10,17,3073,133,133,82,0,0,0,0,0,0,344,1036,91,39,0,0,0,0,3,17,1181,50,83,43,0,0,0,0,0,4,181,62,8,7,0,0,0,4,3,10,91,83,6,3,0,0,0,0,0,4,100
Bogan (A),10950,35,0,0,0,0,0,0,0,0,32,45,0,0,0,0,0,0,0,0,45,10,0,0,0,0,0,0,0,0,16,27,0,0,0,0,0,0,0,0,29,26,0,0,0,0,0,0,0,0,24,4,4,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,80,4,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,164,4,7,0,0,0,0,0,0,177,342,3,0,0,0,0,0,0,4,354,179,0,0,0,0,0,0,0,0,175,31,3,0,0,0,0,0,0,0,39,17,0,3,0,0,0,0,0,0,21,60,3,3,0,0,0,3,3,0,76,3,0,3,0,0,0,0,0,0,3,37,10,7,0,0,0,3,3,0,59,20,0,0,0,0,0,0,0,0,21
Botany Bay (C),11100,42,9,12,0,0,0,0,0,0,61,39,21,25,0,0,0,0,0,0,87,24,9,70,0,0,0,0,0,0,105,26,51,31,0,0,0,0,0,0,110,7,3,4,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,67,64,114,0,0,0,3,3,0,244,6,0,0,0,0,0,0,0,0,6,3,3,3,0,0,0,0,0,0,15,149,102,159,0,0,0,3,3,0,409,2409,445,1038,0,0,3,11,10,10,3919,1873,750,1946,0,0,3,14,16,10,4593,541,274,3685,0,0,0,61,59,29,4591,82,407,759,0,0,0,0,0,0,1252,191,67,504,0,0,0,15,19,15,802,19,16,40,0,0,0,0,0,0,77,13,25,94,0,0,0,3,3,4,137,18,14,36,0,0,0,0,0,0,59
Bourke (A),11150,42,0,0,0,0,0,0,0,0,42,71,0,0,0,0,0,0,0,0,73,18,0,0,0,0,0,0,0,0,16,55,5,3,0,0,0,0,0,0,59,27,0,0,0,0,0,0,0,0,28,32,0,4,0,0,0,0,0,0,34,13,0,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,13,150,4,6,0,0,0,0,0,3,164,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,22,280,5,6,0,0,0,3,6,3,300,186,0,0,9,0,3,3,15,5,208,112,0,0,0,0,0,0,0,5,116,18,0,4,0,0,0,0,0,0,22,7,7,10,0,0,0,0,0,0,20,46,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,61,6,5,0,0,0,3,3,0,83,4,0,0,0,0,0,0,0,0,4
Brewarrina (A),11200,59,0,0,0,0,0,0,0,0,54,13,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,45,0,3,0,0,0,0,0,0,55,24,0,0,0,0,0,0,0,0,24,130,0,11,0,0,0,0,0,0,140,23,0,3,0,0,0,0,0,0,24,9,0,0,0,0,0,0,0,0,9,229,3,17,0,0,0,0,0,0,255,5,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,17,313,3,17,0,0,0,0,0,0,339,80,0,0,0,0,3,0,0,0,87,31,0,0,0,0,0,0,0,0,37,4,0,0,0,0,0,0,0,0,4,5,0,8,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,29,0,7,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,5
Broken Hill (C),11250,109,0,0,0,0,0,0,0,0,105,175,0,0,0,0,0,0,0,0,176,107,6,7,0,0,0,0,0,0,119,38,12,10,0,0,0,0,0,0,55,90,0,0,0,0,0,0,0,0,92,11,0,0,0,0,0,0,0,0,11,24,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,3,275,17,11,0,0,0,0,0,0,302,6,0,0,0,0,0,0,0,0,6,33,0,0,0,0,0,0,0,3,34,584,18,19,0,0,0,0,0,4,629,2865,30,9,8,0,0,0,7,7,2924,1928,14,0,0,0,0,3,4,4,1950,454,43,37,0,0,0,0,0,0,533,24,15,18,0,0,0,0,0,0,53,468,29,30,0,0,0,0,0,0,530,11,4,21,0,0,0,0,0,0,38,143,9,20,0,0,0,0,3,3,180,53,0,7,0,0,0,0,0,0,57
Hilltops (A),13910,70,3,0,0,0,0,3,3,0,71,107,3,0,0,0,0,0,0,0,113,76,6,10,0,0,0,0,0,0,94,23,0,0,0,0,0,0,0,0,22,41,3,0,0,0,0,0,0,0,40,5,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,8,153,7,11,0,0,0,0,0,0,179,3,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,0,13,344,13,16,0,0,0,3,3,3,384,2632,89,53,16,0,5,5,25,17,2827,1839,25,14,0,0,0,4,12,5,1893,553,113,133,0,0,0,0,0,4,799,83,19,14,0,0,0,0,0,0,118,418,20,16,0,0,0,4,4,6,463,6,4,25,0,0,0,0,0,0,42,121,9,3,0,3,0,0,3,7,142,85,7,3,0,0,0,0,0,0,95
Hornsby (A),14000,65,0,3,0,0,0,0,0,0,72,90,7,4,0,0,0,0,0,0,98,46,6,26,0,0,0,0,0,0,76,5,11,10,0,0,0,0,0,0,28,22,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,84,22,39,0,0,0,0,0,0,138,5,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,8,248,26,48,0,0,0,0,0,0,322,14127,1170,1223,9,29,0,11,48,30,16602,15256,1293,1908,3,3,0,11,10,26,18500,2816,756,3110,0,0,0,25,27,36,6745,81,205,307,0,0,0,0,0,0,589,1009,163,523,0,0,0,8,10,26,1729,50,68,300,0,0,0,0,0,3,424,102,32,39,4,10,0,4,18,5,192,103,10,41,0,0,0,4,4,3,164
Hunters Hill (A),14100,5,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,10,6,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,11,0,0,0,0,0,0,25,1314,288,157,0,0,0,0,0,4,1761,1100,204,142,0,0,0,0,0,6,1458,201,164,277,0,0,0,3,5,3,645,0,0,274,0,0,0,0,0,0,272,74,35,55,0,0,0,0,0,3,168,5,0,18,0,0,0,0,0,0,22,5,5,8,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,17
Inner West (A),14170,49,45,22,0,0,0,0,0,0,111,65,78,44,0,0,0,0,0,0,187,53,111,206,0,0,0,14,14,0,384,64,74,96,0,0,0,0,0,0,237,18,16,22,0,0,0,0,0,0,62,25,12,21,0,0,0,0,0,0,52,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,159,218,351,0,0,0,16,16,3,753,0,3,4,0,0,0,0,0,0,12,7,8,12,0,0,0,0,0,0,34,282,349,434,0,0,0,22,22,4,1091,7428,6356,2949,0,0,0,95,94,50,16881,5867,8371,4971,0,3,0,114,115,59,19386,2114,5030,14082,3,0,4,515,522,151,21901,97,393,1329,0,0,0,0,0,7,1818,791,1307,2105,0,0,0,182,183,71,4460,68,76,301,0,0,0,4,4,4,459,55,78,136,0,0,0,23,23,12,315,61,66,163,0,0,0,10,10,3,310
Inverell (A),14200,63,0,0,0,0,0,3,3,0,69,128,0,0,0,0,0,0,0,0,130,153,8,16,0,0,0,0,0,0,173,87,0,9,0,0,0,0,0,0,101,37,0,0,0,0,0,0,0,0,39,10,5,5,0,0,0,0,0,0,13,4,0,0,0,3,0,0,5,0,11,11,0,0,0,0,0,0,0,0,8,298,18,31,0,3,0,3,3,0,351,0,0,0,0,0,0,0,0,0,0,19,0,8,0,0,0,0,0,0,20,505,21,36,0,3,0,6,6,0,575,2080,23,31,9,0,0,3,18,23,2181,1575,11,8,3,0,4,3,11,18,1616,534,67,172,0,0,0,0,0,8,787,73,3,16,0,0,0,0,0,0,97,332,3,27,0,0,0,0,0,5,375,9,25,33,0,0,0,0,0,33,95,65,0,9,5,9,0,0,19,3,91,46,6,3,0,0,0,0,0,4,60
Junee (A),14300,12,0,0,0,0,0,0,0,0,16,40,0,0,0,0,0,0,0,0,41,31,3,0,0,0,0,0,0,0,37,9,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,3,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,106,6,3,0,0,0,0,0,0,115,665,4,6,0,0,0,0,5,3,681,587,6,0,0,0,0,0,0,4,590,176,7,16,0,0,0,0,0,0,199,30,0,7,0,0,0,0,0,0,37,111,0,4,0,0,0,0,0,4,127,3,13,0,0,0,0,0,0,0,15,19,3,0,0,0,0,0,0,0,24,22,0,3,0,0,0,0,0,0,22
Kempsey (A),14350,176,3,0,0,0,0,0,0,3,187,266,0,3,0,0,0,0,0,0,267,235,20,12,0,0,0,0,0,3,273,174,13,13,0,0,0,0,0,0,203,100,0,0,0,0,0,0,0,0,104,54,6,7,0,0,0,0,0,0,74,11,6,0,4,0,0,0,4,0,21,10,0,0,0,0,0,0,0,0,16,591,45,45,5,0,0,0,10,3,688,3,3,0,0,0,0,0,0,0,9,35,4,4,0,0,0,0,3,3,47,1073,50,48,6,0,0,3,12,11,1203,4114,109,88,37,5,4,3,51,38,4400,2513,30,27,3,0,0,3,12,22,2609,801,150,173,0,0,0,15,13,6,1142,66,33,38,0,0,0,0,0,0,132,541,22,22,4,0,0,3,7,12,615,12,14,7,0,0,0,0,0,0,33,46,4,8,12,3,0,7,20,5,86,69,0,3,0,0,0,0,3,4,74
Kiama (A),14400,33,0,0,0,0,0,0,0,0,36,69,6,0,3,0,0,0,3,0,78,24,6,7,0,0,0,0,0,0,42,3,3,0,0,0,0,0,0,0,10,11,0,3,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,9,10,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,159,24,18,3,0,0,0,3,0,196,2935,348,194,12,0,0,3,19,37,3530,2040,222,47,3,0,0,0,3,3,2312,467,219,149,0,0,0,8,8,5,854,28,13,17,0,0,0,0,0,0,63,255,47,39,0,0,0,4,9,3,353,4,0,30,0,0,0,0,0,0,37,28,0,7,4,0,0,5,11,5,49,27,4,9,0,0,0,0,0,0,33
Ku-ring-gai (A),14500,16,3,4,0,0,0,0,0,0,22,38,0,5,0,0,0,0,0,0,40,17,0,7,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,0,17,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,83,3,28,0,0,0,0,0,0,110,12847,907,2394,0,0,0,0,0,19,16167,11918,298,2202,0,0,0,6,6,12,14432,2010,190,2757,0,0,0,10,10,14,4987,18,0,11,0,0,0,0,0,0,29,685,48,485,0,0,0,3,3,15,1239,44,11,104,0,0,0,0,0,3,158,64,7,69,0,0,0,4,4,6,155,71,10,33,0,0,0,0,0,0,122
Kyogle (A),14550,36,0,0,0,0,0,0,0,0,39,36,0,0,0,0,0,3,3,0,37,31,3,3,0,0,0,0,0,0,37,22,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,0,0,0,26,7,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,87,3,3,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,170,3,3,0,0,0,5,6,0,175,1524,3,8,14,10,4,4,28,6,1579,908,3,0,0,3,4,8,11,7,927,217,7,37,0,0,0,9,9,3,266,22,3,0,0,0,0,0,0,0,25,283,3,5,0,4,0,3,4,3,308,9,0,3,0,0,0,0,0,0,12,29,0,0,0,0,0,0,4,0,35,53,0,0,0,0,0,0,0,0,57
Lachlan (A),14600,50,0,0,0,0,0,0,0,0,53,83,0,0,0,0,0,0,0,4,91,42,0,4,0,0,0,0,0,0,46,79,0,0,0,0,0,0,0,0,78,48,0,3,0,0,0,0,0,0,55,45,0,0,0,0,0,0,0,0,48,12,0,4,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,3,229,0,12,0,0,0,0,3,3,250,0,0,0,0,0,0,0,0,0,0,17,0,7,0,0,0,0,0,0,21,389,0,17,3,0,0,0,5,8,418,827,3,0,0,0,0,0,3,21,856,396,0,0,0,0,0,0,0,19,418,68,0,12,0,0,0,0,0,3,80,13,0,6,0,0,0,0,0,3,19,175,0,8,0,0,0,3,3,11,199,11,0,3,0,0,0,0,0,0,15,65,0,11,0,0,0,0,0,5,81,31,0,0,0,0,0,0,0,0,33
Lake Macquarie (C),14650,566,28,12,0,5,0,0,13,0,613,1286,26,11,0,0,0,0,0,3,1330,679,101,36,0,0,0,4,3,6,829,351,96,50,0,0,0,0,0,0,507,231,21,12,0,0,0,0,0,0,265,35,7,9,0,0,0,0,0,0,53,20,5,3,7,6,0,0,13,0,45,18,0,0,0,0,0,0,0,0,19,1339,243,114,7,6,0,7,21,5,1716,17,3,5,0,0,0,0,0,0,27,82,14,3,0,0,0,0,0,3,100,3291,311,136,4,14,0,12,31,14,3777,23540,2485,588,45,243,9,12,316,24,26952,23774,786,233,3,9,6,19,31,29,24856,5944,1488,823,3,15,3,32,52,35,8351,1445,785,477,0,0,0,4,6,0,2710,2453,398,161,3,12,0,17,28,14,3062,97,166,97,0,4,0,0,5,0,357,172,60,14,19,88,0,4,112,12,367,182,28,8,0,3,0,0,5,0,226
Lane Cove (A),14700,9,0,0,0,0,0,0,0,0,15,5,0,4,0,0,0,0,0,0,14,3,0,15,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,18,5,28,0,0,0,0,0,0,56,2658,231,1140,0,0,0,3,3,3,4033,2251,224,1913,0,0,0,0,0,5,4401,475,141,3006,0,0,0,7,7,11,3643,10,76,75,0,0,0,0,0,0,164,159,47,457,0,0,0,0,0,12,672,8,3,78,0,0,0,0,0,0,92,11,4,38,0,0,0,0,0,25,70,22,3,26,0,0,0,0,0,3,56
Leeton (A),14750,39,0,0,0,0,0,0,0,0,40,75,0,0,0,0,0,0,0,0,76,48,9,11,0,0,0,0,0,0,63,36,0,0,0,0,0,0,0,0,36,27,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,5,126,10,9,0,0,0,0,0,0,143,3,0,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,0,0,10,246,12,12,0,0,0,0,3,3,270,1239,36,27,5,3,0,7,17,15,1339,1075,12,17,0,0,3,0,3,10,1119,318,82,91,0,0,0,0,0,7,499,64,9,3,0,0,0,0,0,0,80,212,28,31,0,0,0,0,3,3,274,3,7,4,0,0,0,0,0,0,14,42,3,9,4,4,3,0,9,3,69,43,0,4,0,0,0,0,0,0,48
Lismore (C),14850,97,3,0,3,0,0,0,4,0,101,273,0,0,4,0,0,3,7,0,282,154,47,36,0,0,0,0,0,0,236,92,34,17,0,0,0,0,0,0,140,99,6,0,0,0,0,0,0,0,112,30,8,0,0,0,0,0,0,0,38,13,3,0,7,0,0,0,11,0,27,6,0,0,0,0,0,0,0,0,10,390,91,54,7,0,0,0,14,4,553,3,0,0,0,0,0,0,0,0,5,28,3,5,0,0,0,0,0,0,38,786,101,58,14,4,0,4,29,4,983,5178,289,58,72,28,10,52,166,30,5717,4493,163,48,0,3,8,55,62,19,4787,1209,519,336,0,0,3,14,15,8,2084,144,122,62,0,0,0,0,0,0,324,1034,148,92,3,4,5,15,27,12,1317,30,87,26,0,0,0,0,0,0,150,66,15,7,43,11,0,0,54,4,139,63,17,6,4,0,5,0,10,0,99
Lithgow (C),14870,122,0,0,0,0,0,3,6,0,125,158,0,0,0,0,0,7,7,0,168,76,16,0,0,0,0,3,3,0,91,63,8,6,0,0,0,0,0,0,81,38,0,0,0,0,0,4,4,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,185,25,9,0,0,0,4,3,0,224,6,0,0,0,0,0,0,0,0,8,20,3,0,0,0,0,0,0,0,20,488,31,9,3,0,0,16,19,0,547,2854,110,6,13,0,0,147,155,30,3155,1963,32,3,0,0,0,104,114,26,2133,586,205,59,0,0,0,13,8,4,862,232,78,25,0,0,0,0,0,0,333,318,20,17,0,0,0,14,15,5,381,12,12,8,0,0,0,0,0,0,28,34,0,4,6,3,0,3,12,0,55,35,3,3,0,0,0,6,6,0,44
Liverpool (C),14900,147,4,3,0,0,0,0,0,0,162,259,19,5,0,0,0,0,0,0,280,228,32,51,0,0,0,0,0,3,312,248,68,55,0,0,0,0,0,0,368,46,9,4,0,0,0,0,0,0,67,14,5,8,0,0,0,0,0,0,28,23,5,5,0,0,0,0,0,0,36,4,0,3,0,0,0,0,0,0,8,568,117,124,0,0,0,0,0,10,822,10,4,0,0,0,0,0,0,0,12,33,4,6,0,0,0,0,0,0,47,1019,148,146,0,0,0,3,3,11,1325,12580,718,638,13,0,0,9,26,31,13989,19968,1986,1196,0,0,3,25,29,50,23233,5247,1701,3573,0,0,0,27,31,34,10580,1578,896,1266,0,0,0,0,0,22,3762,1582,236,308,0,0,0,3,5,21,2144,83,90,132,0,0,0,0,0,13,323,700,91,85,8,0,0,0,11,15,904,196,23,53,3,0,0,0,8,13,288
