lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Lockhart River (S),34570,0,0,0,0,0,0,0,0,0,4,3,0,0,3,3,0,0,0,0,8,3,0,9,0,0,0,0,12,0,29,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,0,3,3,5,27,9,29,10,17,8,0,5,13,7,101
Lockyer Valley (R),34580,67,101,43,95,56,16,13,25,8,422,173,135,104,260,164,54,26,79,10,1006,388,151,1437,520,377,205,399,473,43,3998,16,8,29,28,50,56,27,76,3,292,35,17,24,69,56,48,48,64,4,366,13,7,7,6,13,5,12,42,4,112,59,23,54,53,45,43,60,105,37,472,1033,1671,1792,1173,922,479,610,1069,126,8874
Logan (C),34590,633,890,507,648,642,251,188,216,52,4021,1268,1264,934,2393,2024,753,447,572,102,9749,2865,1517,12576,4272,4009,2112,3419,3771,448,34984,122,76,187,277,384,342,198,363,17,1976,265,185,264,615,563,347,377,396,48,3052,79,166,142,100,166,73,113,130,23,979,201,205,409,323,304,237,397,444,321,2844,7887,15471,15919,10234,10485,5005,5589,6499,1246,78344
Woorabinda (S),37550,0,0,0,3,0,0,0,0,0,6,4,0,0,3,0,0,0,0,0,9,0,0,6,8,7,3,0,0,4,30,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,4,0,0,0,6,0,18,16,15,6,25,11,5,0,6,4,102
Winton (S),37400,4,0,3,0,0,0,0,0,0,8,5,0,0,7,6,3,0,0,0,28,29,0,45,18,13,4,9,18,0,135,3,0,0,0,3,0,3,3,0,14,3,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,0,3,0,12,79,39,52,35,19,8,17,24,5,279
Campbelltown (C) (SA),40910,169,279,89,157,151,67,26,52,14,1005,248,284,156,283,299,122,45,72,18,1522,390,181,1492,478,456,276,168,313,49,3811,14,17,16,40,56,36,5,24,3,221,52,42,35,74,111,57,17,25,0,426,30,67,25,25,37,13,12,19,0,226,37,49,50,35,55,37,22,44,36,369,1892,5346,2215,1738,1954,956,429,823,220,15566
Ceduna (DC),41010,12,14,0,18,3,6,0,0,0,53,14,9,3,33,15,3,0,3,0,72,59,20,99,46,32,16,28,34,10,342,3,0,3,6,3,8,0,0,0,30,3,3,0,7,3,3,0,0,4,30,0,0,3,3,3,0,0,0,0,11,17,10,8,13,0,0,7,12,0,60,130,181,112,147,72,34,36,63,18,796
Wujal Wujal (S),37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,5,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,11,5,0,4,4,0,35
Yarrabah (S),37600,6,0,0,6,0,0,0,0,0,8,6,7,0,6,10,0,0,3,0,28,3,6,18,26,13,0,3,9,3,90,0,3,3,3,4,0,0,4,0,17,0,3,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,0,3,8,3,0,0,8,4,30,19,50,30,61,31,3,3,20,9,228
No usual address (Qld),39499,13,22,11,8,3,5,6,14,3,93,15,29,13,42,20,7,8,41,0,171,49,38,242,68,52,28,72,132,14,696,0,0,7,7,0,0,0,10,0,30,6,7,4,7,3,7,5,13,0,43,3,3,0,4,3,0,5,15,5,39,3,13,17,15,4,4,11,25,22,105,163,407,308,245,129,83,129,441,58,1957
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
Charles Sturt (C),41060,333,673,223,402,362,139,64,79,31,2304,559,564,382,711,628,236,101,154,48,3389,1061,496,3707,1279,1208,666,616,807,126,9976,45,38,47,102,143,99,29,89,8,610,124,86,83,222,253,118,59,81,23,1057,47,105,44,53,75,35,30,52,14,451,81,142,115,136,117,96,71,119,89,966,4329,10402,5177,4085,4376,1984,1186,1848,468,33854
Kangaroo Island (DC),42750,26,17,4,10,11,7,3,3,0,86,22,11,10,32,13,13,0,5,0,112,101,12,132,69,35,27,18,78,4,487,11,0,3,4,13,10,5,8,0,60,15,3,9,3,8,3,0,7,0,44,6,0,0,8,0,3,0,4,0,19,17,4,5,5,7,8,8,11,5,67,281,229,179,176,110,77,37,137,14,1253
Adelaide (C),40070,83,108,31,54,41,33,3,23,3,375,106,98,59,100,79,33,3,27,3,507,122,66,229,112,114,59,23,52,9,797,9,10,7,15,18,10,0,6,0,73,17,29,8,33,36,23,4,4,4,159,9,25,0,6,8,9,3,5,0,64,20,31,14,11,12,21,0,12,15,139,1078,3291,522,675,768,403,75,259,94,7164
Adelaide Hills (DC),40120,199,382,103,162,157,50,23,37,6,1114,222,259,125,238,197,64,16,36,10,1180,508,212,1377,395,377,199,201,304,42,3615,24,20,13,39,44,30,9,26,3,199,46,50,50,88,87,36,18,27,8,403,23,29,15,12,17,10,0,11,3,113,51,39,32,31,50,31,13,39,17,304,2297,5258,1923,1364,1470,593,321,577,157,13961
Alexandrina (DC),40220,89,165,31,100,69,25,14,20,9,521,97,110,56,168,106,37,25,40,4,633,339,100,954,405,265,186,194,258,33,2739,20,3,22,29,33,29,16,27,0,179,35,18,24,69,65,39,29,29,10,305,13,9,15,5,10,8,4,11,3,80,39,27,36,44,33,25,21,25,21,274,890,1384,1192,955,712,395,303,475,87,6389
Anangu Pitjantjatjara (AC),40250,0,6,0,4,0,0,0,0,0,9,5,6,0,8,4,0,0,0,0,21,6,13,12,28,3,3,3,5,4,74,0,0,3,4,0,0,0,0,0,10,3,5,0,3,0,0,0,6,0,20,0,0,0,0,0,0,0,0,0,3,3,10,0,13,0,0,0,3,3,40,45,117,13,70,11,5,8,19,5,295
Barossa (DC),40310,89,163,38,87,82,36,9,31,3,538,145,106,63,163,105,56,17,52,10,717,360,126,1018,307,289,153,182,402,31,2864,18,9,23,25,39,20,18,41,0,193,51,22,25,58,56,27,29,66,8,342,16,8,8,3,9,5,3,16,3,79,43,29,34,29,26,20,27,86,10,314,1089,1582,1278,791,752,380,300,769,71,7009
Barunga West (DC),40430,6,15,0,9,5,3,4,0,0,41,11,8,3,11,10,0,0,3,0,42,51,9,62,24,14,4,15,19,4,214,0,0,0,0,0,0,0,3,3,8,4,0,0,3,3,0,4,3,0,23,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,0,10,8,0,30,99,102,68,60,33,13,38,42,7,464
Berri and Barmera (DC),40520,27,36,3,42,18,3,4,8,0,139,42,44,7,79,38,18,6,15,3,254,119,48,352,127,96,69,78,137,5,1033,7,0,5,9,14,8,8,25,0,90,12,12,6,30,13,14,4,18,0,115,7,8,3,5,3,5,0,10,0,30,15,11,12,21,13,9,19,27,6,140,310,553,413,362,228,133,121,265,31,2420
Burnside (C),40700,187,398,57,97,174,69,12,24,9,1032,198,238,87,118,176,78,18,30,5,953,267,108,523,240,183,134,48,110,24,1647,14,9,9,14,36,21,3,13,0,122,49,39,27,52,79,52,3,12,0,307,30,65,11,10,30,13,3,9,11,186,38,61,21,20,28,18,0,13,32,235,2694,7502,1008,1086,1633,786,147,380,192,15434
Cleve (DC),41190,14,5,3,5,0,0,0,3,0,30,8,3,3,15,13,0,0,0,0,47,55,4,61,21,14,5,22,32,7,220,5,0,0,0,0,0,0,0,0,7,9,3,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,5,0,27,132,71,79,50,43,12,22,46,6,454
Coober Pedy (DC),41330,3,13,0,10,5,0,0,0,0,36,13,4,7,14,8,0,3,3,0,54,26,3,38,15,16,10,11,13,3,141,0,0,0,0,0,0,0,0,0,10,3,0,0,5,3,0,0,0,0,13,0,0,0,0,0,0,3,0,0,10,0,0,3,7,4,0,3,0,11,23,57,75,49,80,53,23,22,29,17,405
Copper Coast (DC),41560,17,48,7,37,20,8,4,3,0,159,36,38,20,93,36,23,8,7,0,256,122,65,464,213,119,98,95,147,26,1344,8,7,11,18,17,13,7,19,3,105,19,8,14,52,13,11,9,30,0,143,0,0,0,3,4,0,0,8,3,21,18,6,19,18,16,25,20,27,18,172,297,599,544,476,246,184,146,254,56,2794
Elliston (DC),41750,6,4,0,8,0,0,0,0,0,17,8,3,0,4,3,0,0,0,0,19,35,3,22,10,10,3,0,17,0,90,8,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,0,8,3,16,73,40,25,25,26,3,5,26,6,242
Grant (DC),42250,46,41,3,17,12,0,4,5,0,140,36,33,13,47,35,5,0,12,4,181,159,49,375,106,87,56,88,117,16,1059,10,0,3,11,22,10,13,22,0,95,24,7,11,14,15,14,9,23,0,115,9,3,0,0,0,0,0,0,0,17,22,7,10,16,14,11,17,23,3,113,382,428,429,241,234,98,132,201,28,2177
Karoonda East Murray (DC),43080,0,8,0,0,0,0,0,0,0,15,6,0,0,8,3,0,3,0,0,23,32,3,23,13,6,0,9,13,0,101,3,0,0,3,3,4,0,3,0,17,3,3,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,5,6,0,6,4,0,0,0,0,0,15,69,43,26,31,14,6,9,26,0,223
Loxton Waikerie (DC),43790,54,54,13,36,19,8,0,9,3,197,76,32,18,80,42,12,10,20,4,289,195,41,351,173,130,76,78,161,9,1222,15,4,10,9,20,21,3,22,0,101,18,4,8,33,15,13,9,15,0,116,4,6,3,0,3,0,0,6,0,31,24,9,12,11,13,13,12,34,15,134,484,536,438,387,283,143,121,287,39,2723
Mallala (DC),43920,25,19,13,28,25,3,11,4,0,120,42,26,18,64,28,15,12,16,3,220,116,43,415,142,104,61,116,116,23,1136,11,0,9,13,13,12,9,11,0,76,9,8,12,24,19,10,12,15,3,105,3,3,0,3,3,0,4,5,0,24,11,0,16,9,7,9,25,19,3,108,276,294,492,307,227,111,174,209,38,2128
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6
Flinders Ranges (DC),41830,12,7,0,10,5,0,0,0,0,32,3,0,0,12,7,0,0,0,0,25,22,10,61,28,12,4,24,20,0,190,0,0,0,6,0,0,0,3,0,13,0,0,0,3,4,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,5,5,0,0,6,0,3,3,3,25,55,108,66,69,26,10,32,34,3,417
Franklin Harbour (DC),41960,4,3,0,0,0,0,0,0,0,18,7,4,0,15,3,0,3,0,0,26,36,5,40,23,13,4,11,15,3,156,3,0,0,0,4,0,4,7,0,16,10,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,8,70,43,48,46,28,9,21,24,3,287
Gawler (T),42030,66,126,36,89,69,14,8,16,4,425,115,107,63,210,113,61,21,25,8,724,215,122,917,422,301,179,180,251,48,2636,19,7,19,33,38,37,12,40,3,204,18,14,17,57,46,27,17,29,4,220,8,16,7,6,12,6,4,4,0,67,7,17,24,29,22,19,22,34,14,183,637,1341,1136,971,705,375,272,435,89,5968
Goyder (DC),42110,27,16,5,10,10,0,0,5,0,73,16,7,6,24,15,5,0,3,0,82,89,8,116,48,20,16,37,60,9,407,13,0,0,0,8,0,3,7,0,36,8,0,0,6,0,4,3,9,0,34,3,4,0,0,0,0,3,4,0,14,18,4,8,4,8,4,3,12,9,57,219,141,146,103,79,34,55,113,13,895
Holdfast Bay (C),42600,190,278,61,139,154,49,9,28,9,916,212,214,118,238,219,89,21,30,9,1157,391,155,987,415,366,213,105,189,38,2858,21,13,14,34,36,37,3,22,3,183,58,44,27,76,82,61,5,24,9,381,21,45,9,13,28,7,3,4,7,135,40,52,17,36,48,29,4,12,14,251,1910,4372,1399,1389,1467,701,197,416,142,11991
Kimba (DC),43220,3,4,3,3,3,3,0,0,0,22,17,3,0,4,4,0,0,3,0,33,37,6,29,6,6,5,10,15,3,122,0,0,0,3,0,0,3,0,0,5,3,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,0,0,0,15,86,32,31,24,26,23,14,19,3,261
Kingston (DC) (SA),43360,16,14,0,10,0,3,0,3,0,45,14,4,4,14,3,3,0,3,0,47,51,6,70,25,19,23,9,42,0,244,4,0,3,0,0,5,0,7,0,26,12,0,3,9,3,7,0,6,0,37,0,3,0,0,0,0,0,4,0,8,9,0,5,7,0,3,0,14,0,39,139,89,88,67,40,49,18,86,3,581
Light (RegC),43650,64,78,27,50,46,15,0,10,3,298,89,72,36,136,67,21,11,26,7,472,260,84,710,267,209,113,145,213,25,2015,11,9,12,11,31,17,3,33,0,135,29,9,19,36,38,14,15,21,0,186,7,3,3,3,5,3,8,7,0,37,39,18,23,18,16,17,20,18,12,177,677,908,862,601,490,226,205,366,63,4402
Lower Eyre Peninsula (DC),43710,21,28,8,21,17,7,0,3,3,106,26,20,8,31,21,5,5,8,3,136,103,31,217,64,62,40,43,80,4,646,3,3,0,3,12,0,0,3,0,28,18,12,6,14,11,0,4,9,0,85,3,0,3,3,3,0,4,4,0,20,16,6,10,9,9,4,4,10,9,77,254,304,263,175,170,69,73,134,22,1454
Marion (C),44060,290,583,183,390,303,123,50,82,33,2040,431,486,362,672,531,204,61,101,37,2883,768,471,3223,1302,1044,610,404,636,111,8568,40,35,42,87,122,105,26,70,5,527,72,63,64,189,210,105,40,58,10,807,36,79,41,57,47,14,13,29,10,322,38,92,99,103,106,70,37,89,67,693,3100,8718,4519,3999,3584,1762,785,1492,368,28329
Mid Murray (DC),44210,25,29,4,29,9,3,3,7,0,103,28,16,15,39,28,14,5,13,3,159,120,32,307,108,67,43,81,131,7,893,8,0,8,8,5,12,10,13,0,65,19,3,5,12,8,10,7,17,3,81,0,0,0,3,0,0,0,10,0,14,20,6,11,5,3,5,15,26,9,104,292,248,363,224,143,94,120,241,26,1757
Mitcham (C),44340,266,564,118,249,250,81,21,41,26,1612,340,405,212,351,336,120,22,61,19,1868,541,271,1549,563,548,308,172,302,44,4290,27,25,27,58,74,46,7,29,3,291,70,70,53,79,141,53,12,28,3,513,30,81,16,30,28,12,5,10,5,220,47,76,35,48,48,27,20,32,37,365,3362,9878,2416,2249,2581,1095,319,792,243,22927
Mount Barker (DC),44550,137,236,71,143,124,52,12,35,14,829,183,213,129,270,183,83,20,43,14,1137,451,199,1465,523,449,270,243,342,47,3992,23,13,30,27,62,68,15,56,0,296,43,40,41,97,82,46,32,39,5,424,14,22,15,9,20,10,4,12,3,109,49,33,49,43,35,36,32,50,21,348,1450,2959,1937,1397,1253,687,382,653,118,10845
Mount Gambier (C),44620,53,112,18,72,35,26,4,17,3,339,96,100,41,153,94,29,13,13,3,541,285,118,1154,529,337,268,255,298,42,3287,15,18,17,33,55,61,21,54,0,268,30,15,23,75,36,34,23,34,3,268,8,10,8,17,9,3,9,13,0,79,17,22,12,35,17,20,35,45,14,231,676,1523,1296,1038,666,467,377,500,75,6622
Mount Remarkable (DC),44830,22,22,0,15,10,0,0,0,0,72,20,12,3,23,10,0,3,7,0,74,80,13,71,30,23,8,29,38,0,289,4,0,4,0,0,0,0,3,0,12,6,3,0,4,10,0,0,3,0,29,0,0,0,0,0,0,3,0,0,10,6,0,5,5,5,0,0,0,0,28,179,157,94,86,65,11,39,55,4,676
Murray Bridge (RC),45040,45,71,14,51,29,7,10,19,4,247,58,55,33,135,74,28,10,44,9,448,217,77,648,386,210,163,162,314,35,2206,12,9,11,24,36,39,22,56,0,206,36,18,17,61,36,20,19,39,3,228,3,11,7,5,0,3,6,38,3,80,19,12,32,25,22,24,22,83,20,256,481,682,793,764,469,306,258,744,75,4569
Orroroo/Carrieton (DC),45400,7,7,0,9,0,5,0,0,0,25,7,3,0,9,3,0,0,0,0,16,25,6,22,19,4,4,3,5,0,93,3,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,15,58,50,31,36,18,10,7,15,3,225
Boyup Brook (S),50770,19,7,0,5,7,3,0,0,0,40,17,3,0,3,0,0,0,0,0,25,41,3,42,14,10,3,18,18,0,156,3,0,0,3,3,0,0,0,0,15,3,0,0,0,3,5,0,4,0,17,0,0,0,0,0,0,0,0,0,9,3,0,3,3,3,3,3,7,3,26,123,63,55,33,38,19,24,41,4,389
Bridgetown-Greenbushes (S),50840,20,26,11,24,4,6,0,13,0,107,11,19,5,20,5,14,4,6,0,83,46,19,220,63,34,24,65,50,6,524,0,0,3,3,7,6,3,5,0,36,8,3,8,7,7,3,3,12,0,51,3,3,3,0,0,0,3,3,0,20,17,0,13,8,8,8,14,9,3,77,170,252,273,145,95,69,97,105,13,1214
Naracoorte and Lucindale (DC),45090,61,37,3,19,18,9,3,18,0,169,65,28,9,28,32,16,4,21,0,212,179,33,287,90,78,81,63,141,12,967,13,3,7,9,19,16,0,26,3,92,34,3,8,18,16,10,5,25,0,122,9,6,3,6,5,3,0,4,0,35,20,9,14,7,9,18,11,42,10,130,481,406,362,216,221,157,91,323,27,2285
Northern Areas (DC),45120,26,28,3,13,12,3,0,0,0,86,15,14,8,36,4,3,3,3,0,97,107,15,159,49,40,28,37,62,3,499,6,0,4,3,4,6,4,8,0,41,13,0,9,5,3,6,4,3,0,52,3,0,0,0,4,0,0,0,0,6,16,0,3,0,3,0,8,5,0,43,252,259,189,131,93,50,60,93,9,1138
Norwood Payneham St Peters (C),45290,146,269,66,104,120,54,10,26,11,806,171,191,104,177,150,74,23,31,7,932,264,131,686,236,262,151,62,132,27,1948,13,8,7,27,41,18,4,22,0,140,44,26,19,39,68,34,6,16,0,254,19,46,10,17,23,8,4,8,8,149,23,44,20,17,36,23,3,26,25,211,1840,5705,1165,1151,1457,624,176,484,175,12775
Onkaparinga (C),45340,481,923,277,743,502,179,69,112,37,3330,756,847,561,1467,941,344,119,217,55,5306,1782,941,7561,3083,2426,1410,1199,1676,240,20324,112,50,131,211,286,290,85,227,7,1405,170,126,196,451,334,207,107,191,26,1816,51,77,72,74,71,39,36,69,15,511,106,131,191,206,137,160,99,178,127,1323,5116,10902,9489,7496,5971,3134,1847,3032,635,47633
Whyalla (C),48540,30,63,20,63,17,7,12,5,3,214,60,74,63,131,70,16,26,10,3,454,161,78,998,310,210,114,384,168,59,2483,11,11,16,25,38,24,25,36,4,193,10,11,18,49,23,21,32,21,3,184,3,7,3,3,3,0,5,3,3,36,4,9,23,29,5,18,41,39,16,182,418,1135,1181,702,419,223,546,292,109,5021
Brookton (S),50910,3,5,0,0,0,0,0,0,0,5,4,3,0,3,4,0,0,0,0,18,19,0,19,14,8,3,3,6,3,74,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,10,0,0,3,0,0,3,0,0,0,11,52,33,22,23,18,7,6,17,11,184
Broome (S),50980,73,98,28,57,46,22,7,19,0,353,78,77,57,147,97,28,12,22,6,515,204,132,636,230,190,115,109,138,33,1768,11,23,12,28,29,22,6,12,3,152,31,28,15,38,39,22,10,19,4,207,9,6,3,4,4,9,0,8,3,45,22,21,25,36,23,17,15,33,23,210,697,1390,835,719,618,286,173,314,93,5133
Busselton (C),51260,138,197,82,99,106,68,24,50,3,777,155,111,116,196,129,83,26,63,9,889,451,136,1817,528,353,250,358,404,61,4361,30,24,26,50,46,70,18,55,0,311,70,23,34,92,82,50,30,47,7,426,17,19,19,14,23,8,9,6,0,109,43,37,57,40,50,42,24,50,26,374,1376,2242,2271,1244,1035,695,525,805,124,10319
Cambridge (T),51310,118,253,56,64,112,38,11,20,4,684,104,112,67,83,97,58,14,22,6,559,158,70,354,106,102,55,36,56,17,952,5,3,7,7,19,9,3,6,0,54,24,17,17,17,37,22,0,4,6,144,19,45,3,14,19,10,0,3,0,113,16,58,14,21,32,8,3,11,12,168,1961,5126,698,590,1046,428,113,201,136,10299
Canning (C),51330,279,520,297,257,280,124,103,111,24,1997,322,326,416,560,388,212,136,233,36,2631,551,287,2496,835,614,386,508,553,103,6330,31,17,54,74,79,79,31,67,3,440,72,52,81,144,167,67,56,56,11,715,43,99,67,42,55,27,31,43,3,412,39,87,86,96,78,55,58,102,81,684,3175,9466,4450,3208,3391,1758,1362,2024,454,29288
Peterborough (DC),45540,0,4,0,6,3,0,0,0,0,13,6,3,0,8,0,0,0,0,0,19,26,4,17,18,12,3,9,14,0,101,0,3,0,0,0,3,3,5,0,22,5,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,8,21,46,38,26,46,22,9,11,33,9,235
Playford (C),45680,135,248,101,234,138,47,20,38,8,956,290,260,164,697,306,134,66,100,22,2044,658,379,2930,1529,957,635,731,934,151,8917,55,29,60,106,136,161,77,200,13,832,64,38,71,185,125,77,65,86,13,717,24,20,30,33,32,17,25,35,3,209,57,47,91,97,64,74,95,118,85,724,1592,2846,3579,3270,2052,1266,1146,1655,310,17720
Port Adelaide Enfield (C),45890,324,538,237,425,264,123,70,104,27,2111,468,555,460,832,586,206,138,251,43,3540,816,543,3486,1514,1214,683,685,865,134,9950,57,34,81,104,151,137,59,118,17,752,101,86,88,244,228,82,74,116,12,1033,39,91,61,68,62,35,29,68,12,458,61,107,106,134,84,78,82,147,108,907,3601,9974,5266,4759,4100,2022,1518,2583,503,34326
Port Augusta (C),46090,19,45,3,45,15,3,3,3,3,143,38,44,23,96,37,7,5,3,5,262,111,72,480,278,151,69,168,127,24,1474,13,13,13,29,22,24,7,14,3,132,16,4,5,44,19,19,10,16,0,133,6,4,7,4,3,0,4,5,3,30,11,16,16,25,6,4,25,17,17,128,273,719,552,587,307,129,230,202,60,3059
Port Lincoln (C),46300,33,58,6,39,22,10,0,4,4,170,39,53,22,102,48,25,11,11,3,309,174,100,611,244,161,117,88,172,15,1682,11,4,15,22,20,20,9,28,0,127,15,22,10,23,24,15,12,32,0,152,8,9,8,6,13,0,6,10,0,65,17,19,27,21,18,23,7,33,17,184,390,878,714,523,375,225,146,317,48,3627
Port Pirie City and Dists (M),46450,28,66,12,60,17,6,8,4,5,204,47,60,24,123,48,13,11,5,5,343,179,77,625,322,156,99,198,164,25,1849,12,4,10,26,30,20,15,25,0,144,17,5,3,43,21,18,12,15,3,131,0,3,8,3,4,7,4,8,0,37,10,24,15,20,13,21,20,22,10,149,385,840,716,655,326,202,269,257,58,3697
Armadale (C),50210,179,334,220,214,244,83,100,79,24,1463,299,411,349,544,443,210,142,155,28,2579,703,376,3623,1164,913,492,860,668,109,8911,44,24,55,97,123,97,56,87,7,586,71,53,85,181,181,81,80,93,11,839,17,54,33,40,48,20,23,33,3,279,41,64,83,106,95,61,89,96,53,688,2233,5214,4885,2970,2904,1390,1601,1443,310,22960
Ashburton (S),50250,38,42,72,23,18,4,31,23,3,242,49,72,129,33,37,3,51,61,6,445,131,58,2146,65,121,10,543,340,41,3457,6,5,18,13,9,10,12,28,0,101,19,5,33,3,19,0,35,30,3,147,0,7,6,3,3,0,12,20,0,49,8,3,15,9,9,3,57,30,11,135,412,785,2551,193,291,45,799,591,84,5753
Augusta-Margaret River (S),50280,80,64,30,49,50,33,15,29,3,358,62,48,48,77,50,27,11,36,3,368,238,61,728,165,93,101,98,216,21,1725,12,3,13,24,14,18,13,29,0,127,21,8,25,34,28,17,5,24,7,167,5,4,9,3,3,6,4,9,0,52,32,7,21,23,22,27,10,21,27,196,730,1022,949,516,369,319,184,512,70,4675
Bassendean (T),50350,46,91,55,63,47,23,15,16,7,359,68,89,79,106,87,38,11,18,0,501,138,78,605,192,185,70,104,98,25,1496,4,5,3,18,15,19,11,15,0,86,12,15,17,32,40,4,12,15,0,143,8,10,5,5,9,3,3,3,0,59,12,10,14,13,22,7,19,15,11,117,601,1568,863,580,658,234,201,234,62,4993
Bayswater (C),50420,233,371,232,228,217,99,64,75,11,1528,304,332,377,420,360,164,98,157,22,2241,474,290,2405,673,618,349,394,451,99,5751,28,15,31,62,65,54,21,35,11,315,64,50,66,129,151,60,42,63,13,634,39,58,49,32,47,25,20,32,13,317,45,75,70,83,73,50,58,69,51,570,2719,7182,3758,2434,2678,1321,888,1267,334,22583
Belmont (C),50490,112,155,121,95,121,57,50,46,11,771,160,158,218,264,228,92,79,110,17,1334,260,154,1541,460,344,195,303,313,48,3621,18,6,23,35,32,18,9,34,3,180,42,31,46,54,74,36,33,46,3,367,21,30,31,19,23,11,18,11,9,174,31,29,38,57,52,21,30,46,36,346,1314,3228,2403,1469,1462,697,693,865,189,12320
Prospect (C),46510,83,161,45,75,77,23,12,15,7,496,120,119,70,124,108,47,22,40,15,661,201,93,537,162,181,125,68,93,16,1479,8,9,7,14,25,9,6,9,3,89,16,23,15,26,51,16,10,13,3,178,16,27,9,11,17,6,3,3,3,94,11,28,19,8,17,8,9,10,12,126,1141,3047,846,682,872,413,196,350,96,7650
