lga_name_2016,lga_code_2016,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
Lockhart (A),14950,12,0,0,0,0,10,3,7,0,0,16,4,4,5,0,0,14,0,0,0,0,0,0,14,13,12,0,3,38,0,0,0,0,14,13,13,0,3,39,11,11,0,0,0,0,0,0,11,15,13,13,0,3,54,339,9,0,0,0,349,75,122,66,34,304,55,18,10,0,0,83,8,0,0,0,0,10,400,108,143,73,36,752,4,0,4,6,400,108,140,73,41,752,302,302,12,3,0,0,0,19,302,411,111,140,73,41,1080
Maitland (C),15050,296,26,3,0,0,321,187,245,137,99,665,136,144,90,39,30,443,22,6,3,0,0,34,454,362,341,175,131,1463,18,21,33,75,454,362,353,197,162,1538,203,203,64,17,3,0,0,88,203,520,382,362,201,169,1835,6620,226,25,3,0,6875,2861,3674,1545,554,8628,1384,1047,455,147,52,3081,225,29,3,0,0,258,8229,4160,4149,1689,610,18844,108,129,142,381,8229,4160,4260,1820,752,19223,5743,5743,493,64,12,4,0,576,5743,8725,4222,4271,1820,752,25540
Mid-Coast (A),15240,409,32,7,4,0,451,214,224,132,115,681,196,249,160,87,44,739,23,15,0,0,0,42,628,508,386,222,159,1909,15,25,41,78,628,508,403,248,203,1991,341,341,101,9,5,0,0,116,341,730,519,408,250,203,2449,11700,293,26,3,0,12018,2408,2541,1109,454,6501,1642,1053,390,141,55,3278,242,28,3,0,0,272,13579,3775,2954,1254,506,22078,118,109,110,335,13579,3775,3078,1360,619,22421,10459,10459,816,74,10,4,0,905,10459,14399,3848,3087,1366,621,33781
Mid-Western Regional (A),15270,107,4,0,0,0,113,63,98,40,33,227,23,48,24,10,13,121,7,3,0,0,0,10,144,120,124,47,44,475,10,3,4,13,144,120,127,53,45,491,86,86,19,3,3,0,0,20,86,155,123,133,53,52,599,2307,66,3,3,0,2377,759,855,434,152,2208,411,227,94,32,15,771,55,13,3,0,0,72,2769,1071,951,473,169,5428,24,19,30,75,2769,1071,977,494,194,5497,2448,2448,201,23,4,5,0,225,2448,2962,1095,979,496,194,8168
Moree Plains (A),15300,108,10,0,0,0,121,78,76,35,42,227,97,94,73,36,32,325,23,8,10,0,0,39,234,190,151,67,75,721,13,14,29,52,234,190,164,80,98,773,216,216,35,0,0,0,0,35,216,270,190,164,80,98,1020,976,30,4,3,0,1011,344,351,198,58,949,143,97,29,3,3,275,25,9,0,0,0,38,1149,477,383,203,61,2276,14,10,7,30,1149,477,398,218,71,2306,1121,1121,80,12,0,0,0,93,1121,1231,488,398,218,71,3522
Mosman (A),15350,15,0,0,0,0,15,0,0,3,4,9,5,0,0,0,0,7,0,0,0,0,0,0,20,3,0,3,4,28,0,0,0,0,20,3,0,3,4,28,11,11,3,0,0,0,0,8,11,18,6,0,3,4,40,2943,75,12,0,0,3026,1193,1508,629,136,3469,421,266,78,19,4,780,68,10,3,0,0,83,3434,1545,1599,645,139,7361,24,21,25,67,3434,1545,1623,664,165,7431,3233,3233,273,43,4,0,0,316,3233,3702,1582,1628,665,165,10986
Murray River (A),15520,44,0,0,0,0,43,15,18,10,13,49,14,9,6,9,0,39,4,0,0,0,0,7,60,29,22,16,13,132,0,0,3,3,60,29,22,16,13,137,37,37,5,0,0,0,0,5,37,65,29,22,16,13,173,1527,31,7,0,0,1554,327,422,231,68,1059,149,97,27,0,3,285,29,3,0,0,0,26,1698,459,451,234,72,2927,11,6,6,28,1698,459,464,240,83,2950,1259,1259,74,5,3,0,0,86,1259,1774,472,468,240,81,4293
Murrumbidgee (A),15560,16,3,0,0,0,25,11,13,14,10,44,11,9,4,0,0,27,5,0,0,0,0,5,36,19,14,14,10,100,0,0,0,0,36,19,14,14,10,100,28,28,11,0,0,0,0,11,28,46,19,14,14,10,134,352,11,0,0,0,367,132,120,74,36,356,51,26,20,10,8,112,5,3,0,0,0,9,414,169,141,79,37,840,0,0,3,10,414,169,140,83,39,843,358,358,22,4,0,0,0,24,358,428,173,140,83,39,1227
Muswellbrook (A),15650,84,8,3,0,0,98,63,66,41,21,193,49,52,37,14,12,172,4,0,0,0,0,4,140,125,110,52,36,465,9,0,6,10,140,125,112,55,35,481,87,87,20,3,0,0,0,23,87,158,133,112,55,35,589,1338,38,3,0,0,1384,510,623,291,96,1524,261,197,73,28,14,572,30,4,0,0,0,38,1632,758,699,319,108,3512,12,12,20,47,1632,758,712,328,131,3563,1456,1456,139,15,7,0,0,156,1456,1775,770,717,328,131,5171
Nambucca (A),15700,86,5,0,0,0,93,26,37,42,30,138,51,61,41,31,18,204,20,7,0,0,0,22,156,100,79,74,43,454,7,4,13,24,156,100,81,83,58,481,87,87,28,3,0,0,0,34,87,188,100,83,83,58,594,2209,68,5,0,0,2285,496,509,246,94,1345,353,228,80,33,16,713,54,4,0,0,0,61,2616,797,602,282,111,4404,33,29,31,92,2616,797,636,305,140,4499,2368,2368,197,18,3,0,0,214,2368,2811,813,637,312,140,7083
Narrabri (A),15750,90,14,0,0,0,103,48,70,46,26,189,55,53,35,24,8,187,7,0,0,0,0,4,152,110,109,72,34,485,3,9,9,24,152,110,119,79,47,502,127,127,32,3,0,0,0,36,127,186,117,119,83,47,668,1180,28,4,0,0,1209,363,424,216,93,1093,172,100,46,11,8,331,26,0,0,0,0,32,1375,491,476,226,97,2667,15,14,15,43,1375,491,488,245,111,2707,1155,1155,85,8,0,0,0,93,1155,1463,495,485,245,111,3958
Narrandera (A),15800,24,3,0,0,0,31,18,28,8,11,64,22,20,14,12,6,73,0,0,0,0,0,6,57,39,42,22,12,169,7,0,6,9,57,39,47,19,16,180,61,61,10,0,0,0,0,10,61,62,43,47,19,16,248,548,17,0,0,0,566,165,179,106,36,489,93,43,18,5,0,160,15,0,0,0,0,17,655,218,196,110,36,1224,3,3,4,7,655,218,201,113,40,1231,624,624,37,5,0,0,0,43,624,693,223,201,116,40,1902
Narromine (A),15850,99,3,4,0,0,103,37,52,34,35,160,38,43,26,23,14,150,7,3,0,0,0,13,151,85,80,58,52,419,0,0,3,9,151,85,85,59,52,429,76,76,10,3,0,0,0,12,76,163,90,85,59,52,524,547,14,0,0,0,564,152,147,105,33,438,86,45,16,3,0,150,15,0,0,0,0,15,652,210,163,107,39,1175,9,3,3,10,652,210,174,110,42,1185,579,579,30,3,0,0,0,32,579,682,215,174,110,42,1796
Newcastle (C),15900,424,59,4,5,4,492,221,268,156,76,720,227,222,124,51,26,642,42,17,3,0,0,63,689,518,398,207,99,1923,15,16,40,79,689,518,413,225,142,1997,533,533,181,64,28,14,10,294,533,872,583,446,239,148,2823,13273,569,115,18,10,13991,5299,6535,2436,698,14966,3203,1950,699,188,56,6098,554,143,31,8,8,745,17032,7962,7371,2647,773,35789,177,191,229,594,17032,7962,7555,2841,1005,36389,16961,16961,2358,940,331,103,81,3808,16961,19390,8893,7882,2942,1084,57151
North Sydney (A),15950,36,5,0,0,0,39,14,10,0,0,26,6,0,0,0,0,11,3,0,0,0,0,0,43,23,16,0,0,82,0,0,0,0,43,23,16,0,0,78,34,34,23,0,0,0,0,20,34,68,21,16,0,0,141,8866,303,80,18,3,9269,2859,2323,538,104,5827,1076,530,85,19,3,1709,315,64,9,5,0,392,10251,3764,2497,578,112,17198,49,41,41,135,10251,3764,2546,620,157,17335,10596,10596,1452,451,74,22,3,1999,10596,11701,4213,2619,638,158,29924
Northern Beaches (A),15990,148,11,0,0,0,159,69,132,64,33,293,19,38,16,4,0,79,7,3,0,0,0,12,174,122,152,65,32,542,20,20,20,58,174,122,171,87,51,603,99,99,24,13,8,3,0,45,99,201,130,177,88,51,743,20962,1036,242,39,24,22309,9831,15623,6129,1567,33145,3514,2493,843,214,69,7123,565,120,22,5,6,715,25044,13486,16720,6386,1656,63295,452,548,867,1865,25044,13486,17175,6937,2525,65159,19036,19036,2189,584,143,57,20,2996,19036,27232,14069,17323,6994,2543,87197
Oberon (A),16100,17,0,0,0,0,18,4,11,7,7,26,9,3,3,0,0,18,0,0,0,0,0,0,26,10,15,6,4,68,0,0,0,0,26,10,15,6,4,66,8,8,4,0,0,0,0,4,8,31,10,15,6,4,86,568,11,0,0,0,582,151,193,94,31,466,89,58,21,3,4,168,7,0,0,0,0,7,663,218,211,95,36,1220,10,7,12,25,663,218,214,101,49,1246,501,501,39,3,0,0,0,41,501,702,220,214,101,49,1793
Orange (C),16150,128,13,0,0,0,140,89,120,84,43,337,110,88,67,36,26,326,10,0,3,0,0,15,245,196,189,120,74,821,10,7,14,27,245,196,192,128,87,850,155,155,56,9,0,3,0,69,155,304,200,196,135,87,1067,3522,95,9,0,4,3631,1279,1589,728,279,3873,733,463,190,55,22,1453,81,19,3,0,0,107,4336,1851,1790,783,305,9067,47,37,54,144,4336,1851,1841,821,360,9204,4065,4065,309,45,29,14,3,401,4065,4641,1899,1873,831,362,13670
Parkes (A),16200,95,8,0,0,0,101,53,61,46,36,198,65,51,31,19,13,177,7,0,0,0,0,13,169,118,98,61,47,491,3,3,9,14,169,118,99,70,57,510,103,103,19,3,0,3,0,20,103,186,120,99,70,57,634,1297,37,3,0,0,1335,399,444,265,116,1221,241,144,64,14,13,467,31,3,0,0,0,36,1569,579,509,276,121,3065,8,9,16,40,1569,579,525,287,141,3107,1471,1471,74,14,5,0,0,83,1471,1642,591,525,287,141,4666
Parramatta (C),16260,113,14,3,0,0,131,56,73,35,15,183,49,56,35,7,11,155,15,7,0,0,0,20,169,132,113,46,26,493,7,3,12,19,169,132,120,48,39,511,145,145,54,15,11,3,0,80,145,223,149,131,54,36,734,15447,1288,350,78,43,17205,11035,12250,4316,1468,29069,3488,2287,757,231,91,6853,785,216,44,30,13,1091,19721,14825,13397,4658,1613,54211,449,700,1198,2350,19721,14825,13850,5353,2816,56563,15074,15074,2164,731,319,123,104,3448,15074,21881,15563,14171,5478,2914,75089
Carrathool (A),11600,14,0,0,0,0,14,17,10,8,3,39,10,8,3,0,0,23,0,0,0,0,0,3,27,24,16,5,4,76,0,0,0,5,27,24,16,12,9,81,28,28,5,0,0,0,0,5,28,29,24,16,12,9,110,267,5,0,0,0,279,83,88,42,27,240,39,15,9,3,0,65,10,0,0,0,0,8,316,104,95,44,27,591,0,0,3,4,316,104,101,49,30,603,241,241,27,3,0,0,0,31,241,343,113,102,49,32,871
Central Coast (C) (NSW),11650,823,92,19,4,0,932,547,720,418,295,1981,434,543,337,151,79,1544,69,19,8,0,0,96,1323,1206,1082,570,373,4557,75,75,164,315,1323,1206,1152,649,539,4872,669,669,227,36,16,4,3,283,669,1556,1234,1165,656,544,5823,29179,1206,148,14,6,30553,10649,14095,6073,2138,32956,6563,4528,1951,579,204,13826,865,171,31,6,3,1067,36599,16552,16229,6677,2347,78406,619,605,875,2106,36599,16552,16849,7283,3223,80512,31290,31290,2870,393,107,42,15,3427,31290,39469,16941,16958,7329,3240,115223
Central Darling (A),11700,27,0,0,3,0,27,24,16,5,8,53,21,23,18,8,6,80,3,0,0,0,0,3,51,47,35,12,16,167,0,3,3,6,51,47,35,16,27,175,54,54,7,3,0,0,0,11,54,56,49,35,16,27,232,86,0,0,0,0,91,25,24,7,13,75,8,3,0,0,0,17,0,0,0,0,0,0,96,30,27,10,15,182,0,0,0,0,96,30,27,10,17,185,179,179,7,0,0,0,0,6,179,101,31,27,10,17,368
Cessnock (C),11720,256,24,4,0,0,283,178,198,135,80,590,110,137,113,50,24,433,13,3,0,0,0,18,383,338,313,184,108,1328,9,28,36,74,383,338,320,216,142,1402,195,195,60,3,3,3,0,73,195,444,343,319,213,142,1662,4536,165,16,7,0,4717,1771,2061,921,362,5112,1040,757,364,108,53,2313,148,30,3,0,0,186,5724,2727,2437,1033,406,12325,90,103,96,292,5724,2727,2527,1139,508,12617,4632,4632,404,36,10,3,0,453,4632,6125,2763,2534,1136,504,17700
Burwood (A),11300,11,0,3,0,0,16,9,3,3,4,19,7,0,5,0,0,10,0,3,0,0,0,6,18,11,8,4,5,48,0,0,0,0,18,11,8,4,7,49,16,16,3,3,0,0,3,12,16,20,15,12,4,12,75,1987,327,203,71,44,2626,1265,1552,617,265,3691,562,384,149,43,24,1169,156,64,30,17,8,278,2706,2035,1931,751,339,7764,100,125,216,439,2706,2035,2036,876,555,8205,2382,2382,575,363,199,84,71,1288,2382,3280,2400,2235,957,622,11880
Byron (A),11350,40,5,4,5,0,47,21,33,16,10,83,21,26,16,0,3,65,4,0,0,0,0,7,65,58,50,25,12,206,3,3,10,14,65,58,55,26,19,217,42,42,9,11,7,3,0,32,42,75,70,61,28,19,294,2612,158,36,8,3,2808,955,1192,428,113,2684,715,465,144,42,10,1380,61,19,6,0,0,83,3387,1594,1377,476,124,6959,49,48,61,161,3387,1594,1425,528,182,7121,3092,3092,582,181,64,35,8,869,3092,3972,1773,1488,564,189,11080
Cabonne (A),11400,36,5,0,0,0,38,22,37,19,12,95,12,17,8,5,0,46,4,0,0,0,0,6,48,47,43,33,17,181,3,0,6,9,48,47,42,30,18,192,29,29,3,0,0,0,0,3,29,53,47,42,30,18,228,1356,29,3,0,0,1387,440,559,356,120,1477,169,101,54,16,3,343,23,3,0,0,0,31,1546,574,614,369,126,3237,17,10,18,48,1546,574,635,383,143,3282,1110,1110,59,8,0,0,0,67,1110,1606,585,635,383,143,4464
Camden (A),11450,129,11,3,0,3,146,96,149,84,60,392,43,46,35,7,4,134,7,3,6,0,0,14,182,156,197,91,73,692,15,18,30,60,182,156,210,110,96,753,67,67,13,5,0,0,0,20,67,194,162,210,115,96,837,5199,282,29,12,0,5525,3126,4666,2141,809,10736,915,908,424,134,48,2427,142,43,9,0,0,189,6255,4362,5126,2284,859,18878,173,220,398,789,6255,4362,5302,2497,1252,19672,3237,3237,276,45,17,4,3,341,3237,6527,4405,5311,2506,1255,23248
Campbelltown (C) (NSW),11500,306,32,7,0,0,347,206,272,182,139,794,244,274,209,101,67,897,41,13,4,3,0,53,587,525,493,282,205,2091,17,50,75,139,587,525,518,328,277,2236,266,266,68,17,3,3,0,91,266,657,542,522,331,277,2599,9058,561,98,25,5,9745,5832,7232,3199,1811,18072,3071,2293,1101,421,222,7100,463,91,24,6,0,585,12591,8777,8454,3646,2034,35502,375,510,1012,1897,12591,8777,8827,4159,3048,37402,8910,8910,869,117,47,22,12,1068,8910,13460,8895,8874,4176,3056,47384
Canada Bay (A),11520,42,4,0,0,0,49,18,26,11,3,60,25,17,5,8,4,46,0,0,0,0,0,3,67,40,35,18,8,160,0,3,4,5,67,40,34,22,11,169,31,31,22,13,3,0,0,40,31,86,49,33,22,8,232,7834,596,212,35,19,8698,3889,4578,1446,364,10277,1484,895,255,60,13,2707,372,99,31,5,7,508,9687,5480,5082,1541,408,22198,173,180,261,621,9687,5480,5258,1722,671,22818,7036,7036,1259,500,170,51,32,2019,7036,10948,5977,5424,1780,699,31868
Canterbury-Bankstown (A),11570,144,26,3,0,0,176,93,115,76,54,343,127,107,59,23,24,343,28,9,0,0,0,33,299,235,184,103,78,897,10,10,37,64,299,235,195,118,113,959,229,229,55,11,5,3,0,70,229,350,243,200,119,113,1256,17746,1613,376,100,57,19893,12475,16226,8452,5096,42251,6113,4208,2034,819,476,13645,1269,329,101,35,30,1759,25126,18617,18739,9405,5653,77550,814,1068,2624,4501,25126,18617,19556,10469,8279,82054,20943,20943,2236,621,339,174,144,3519,20943,27365,19240,19892,10647,8427,106513
Clarence Valley (A),11730,183,19,4,0,0,203,110,123,94,74,403,110,129,70,40,36,381,16,4,0,0,0,22,310,256,205,131,109,1014,14,21,31,66,310,256,223,152,141,1072,228,228,50,6,3,0,0,58,228,361,262,223,152,141,1363,5935,181,15,0,0,6125,1367,1432,715,287,3802,935,596,230,78,34,1871,135,25,3,0,0,164,7005,2158,1684,788,321,11962,60,57,98,216,7005,2158,1745,846,416,12177,5511,5511,506,41,11,4,3,561,5511,7507,2199,1754,852,420,18241
Cobar (A),11750,53,0,0,0,0,52,20,36,19,17,90,15,18,11,3,0,48,3,3,0,0,0,7,72,40,45,25,17,201,0,0,8,9,72,40,46,28,24,209,60,60,11,0,0,0,0,15,60,78,43,46,28,24,284,391,18,0,0,0,409,111,146,79,28,366,77,19,12,0,0,109,8,0,0,0,0,8,477,144,163,76,31,892,0,3,0,6,477,144,163,82,33,896,439,439,22,0,0,0,0,20,439,498,148,163,82,33,1362
Coffs Harbour (C),11800,234,23,10,0,0,259,107,158,90,81,443,134,164,101,51,32,483,11,8,0,0,0,25,382,304,268,138,115,1211,8,21,35,69,382,304,285,163,149,1281,234,234,68,10,3,3,0,82,234,449,318,289,165,148,1599,7217,291,46,9,0,7559,2214,2598,1136,426,6372,1398,974,369,123,49,2911,150,20,3,3,0,172,8764,3503,3012,1267,478,17024,110,116,211,435,8764,3503,3121,1391,687,17460,7042,7042,777,106,40,12,12,945,7042,9542,3607,3158,1398,700,25442
Coolamon (A),12000,8,0,0,0,0,9,10,8,9,3,26,0,8,3,3,0,17,0,0,0,0,0,0,12,13,9,12,7,52,0,0,0,0,12,13,9,12,7,52,8,8,3,0,0,0,0,3,8,11,16,9,12,7,58,458,16,0,0,0,477,140,136,85,51,411,44,39,25,10,6,122,12,3,0,0,0,21,519,197,159,101,57,1030,5,0,3,11,519,197,159,103,61,1039,362,362,25,3,0,0,0,29,362,542,204,159,103,61,1429
Coonamble (A),12150,67,8,0,0,0,69,30,44,16,18,104,35,60,18,20,14,147,8,0,0,0,0,9,109,95,60,33,28,334,0,5,6,15,109,95,65,39,35,343,87,87,12,0,0,0,0,12,87,119,95,65,39,35,445,290,5,0,0,0,299,68,62,30,19,181,36,9,5,0,0,54,5,0,0,0,0,10,335,91,68,28,18,546,0,0,4,4,335,91,68,28,22,545,353,353,21,0,0,0,0,21,353,358,93,72,28,22,924
Cowra (A),12350,83,4,0,0,0,85,39,45,19,23,125,42,38,21,12,4,117,6,5,0,0,0,11,130,82,65,28,26,340,0,3,7,13,130,82,67,32,32,346,67,67,17,0,0,0,0,18,67,145,85,67,32,32,438,1340,44,3,0,0,1386,386,367,184,79,1014,201,113,52,15,4,388,43,5,0,0,0,51,1592,543,423,202,83,2842,18,4,15,44,1592,543,444,208,101,2884,1414,1414,81,4,0,0,0,90,1414,1671,549,444,208,101,4384
Cumberland (A),12380,97,11,3,3,0,115,49,60,39,30,184,70,63,43,22,3,197,12,0,3,0,0,18,178,119,109,61,33,511,4,14,18,34,178,119,116,73,55,546,129,129,41,3,9,0,0,51,129,217,126,120,70,58,725,9663,1096,456,145,95,11458,7792,9646,5096,3471,26009,3144,2242,1090,502,291,7275,752,250,106,68,45,1229,13557,11386,11301,5803,3904,45965,534,735,1896,3167,13557,11386,11836,6540,5806,49129,11479,11479,1390,612,453,309,401,3171,11479,14948,12000,12287,6853,6207,63781
Dungog (A),12700,39,7,0,0,0,43,21,28,9,13,80,17,13,9,0,3,39,0,0,0,0,0,0,50,36,41,12,17,162,4,5,5,15,50,36,44,17,22,177,10,10,3,0,0,0,0,3,10,55,36,44,17,22,192,973,25,4,0,0,1000,317,370,168,59,913,123,95,35,12,3,275,16,3,0,0,0,19,1116,436,412,179,60,2208,15,8,16,39,1116,436,428,185,78,2239,771,771,46,5,0,0,0,51,771,1164,441,424,185,78,3065
Edward River (A),12730,24,4,0,0,0,27,7,11,9,4,37,13,23,10,7,0,57,3,0,0,0,0,3,39,36,22,21,4,119,0,0,3,5,39,36,22,19,4,123,36,36,5,0,0,0,0,11,36,51,37,22,19,4,172,951,19,4,0,0,975,257,295,150,60,759,166,81,42,7,3,304,28,0,0,0,0,26,1141,359,342,156,59,2062,7,5,0,13,1141,359,344,162,61,2079,1050,1050,65,5,3,3,3,80,1050,1208,370,349,167,61,3206
Eurobodalla (A),12750,150,7,4,0,0,162,63,61,49,44,222,83,74,54,33,23,257,11,3,0,0,0,23,243,151,123,84,66,657,5,13,22,36,243,151,124,90,88,693,142,142,31,0,3,0,0,40,142,274,150,128,94,88,874,5160,133,5,0,0,5304,959,981,399,168,2507,704,375,127,53,25,1280,78,6,0,0,0,91,5942,1467,1118,447,197,9172,54,37,48,137,5942,1467,1171,483,245,9314,4508,4508,294,36,5,3,0,333,4508,6234,1502,1175,490,245,14157
Fairfield (C),12850,64,10,0,0,0,74,51,52,41,30,175,65,71,41,25,13,225,8,5,0,0,0,14,139,141,95,67,50,486,9,12,39,68,139,141,104,74,91,556,100,100,22,8,0,4,0,33,100,165,146,104,79,91,683,7877,851,191,54,25,8995,6070,8475,5071,3112,22726,3612,3039,1648,671,381,9358,805,222,60,22,16,1122,12293,10180,10368,5815,3531,42195,609,853,2655,4115,12293,10180,10980,6668,6188,46306,8904,8904,932,207,88,36,31,1288,8904,13227,10387,11060,6701,6216,56501
Federation (A),12870,21,3,0,0,0,22,9,15,6,4,33,7,9,4,0,0,24,3,3,0,0,0,5,30,22,22,11,8,87,0,0,0,0,30,22,22,11,10,87,15,15,3,0,0,0,0,3,15,32,22,22,11,10,106,1583,32,0,0,0,1618,353,415,227,83,1072,205,131,57,13,7,409,32,3,0,0,0,32,1818,524,473,235,83,3134,7,6,6,21,1818,524,481,243,92,3152,1481,1481,91,9,3,0,0,106,1481,1912,535,482,243,91,4734
Forbes (A),12900,74,9,3,0,0,83,46,49,28,22,137,37,39,25,5,9,113,4,0,0,0,0,7,117,94,75,33,26,342,0,5,7,17,117,94,75,44,32,352,81,81,14,3,0,0,0,16,81,129,92,75,44,32,454,932,18,3,0,0,957,239,263,178,58,743,143,75,34,15,9,273,27,3,0,0,0,35,1101,341,302,192,66,2003,11,9,11,20,1101,341,306,197,76,2020,958,958,62,6,0,0,0,68,958,1161,345,310,197,76,3048
Georges River (A),12930,57,10,3,0,0,67,23,52,21,18,117,42,30,18,3,6,95,10,4,3,0,0,15,104,62,84,24,21,297,4,14,14,26,104,62,82,36,37,327,56,56,18,10,8,0,3,35,56,128,69,92,38,39,421,9364,1036,420,111,79,11019,5953,7718,3112,1148,17934,2349,1718,657,203,91,5016,560,167,58,27,15,817,12269,8869,8857,3451,1332,34779,414,549,1075,2041,12269,8869,9272,4005,2412,36821,9271,9271,1243,507,257,102,59,2162,9271,13520,9374,9529,4105,2463,48256
Gilgandra (A),12950,35,0,0,0,0,39,12,25,13,9,55,19,27,19,3,4,73,4,4,0,0,0,9,62,39,43,17,14,173,3,5,8,11,62,39,42,24,22,189,48,48,10,0,0,0,0,10,48,75,39,42,24,22,245,452,12,3,0,0,464,97,113,78,24,311,54,28,16,7,0,105,7,0,0,0,0,8,513,141,127,81,25,892,0,5,0,4,513,141,126,87,25,895,421,421,17,0,0,0,0,18,421,533,141,126,91,25,1339
