lga_name_2016,lga_code_2016,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Frankston (C),22170,0,4,3,4,0,0,0,6,7,12,3,3,3,12,5,19,0,0,0,0,0,0,0,0,0,0,0,0,25,13,44,1785,1763,3547,205,145,353,2018,1926,3943,25,13,44,1832,1827,3658,209,152,356,2069,1992,4059,633,644,1274,53102,55209,108309,469,563,1034,54206,56411,110620,7,7,8,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,0,0,0,0,0,0,3,7,10,0,0,3,0,0,0,0,0,0,0,0,3,16,11,24,981,844,1823,8,16,25,1009,868,1873,145,114,258,7318,6934,14250,66,72,142,7530,7121,14652,49,41,89,2843,3009,5848,28,31,60,2920,3074,6000,10,19,28,1130,1370,2498,6,9,9,1145,1394,2541,12,28,45,1363,2655,4012,9,18,20,1382,2697,4079,143,188,331,22596,27347,49947,152,183,331,22888,27719,50610,73,70,150,8065,7664,15730,55,61,114,8193,7802,15995,116,102,221,10163
Gannawarra (S),22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,167,137,301,40,26,67,212,160,370,7,0,7,179,140,325,40,26,67,226,168,394,105,89,196,4589,4664,9252,65,74,142,4756,4832,9589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,58,92,0,0,0,34,57,90,28,18,42,501,488,985,9,12,19,539,509,1055,3,11,11,232,221,449,6,3,8,237,233,469,0,0,0,24,34,60,0,0,3,30,40,65,0,0,0,24,89,112,0,0,3,23,96,118,8,15,24,902,1368,2268,17,13,28,923,1396,2317,7,7,13,758,827,1585,11,7,14,773,850,1621,15,17,38,1084
Greater Shepparton (C),22830,0,3,0,3,0,0,0,3,9,10,0,0,0,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0,71,62,133,1003,905,1910,285,253,536,1358,1216,2577,78,72,146,1055,947,2000,282,249,536,1419,1267,2678,995,1041,2043,22949,23489,46439,237,312,555,24189,24845,49039,13,21,36,3,0,3,0,0,0,17,21,39,0,0,0,0,0,0,0,0,0,0,0,0,13,21,36,3,0,3,0,0,0,17,21,39,6,3,10,0,0,0,0,0,0,8,3,13,23,23,49,310,306,615,3,5,9,340,337,671,236,235,474,3647,3306,6955,45,40,86,3928,3585,7519,76,77,153,1477,1463,2938,12,20,34,1569,1554,3124,10,16,21,331,441,766,0,3,5,338,456,795,8,44,52,502,1058,1554,0,4,7,510,1107,1610,140,194,337,8035,9972,18008,49,90,134,8221,10255,18473,107,124,230,3868,3753,7624,39,31,69,4016,3911,7927,164,172,335,4747
Hepburn (S),22910,0,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,381,381,762,65,70,138,454,458,914,6,3,10,396,398,790,70,70,139,469,476,940,58,79,143,6252,6669,12918,87,87,169,6391,6840,13232,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,3,0,3,72,79,155,6,3,4,80,81,165,18,22,43,716,718,1432,3,13,21,737,749,1490,0,6,10,205,222,423,0,0,4,208,224,430,3,0,3,49,62,108,0,0,3,52,60,113,3,5,8,128,264,395,0,0,0,131,267,399,11,24,32,2443,3063,5509,22,30,54,2478,3120,5591,9,9,13,899,925,1826,13,5,27,921,943,1865,14,12,23,1146
Hindmarsh (S),22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,87,175,12,7,20,100,92,196,3,0,0,95,91,185,12,7,24,110,97,207,32,44,75,2449,2442,4889,31,38,69,2516,2522,5035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,17,27,41,0,0,0,17,28,43,15,6,16,260,253,514,3,7,8,274,263,543,0,0,6,119,119,237,3,3,3,122,118,244,0,0,0,15,33,49,0,0,0,15,33,49,0,3,3,23,66,86,0,0,0,23,69,91,3,11,17,580,785,1371,4,8,9,591,802,1396,7,5,10,427,401,828,3,3,9,432,407,842,3,9,12,513
Hobsons Bay (C),23110,0,8,0,10,0,0,0,3,10,13,0,0,0,3,11,17,0,0,0,0,0,0,0,0,0,0,0,0,9,12,19,1012,963,1971,80,63,142,1101,1034,2135,9,12,19,1050,1001,2055,88,65,150,1147,1083,2224,231,231,458,28428,28872,57296,241,232,470,28894,29339,58235,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,3,3,4,6,593,564,1151,5,3,7,599,569,1165,44,40,92,4661,4586,9245,50,41,85,4756,4664,9424,22,20,38,1880,1834,3711,17,16,33,1919,1862,3780,5,12,17,1111,1048,2158,6,4,17,1121,1069,2188,9,15,25,1248,2034,3277,12,3,16,1267,2048,3316,67,71,143,19326,21130,40455,110,107,223,19506,21311,40822,27,31,60,4049,3541,7591,24,20,49,4106,3597,7702,33,38,76,4597
Horsham (RC),23190,0,5,0,5,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,415,342,759,62,24,89,487,374,856,5,5,13,431,355,786,63,26,90,504,390,891,130,151,279,8498,8881,17382,73,96,166,8700,9129,17827,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,0,0,0,0,3,3,4,5,7,99,90,187,0,0,0,103,93,196,32,38,73,1160,1062,2217,10,12,22,1201,1115,2316,3,14,17,406,388,793,5,9,13,414,409,823,0,0,0,53,117,173,0,0,3,53,121,177,3,3,4,143,244,384,0,0,0,147,242,392,15,18,34,2555,3262,5818,17,20,40,2593,3301,5894,21,14,36,1557,1553,3107,13,11,21,1586,1585,3165,15,22,42,1466
Hume (C),23270,8,11,7,21,0,0,0,9,8,23,8,3,8,18,13,32,0,0,0,0,0,0,0,0,0,0,0,0,35,27,66,2258,2069,4324,460,338,801,2756,2432,5192,35,34,69,2372,2178,4553,467,345,816,2878,2557,5432,657,707,1360,47486,47875,95357,440,438,882,48583,49014,97600,10,3,12,0,0,0,0,0,0,10,3,12,0,0,0,0,0,0,0,0,0,0,0,0,10,3,12,0,0,0,0,0,0,10,3,12,9,15,27,0,0,0,0,0,0,9,15,27,12,10,25,1236,1200,2436,14,8,24,1259,1225,2482,144,141,283,12589,12006,24599,140,110,248,12881,12255,25131,50,61,111,5206,5540,10746,48,56,104,5303,5656,10953,24,19,38,2646,2671,5320,24,18,44,2691,2712,5400,13,36,49,2809,4157,6966,25,32,58,2842,4229,7077,152,163,314,36576,39353,75932,237,254,490,36961,39774,76736,69,85,154,8978,8651,17631,66,67,140,9113,8807,17923,114,121,229,11339
Indigo (S),23350,0,0,0,0,0,0,0,7,5,7,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,273,257,529,23,24,47,299,290,586,7,8,8,287,278,563,23,22,45,307,304,619,82,101,185,6875,7219,14094,91,101,193,7049,7423,14477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,90,94,183,4,0,6,92,100,191,26,22,42,921,921,1838,9,17,24,954,955,1908,3,11,11,323,352,675,10,4,12,335,363,702,0,4,4,62,88,149,0,0,0,61,90,152,0,9,6,105,268,369,0,3,3,102,280,383,17,28,39,2197,2978,5175,23,35,54,2232,3031,5271,8,10,18,990,986,1971,11,6,15,1005,999,2011,15,20,32,1489
Kingston (C) (Vic.),23430,0,6,3,5,0,0,0,9,8,14,0,0,0,10,8,13,0,0,0,0,0,0,0,0,0,0,0,0,6,9,20,1607,1614,3224,150,114,267,1766,1740,3505,12,9,18,1655,1689,3344,152,115,271,1822,1815,3641,276,268,537,50421,52705,103124,357,384,741,51052,53359,104407,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,0,0,0,3,0,8,7,6,13,1021,1018,2045,11,11,18,1043,1038,2075,49,46,97,8449,7926,16379,37,58,98,8538,8038,16574,17,22,35,3374,3441,6813,26,17,42,3424,3471,6896,6,9,21,2100,1991,4086,17,8,26,2123,2009,4129,4,8,14,2025,3023,5051,8,13,19,2043,3046,5085,90,111,200,34398,37916,72310,177,188,364,34660,38213,72874,43,25,69,7166,6760,13925,54,53,107,7260,6837,14098,37,37,71,7495
Knox (C),23670,0,0,0,0,0,0,0,11,7,13,0,0,0,12,7,16,0,0,0,0,0,0,0,0,0,0,0,0,18,16,33,1606,1740,3353,131,156,288,1761,1909,3671,18,16,33,1649,1781,3433,134,156,288,1806,1952,3752,365,363,729,53279,54707,107988,395,371,770,54043,55447,109490,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,3,0,3,0,0,0,0,0,0,3,0,3,4,11,12,907,885,1794,3,0,6,916,904,1813,88,82,166,8645,8094,16733,65,55,113,8791,8230,17022,26,33,58,4151,4050,8204,27,17,51,4202,4104,8311,10,16,29,2136,2107,4246,6,8,16,2154,2138,4292,12,13,27,1820,2924,4745,7,15,21,1836,2951,4790,79,87,173,32622,36758,69381,173,167,338,32878,37016,69888,53,39,89,8544,8328,16870,59,76,132,8653,8445,17100,82,56,137,9612
Latrobe (C) (Vic.),23810,0,4,0,3,0,0,0,0,3,3,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,31,40,71,1173,1136,2311,238,244,478,1438,1421,2858,31,39,72,1217,1184,2402,238,247,483,1483,1474,2958,545,584,1123,29766,31023,60788,335,346,678,30643,31948,62594,3,3,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,3,4,5,4,10,0,0,0,0,0,0,5,4,10,18,17,29,293,291,582,0,5,7,311,308,623,105,120,225,3922,3766,7680,50,39,93,4074,3929,7998,41,43,86,1479,1473,2959,29,21,48,1551,1536,3088,6,13,20,444,680,1124,0,3,4,454,696,1148,12,31,43,603,1150,1749,0,6,13,618,1187,1805,83,88,172,9291,11461,20746,68,71,140,9442,11618,21063,52,57,111,5168,4932,10104,53,43,99,5276,5033,10314,84,110,196,6213
Loddon (S),23940,4,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,148,116,264,26,17,39,177,129,303,7,0,7,158,133,292,26,17,39,188,150,337,52,58,115,3208,3070,6277,50,43,92,3309,3170,6482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,5,0,3,3,31,30,60,0,0,0,33,30,64,12,13,24,348,356,697,3,4,13,359,374,731,4,0,3,123,151,278,0,3,3,129,154,282,0,0,0,14,16,30,0,0,0,14,20,31,0,0,0,18,66,81,0,0,0,19,70,88,5,6,9,739,953,1687,13,6,17,760,963,1724,3,4,13,528,502,1033,7,3,9,533,513,1047,7,6,14,725
Macedon Ranges (S),24130,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,17,650,562,1213,99,72,173,760,639,1403,11,3,16,668,571,1242,104,77,179,780,651,1434,145,139,280,19895,20454,40349,201,191,389,20241,20781,41018,3,0,3,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,317,293,609,8,5,12,332,297,626,30,28,54,3025,2878,5901,47,30,71,3096,2932,6030,7,6,17,1131,1100,2225,17,17,31,1153,1120,2277,6,0,7,315,385,696,6,3,9,318,390,707,3,3,8,337,746,1082,0,5,9,339,758,1098,35,37,73,8149,9972,18113,64,71,133,8242,10082,18328,10,11,22,2830,2673,5495,26,25,54,2867,2711,5571,28,21,46,3054
Manningham (C),24210,0,3,0,4,0,0,0,11,8,11,0,0,0,10,7,13,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,1016,1203,2217,61,75,140,1082,1282,2360,4,3,8,1045,1233,2276,61,79,139,1105,1316,2421,103,99,202,30577,31137,61715,182,236,415,30858,31473,62330,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,3,5,0,7,684,648,1331,0,8,6,688,657,1351,20,19,37,6393,5940,12328,29,32,62,6446,5986,12427,8,12,20,3460,3236,6695,18,23,36,3485,3270,6755,3,4,5,2139,1971,4113,8,9,19,2154,1985,4133,0,4,7,1634,2308,3937,8,11,16,1642,2319,3963,33,30,64,29908,31685,61591,133,171,301,30079,31887,61959,14,13,28,4510,4646,9157,30,49,73,4554,4705,9253,23,18,36,4511
Mansfield (S),24250,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,390,312,705,168,120,288,561,438,1003,5,7,6,402,323,723,168,125,291,569,448,1021,24,34,63,3699,3749,7449,39,35,76,3768,3822,7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,54,102,0,0,0,43,54,98,8,8,9,466,497,959,10,6,16,482,509,989,3,0,4,187,174,363,3,9,10,196,181,375,0,0,0,30,43,67,0,0,0,30,43,67,0,0,0,45,110,151,3,0,3,45,110,158,8,16,19,1202,1571,2770,4,13,18,1212,1605,2809,3,3,5,573,569,1138,5,0,8,586,573,1156,6,3,11,716
Maribyrnong (C),24330,0,5,0,6,0,0,0,6,9,16,3,0,3,9,9,17,0,0,0,0,0,0,0,0,0,0,0,0,8,7,11,1097,1081,2180,191,199,391,1300,1286,2586,8,7,11,1136,1122,2257,198,204,399,1341,1333,2668,209,182,390,20817,20572,41386,137,129,266,21164,20879,42041,7,3,9,0,0,0,0,0,0,9,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,515,451,973,5,0,5,524,458,980,29,23,49,3375,3310,6685,23,27,48,3418,3360,6778,13,6,25,1477,1470,2953,13,6,20,1501,1493,2991,8,0,7,2049,1795,3839,6,5,17,2060,1803,3863,16,21,30,2606,2984,5590,24,13,31,2644,3009,5660,88,89,179,22710,22612,45324,89,106,201,22895,22805,45698,30,19,47,2488,2006,4502,20,18,41,2540,2040,4584,24,26,52,2723
Maroondah (C),24410,0,4,5,9,0,0,0,4,3,6,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,15,26,36,1095,1163,2259,130,105,231,1240,1289,2527,15,26,36,1141,1206,2342,129,108,241,1279,1335,2619,258,271,532,41736,44177,85914,259,310,573,42250,44768,87020,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,3,4,13,0,0,0,0,0,0,3,10,12,4,12,10,757,746,1501,3,5,3,759,762,1518,47,55,102,6338,5921,12261,40,37,80,6433,6014,12447,17,24,39,2785,2663,5450,14,19,35,2822,2705,5526,4,11,14,1361,1345,2704,7,3,6,1369,1355,2724,5,11,13,1472,2317,3789,10,10,25,1483,2336,3821,75,86,164,22833,26479,49314,77,123,205,22988,26693,49677,24,30,56,6225,5959,12184,39,39,75,6290,6030,12313,55,45,96,6351
Melbourne (C),24600,71,93,88,181,0,0,3,127,122,253,116,116,236,250,247,491,0,0,0,3,3,5,0,0,0,0,3,10,105,115,220,7205,7507,14712,5817,5767,11585,13127,13388,26516,105,112,221,7269,7594,14859,5826,5780,11603,13198,13486,26685,204,199,406,27707,26563,54274,166,167,330,28079,26927,55010,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,4,3,5,0,0,0,0,0,0,4,3,5,0,0,0,319,320,642,3,3,5,323,321,652,9,5,17,1828,1775,3600,16,19,32,1851,1805,3656,17,29,53,3789,5195,8984,13,19,33,3821,5241,9068,14,30,51,9366,11423,20788,26,43,68,9406,11494,20899,21,13,34,6307,7393,13700,27,25,56,6358,7429,13791,127,134,258,46791,50524,97317,198,202,401,47117,50857,97978,10,16,29,2788,2610,5394,23,34,55,2817,2656,5474,24,24,47,1958
Melton (C),24650,0,0,0,3,0,0,0,5,5,9,0,0,0,5,5,9,0,0,0,0,0,0,0,0,0,0,0,0,23,16,43,1305,1201,2507,120,108,232,1453,1327,2777,23,16,43,1359,1252,2606,129,115,242,1507,1378,2885,529,594,1122,40305,40862,81162,338,361,694,41164,41820,82985,4,4,10,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,4,4,10,0,4,3,0,0,0,0,0,0,0,4,3,7,12,25,1026,1045,2076,9,11,21,1047,1072,2119,150,124,273,9736,9503,19245,88,100,188,9972,9734,19709,45,47,98,3373,3363,6732,30,30,57,3445,3438,6885,5,8,15,1237,1420,2655,8,15,21,1249,1438,2689,12,20,35,1399,2467,3870,8,9,14,1418,2499,3914,100,148,250,23808,27586,51392,138,156,292,24048,27888,51932,50,65,114,6488,5881,12372,52,44,98,6595,5989,12589,86,106,195,8309
Mildura (RC),24780,0,4,5,5,0,0,0,4,3,7,4,0,3,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0,70,42,108,1227,1014,2241,323,220,546,1615,1277,2895,70,42,112,1248,1054,2303,324,222,548,1641,1320,2963,937,1031,1967,20439,21358,41797,276,244,518,21652,22633,44285,4,6,9,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,0,0,0,0,0,0,3,6,12,12,8,22,0,0,0,0,0,0,12,8,22,32,22,56,333,294,623,3,4,7,364,319,686,250,219,472,2826,2707,5534,57,39,93,3133,2967,6103,74,64,140,1102,1126,2229,20,12,24,1191,1200,2392,12,17,23,237,371,615,3,3,9,251,392,643,16,38,53,404,771,1178,8,4,8,418,816,1241,106,160,263,6293,7938,14228,54,73,127,6453,8171,14623,70,109,183,3125,3167,6293,41,22,59,3238,3295,6529,174,208,380,4571
Mitchell (S),24850,3,16,4,20,0,0,0,7,0,6,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,3,31,711,484,1197,117,70,190,854,564,1413,28,7,34,737,508,1238,122,73,191,878,584,1464,320,307,629,16918,16707,33629,213,218,423,17450,17237,34690,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,260,232,491,3,7,12,272,247,511,72,80,150,2473,2300,4774,38,37,70,2584,2417,5000,26,17,41,1018,968,1986,17,14,35,1059,999,2064,9,0,11,312,288,594,6,3,9,322,292,615,7,3,16,314,690,1003,5,4,14,329,697,1029,61,69,125,5485,6860,12339,52,59,115,5598,6985,12580,43,35,76,2594,2358,4955,27,30,61,2668,2426,5096,57,37,96,3429
Moira (S),24900,0,8,3,13,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,10,27,517,547,1064,82,68,148,607,628,1235,12,10,27,541,564,1113,82,68,148,635,644,1283,240,236,476,12314,12465,24779,156,155,309,12705,12850,25558,0,0,3,0,0,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,154,126,280,3,4,3,161,135,300,45,50,98,1554,1464,3013,17,20,36,1612,1537,3149,19,13,29,592,555,1145,7,8,11,614,575,1184,3,3,6,100,170,270,0,3,3,108,173,280,4,4,10,139,379,520,3,3,8,147,386,540,35,47,78,2932,4147,7079,23,37,60,2990,4232,7222,33,21,52,1945,1900,3848,24,14,34,1996,1937,3942,42,41,81,2789
Monash (C),24970,0,15,10,25,0,0,0,15,23,41,3,3,8,21,29,44,0,0,0,0,0,0,0,0,0,0,0,0,21,33,60,2305,2268,4571,321,263,588,2653,2564,5221,21,33,60,2372,2332,4697,325,271,593,2719,2627,5349,188,189,378,41049,40968,82015,265,283,545,41500,41442,82943,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,3,3,0,3,0,0,0,4,3,8,7,6,12,1112,1073,2191,5,12,16,1124,1092,2211,21,36,63,9342,8845,18184,65,39,103,9429,8917,18348,24,19,48,5606,5462,11071,21,22,43,5651,5506,11152,7,12,22,6445,6041,12488,19,8,31,6470,6067,12538,10,12,24,4217,4872,9088,16,24,43,4243,4909,9152,77,81,160,51137,52657,103796,196,199,398,51419,52938,104354,18,24,43,5923,5874,11796,35,38,70,5977,5936,11913,25,25,45,6161
