LGA_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,LGA_NAME11
17620,241,43,287,2348,788,111,3247,6792,809,10848,Upper Hunter Shire (A)
17640,122,21,147,1047,429,49,1525,3939,419,5883,Upper Lachlan Shire (A)
22310,3276,737,4072,21806,6697,913,29416,70946,7009,107371,Glen Eira (C)
22410,370,54,433,3027,1121,132,4280,10468,1184,15932,Glenelg (S)
22490,129,18,150,3564,1139,191,4894,8743,789,14426,Golden Plains (S)
22620,1702,550,2267,16086,6704,916,23706,51311,5892,80909,Greater Bendigo (C)
30900,0,0,0,62,24,3,89,249,30,368,Boulia (S)
31000,14405,4095,18692,164069,57737,7871,229677,566149,60247,856073,Brisbane (C)
50420,1149,200,1361,8790,3346,413,12549,35083,3917,51549,Bayswater (C)
50490,540,130,670,4936,1697,179,6812,19548,3030,29390,Belmont (C)
50560,30,6,36,182,63,12,257,931,105,1293,Beverley (S)
50630,15,3,18,374,93,33,500,959,390,1849,Boddington (S)
50770,31,4,35,293,79,11,383,796,72,1251,Boyup Brook (S)
50840,55,9,64,694,236,36,966,2296,165,3427,Bridgetown-Greenbushes (S)
50910,31,6,37,142,51,3,196,483,68,747,Brookton (S)
50980,27,16,43,2285,770,196,3251,6522,1602,11375,Broome (S)
31750,0,0,0,66,24,3,93,189,34,316,Bulloo (S)
31900,315,56,377,2684,1029,127,3840,8844,1075,13759,Burdekin (S)
31950,0,0,0,65,27,0,92,240,99,431,Burke (S)
32070,1284,378,1683,25285,8090,1381,34756,75111,12449,122316,Cairns (R)
32250,7,0,7,228,102,7,337,987,296,1620,Carpentaria (S)
32260,393,76,472,4018,1409,193,5620,14643,1986,22249,Cassowary Coast (R)
32270,69,41,113,5587,1289,265,7141,12127,2382,21650,Central Highlands (R)
32310,177,30,207,1898,649,77,2624,5805,968,9397,Charters Towers (R)
51120,17,10,27,168,57,12,237,444,57,738,Bruce Rock (S)
51190,514,156,679,4491,1866,244,6601,16574,2671,25846,Bunbury (C)
51260,488,90,581,5345,1732,271,7348,14741,1694,23783,Busselton (S)
51310,633,95,740,4543,1484,273,6300,12440,1074,19814,Cambridge (T)
51330,1053,219,1285,12810,4824,514,18148,47915,4726,70789,Canning (C)
51400,43,10,56,3020,709,152,3881,6004,725,10610,Capel (S)
51470,3,3,6,91,36,3,130,265,43,438,Carnamah (S)
