lga_name_2016,lga_code_2016,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Claremont (T),51750,0,0,0,51,47,95,0,0,0,51,47,95,3,0,5,349,330,678,0,3,0,354,333,688,31,3,33,565,379,943,0,0,0,596,381,980,0,0,0,10,6,23,0,0,0,15,6,22,0,0,0,10,12,16,0,0,0,10,12,16,0,0,0,11,4,19,0,0,0,11,4,19,0,0,0,17,26,43,0,0,0,17,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,53,101,0,0,0,45,53,101,0,0,3,240,216,452,0,0,0,244,220,458,0,0,0,68,73,139,0,0,0,73,73,139,0,0,0,26,31,56,0,0,0,26,31,56,0,0,0,52,87,144,0,0,0,52,87,144,0,0,0,0,4,4,0,0,0,0,4,4,0,0,3,385,409,796,3,0,3,390,411,799,0,0,0,20,30,50,0,0,0,20,30,50,11,0,11,84,81,164,299,335
Cockburn (C),51820,16,23,36,647,672,1315,7,13,16,677,697,1374,134,123,256,4602,4335,8944,34,38,71,4770,4493,9268,91,90,183,3156,3243,6395,25,28,59,3274,3363,6635,3,3,9,283,200,488,4,0,4,295,206,501,3,3,8,146,213,358,0,0,3,152,218,369,8,0,8,267,161,430,0,0,0,274,161,431,7,4,9,275,421,695,0,0,4,282,427,708,0,0,0,8,8,12,0,0,0,8,5,12,15,10,33,982,998,1980,3,6,13,1011,1011,2020,13,18,26,932,1309,2242,3,5,14,944,1334,2275,5,7,11,339,515,854,3,0,7,346,528,875,0,0,0,151,207,359,0,0,0,147,207,360,3,10,20,404,714,1120,0,4,3,406,731,1143,0,0,0,3,14,18,0,0,0,3,14,18,22,32,60,1821,2768,4586,9,13,20,1858,2811,4666,8,10,22,303,438,746,0,6,4,316,453,769,39,35,75,852,967,1814,2677,2499
Collie (S),51890,3,3,6,55,53,107,0,0,3,58,57,110,34,29,61,348,313,664,4,3,4,391,342,734,18,14,33,255,251,506,0,0,3,270,269,541,3,0,3,7,8,17,0,0,0,13,8,18,0,0,0,5,3,4,0,0,0,6,3,8,0,0,0,28,14,47,0,0,0,28,14,47,0,3,3,18,45,57,0,0,0,13,42,59,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,60,73,126,0,0,0,63,72,138,0,0,0,3,10,16,0,0,0,3,10,16,0,0,0,3,17,17,0,0,0,4,17,19,0,0,0,3,3,4,0,0,0,3,3,4,0,0,0,3,22,23,0,0,0,3,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,50,61,0,0,0,15,50,65,0,0,0,9,17,26,0,0,0,9,17,26,7,17,27,119,153,269,312,303
Corrigin (S),52100,3,0,3,8,3,17,0,0,0,11,3,14,8,8,11,40,40,84,0,0,0,50,52,98,0,0,0,28,12,41,0,0,0,32,12,37,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,9,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,13,0,0,0,8,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,3,3,0,0,0,0,5,5,3,0,3,12,11,21,53,48
Cottesloe (T),52170,0,0,0,53,45,99,0,0,0,56,45,101,0,4,7,295,312,609,0,4,4,297,316,615,0,0,3,311,274,587,0,0,0,314,278,588,0,0,0,5,3,10,0,0,0,5,3,10,0,0,0,5,11,19,0,0,0,5,11,19,0,0,0,4,8,15,0,0,0,4,8,15,0,0,0,7,19,27,0,0,0,7,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,37,65,0,0,0,33,37,65,0,3,3,138,121,258,0,0,0,141,123,261,0,0,0,34,44,79,0,0,0,34,48,76,0,0,0,12,19,29,0,0,0,9,19,25,0,0,0,44,74,117,0,0,0,46,72,120,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,221,253,479,5,0,5,229,259,487,0,0,0,17,21,40,0,0,0,17,21,40,0,0,0,30,37,70,231,216
Cranbrook (S),52240,3,0,3,12,3,11,0,0,0,14,7,19,0,3,3,34,46,78,0,3,3,33,49,89,0,0,0,20,21,39,0,0,0,20,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,5,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,6,0,0,0,4,0,6,0,0,0,9,12,19,48,41
Cuballing (S),52310,0,0,0,7,4,11,0,0,0,7,4,11,0,0,0,38,45,80,4,0,4,38,45,79,0,0,0,9,12,23,0,0,0,13,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,17,66,40
Cue (S),52380,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,3,5,8,26,12
Cunderdin (S),52450,0,0,0,5,7,15,0,0,0,5,11,13,0,3,6,71,58,128,3,0,3,77,61,140,0,0,3,117,54,166,0,3,3,115,52,169,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,0,0,0,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,22,0,0,0,9,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,3,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,44,58,42
Dalwallinu (S),52520,3,3,3,9,8,15,0,0,0,8,12,16,10,5,15,61,53,117,0,0,0,74,56,135,3,0,8,22,18,46,0,0,0,31,24,49,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,0,0,0,5,4,12,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,14,0,0,0,7,6,14,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,3,4,0,0,0,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,14,0,0,0,4,12,14,0,0,0,3,5,12,0,0,0,3,5,12,0,0,0,22,9,27,60,51
Dandaragan (S),52590,0,0,0,17,18,40,0,0,0,20,18,39,7,3,14,114,94,216,0,0,3,119,105,223,7,0,9,53,52,106,3,0,3,63,54,113,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,3,4,11,0,0,0,9,6,16,0,0,0,9,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,32,0,0,0,14,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,17,0,0,0,4,13,18,0,0,0,0,8,8,0,0,0,0,8,8,3,0,5,35,26,62,121,112
Dardanup (S),52660,7,0,13,113,83,198,0,0,0,121,87,208,18,31,48,614,614,1234,12,5,19,647,652,1300,14,16,29,446,505,955,3,3,5,463,527,986,0,0,0,28,24,51,0,0,0,28,22,54,0,0,0,11,29,37,0,0,0,11,28,42,0,0,3,42,29,67,0,0,0,43,28,73,0,3,3,25,66,87,0,0,0,25,67,87,0,0,0,0,0,3,0,0,0,0,0,3,0,6,8,110,145,250,0,0,0,109,149,258,0,0,0,14,31,54,0,0,0,14,37,49,0,3,3,7,43,45,0,0,0,9,46,50,0,0,0,5,15,16,0,0,0,5,15,16,0,0,6,17,67,82,0,0,0,19,70,85,0,0,0,0,3,3,0,0,0,0,3,3,3,5,10,42,156,201,0,0,0,48,156,205,0,3,3,28,58,85,0,0,0,28,61,93,4,0,5,106,112,212,404,358
Denmark (S),52730,3,0,3,33,30,67,0,0,3,39,36,72,10,5,17,219,197,414,7,3,5,231,201,435,0,8,3,209,199,413,0,4,4,209,208,420,0,0,0,10,4,10,0,0,0,10,4,10,0,0,0,3,9,12,0,0,0,3,9,12,0,0,0,12,10,16,0,0,0,12,10,16,0,0,0,8,26,37,0,0,0,8,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,43,72,0,0,0,31,47,78,0,0,0,3,3,13,0,0,0,3,3,13,0,0,0,6,7,14,0,0,0,6,7,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,13,21,30,0,0,0,8,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,58,0,0,0,22,36,59,0,0,0,5,17,24,0,0,0,5,17,26,5,0,3,63,84,148,247,244
Derby-West Kimberley (S),52800,35,49,80,14,14,29,0,0,0,51,60,107,344,328,674,67,81,148,3,4,7,419,411,831,165,184,347,16,21,40,4,0,4,187,204,393,3,0,3,0,3,0,0,0,0,3,3,6,3,0,3,3,0,3,0,0,0,8,0,11,4,3,11,7,0,10,0,0,0,14,6,18,18,10,32,14,11,30,0,0,0,33,27,57,0,0,0,0,0,0,0,0,0,0,0,0,28,24,54,24,16,40,0,0,0,55,42,95,0,3,3,4,4,4,0,0,0,3,3,12,0,3,4,3,20,19,0,0,0,6,18,24,0,0,0,0,0,3,0,0,0,0,0,3,0,9,9,7,21,28,0,0,0,7,28,43,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,15,41,62,0,0,0,19,54,77,9,5,12,3,4,13,0,0,0,12,10,25,323,197,513,41,51,92,238,256
Donnybrook-Balingup (S),52870,0,0,0,33,23,63,0,0,0,37,23,61,4,6,14,214,213,419,3,3,4,216,224,439,5,8,13,170,175,341,0,0,4,175,178,359,3,0,4,7,7,12,0,0,0,10,8,19,0,0,0,3,3,8,0,0,0,3,3,8,0,0,3,12,10,16,0,0,0,15,11,19,0,0,0,9,19,24,0,0,0,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,29,31,61,0,0,3,37,35,72,0,0,0,3,7,15,0,0,0,3,7,15,0,0,0,5,11,13,0,0,0,5,7,17,0,0,0,3,4,4,0,0,0,3,4,4,0,0,0,5,31,31,0,0,0,5,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,46,68,0,0,0,16,51,71,0,0,0,11,20,35,0,0,0,11,20,35,0,0,3,47,64,112,242,245
Dowerin (S),52940,3,0,3,3,4,10,0,0,0,6,8,13,5,0,3,28,33,62,0,0,0,28,40,67,0,0,0,19,3,22,0,0,0,22,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,24,15,19
Gingin (S),53570,3,0,3,25,26,48,0,0,0,23,28,47,4,5,16,177,182,361,0,5,8,189,194,381,3,4,7,135,125,268,3,0,3,147,133,276,0,0,0,8,6,14,0,0,0,8,6,14,0,0,0,0,3,4,0,0,0,0,3,3,0,0,0,9,3,15,0,0,0,9,6,12,0,0,0,8,12,24,0,0,0,8,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,51,0,0,0,21,35,59,0,0,0,6,17,28,0,0,0,6,17,28,0,0,0,0,5,9,0,0,0,0,6,10,0,0,0,3,0,5,0,0,0,3,4,4,0,0,0,4,17,21,0,0,0,4,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,58,0,0,0,20,46,62,0,0,0,6,19,24,0,0,0,6,20,29,0,4,4,64,55,122,227,185
Gnowangerup (S),53640,3,3,4,8,4,12,0,0,0,8,7,14,9,5,16,49,56,98,0,0,0,57,65,116,0,3,3,18,8,29,0,0,3,18,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,0,11,11,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,16,14,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,4,4,0,0,0,3,4,3,7,3,4,16,8,21,64,36
Jerramungup (S),54130,0,0,3,5,3,7,0,0,0,7,3,10,6,3,12,49,52,99,0,0,0,52,51,106,0,0,0,20,9,30,3,0,3,21,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,0,0,0,3,6,13,0,0,0,0,3,3,0,0,0,0,3,3,3,0,5,12,12,19,72,53
Joondalup (C),54170,3,6,10,997,858,1858,7,4,9,1008,874,1878,83,89,169,7188,6888,14079,55,42,99,7325,7023,14348,36,61,96,5799,5514,11311,46,34,78,5878,5606,11481,7,3,5,293,286,584,3,4,11,304,292,597,0,0,0,121,225,344,0,0,3,117,226,346,7,3,11,480,190,669,7,0,7,489,193,684,8,3,7,347,518,868,0,0,0,357,521,880,0,0,0,6,9,18,0,0,0,6,12,16,11,7,21,1253,1227,2476,10,4,20,1279,1244,2519,7,8,16,2168,2409,4575,8,8,18,2179,2424,4607,10,9,19,529,681,1207,0,3,7,532,696,1228,0,3,7,269,378,649,3,3,7,269,384,657,6,4,15,584,1051,1634,3,0,3,589,1056,1649,0,0,0,7,21,29,0,0,0,7,17,28,19,27,49,3557,4532,8090,16,13,35,3588,4578,8167,0,6,7,329,535,864,4,3,7,333,547,876,23,20,37,832,974,1812,2631,2208
Dumbleyung (S),53010,0,0,0,0,5,3,0,0,0,4,5,8,0,4,3,24,31,57,0,0,0,26,33,64,0,0,0,4,3,8,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,3,5,11,34,31
Dundas (S),53080,0,0,0,0,3,3,0,0,0,3,3,7,4,12,20,19,20,44,0,0,0,26,37,59,0,0,0,14,5,21,0,0,0,13,9,19,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,4,6,10,8,19,66,46
East Fremantle (T),53150,0,0,0,45,46,90,0,0,0,41,46,91,3,0,4,325,351,670,0,3,3,328,354,676,4,0,3,241,274,510,0,0,5,241,276,522,0,0,0,3,0,7,0,0,0,6,0,12,0,0,0,13,12,23,0,0,0,11,12,21,0,0,0,7,4,13,0,0,0,7,4,13,0,0,0,3,17,29,0,0,0,3,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,38,68,0,0,0,26,38,68,0,0,0,125,152,272,0,0,0,125,154,276,0,0,0,26,38,66,0,0,0,26,38,66,0,0,0,16,11,25,0,0,0,16,11,25,0,0,0,37,66,104,0,0,0,35,66,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,270,471,0,0,0,201,272,476,0,0,0,17,19,36,0,0,0,17,19,36,0,4,4,80,91,172,180,175
East Pilbara (S),53220,27,21,45,34,31,64,0,0,0,56,47,110,119,118,240,186,200,388,0,3,4,309,324,634,100,82,183,86,93,180,3,0,8,185,178,361,4,0,4,12,6,12,0,0,0,12,3,20,4,0,3,8,3,13,0,0,0,8,7,16,3,0,3,9,10,27,0,0,0,11,10,23,3,3,6,51,39,95,0,0,0,55,45,99,0,0,0,3,0,4,0,0,0,3,0,3,13,7,17,86,63,145,0,0,0,92,69,165,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,3,12,12,0,0,0,7,12,17,0,0,0,0,3,8,0,0,0,0,5,10,0,0,0,68,49,115,0,0,0,68,47,118,0,0,0,0,0,3,0,0,0,0,0,3,0,5,5,76,66,139,0,0,0,79,73,148,3,0,7,24,20,40,0,0,0,26,23,44,55,29,86,71,48,117,1422,448
Esperance (S),53290,5,4,11,75,88,162,3,0,3,79,93,177,35,35,78,561,543,1102,18,14,27,613,595,1209,61,69,130,463,454,909,12,8,19,531,530,1059,0,0,3,17,6,24,0,0,0,22,3,27,0,0,0,3,7,13,0,0,0,3,7,15,0,0,0,29,26,59,0,0,3,31,31,59,0,0,0,26,59,91,0,3,3,24,64,89,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,74,102,180,0,8,9,75,110,191,0,0,0,11,19,27,0,0,0,11,19,27,0,0,0,4,16,18,0,0,0,4,16,18,0,0,0,4,11,19,0,0,0,4,15,20,0,0,0,17,52,73,0,0,0,17,60,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,33,97,134,0,0,0,33,103,136,0,0,0,11,34,45,0,0,0,14,34,45,36,25,62,153,189,342,740,647
Exmouth (S),53360,3,0,3,22,19,38,0,0,0,25,23,42,8,3,6,115,98,213,0,0,0,125,104,227,3,0,3,67,69,136,0,0,0,70,69,142,0,0,0,3,0,5,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,0,0,0,5,4,12,0,0,0,12,27,30,0,0,0,12,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,49,0,0,0,20,32,51,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,10,5,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,0,0,0,3,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,24,0,0,0,4,16,24,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,38,29,67,112,107
